NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU / CKD /
COMP","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
1  CBU IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PT. HONDA PROSPECT MOTOR,HONDA,ALL NEW CITY,1499,CVT,G,57,1285,-,-,141,2700,4541 x 1755 x 1435,-,4X1,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,30,-,30
,,,All New Civic 1.5 CVT,1500,CVT,G,57,1285,-,-,141,2700,4542 x 1755 x 1435,-,4X2,FF,-,4,4,CBU,Thailand,1,-,-,1,-,-,-,-,-,-,60,-,62
,,,New ACCORD VTi-L,2354,CVT,G,65,1075,-,-,176,2275,4870 x 1850 x 1465,-,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,1,30,-,-,-,-,-,31
,,,CIVIC 5D E,2400,CVT,G,65,1322,-,17 x 7J,-,2700,4501 x 2075 x 1421,-,4X2,FF,-,5,4,CBU,Thailand,-,-,60,-,30,150,59,1,90,-,-,-,390
,,,CIVIC TYPE R,1500,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,UK,-,-,-,3,-,-,2,-,-,-,-,-,5
,,,Odissey Prestige,2400,CVT,G,55,1855,-,17 x 7J,175,2900,4830 x 1820 x 1695,-,4X2,FF,-,5,4,CBU,Japan,-,-,22,-,22,8,20,21,25,-,32,32,182
,,,TOTAL,,,,,,,,,,,,,,,,,,,1,-,82,4,52,159,111,22,115,-,122,32,700
2,PT. TOYOTA ASTRA MOTOR,TOYOTA,All New Corolla Altis V AT,1798,AT,G,55,1270,5.356,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,6,4,4,CBU,Thailand,51,95,124,41,13,3,30,-,13,1,50,33,454
,,,All New Corolla Altis Hybrid AT,1798,AT,HYBRID,55,1270,5.356,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,6,4,4,CBU,Thailand,5,21,9,5,1,-,2,-,-,1,29,20,93
,,,All New Camry 2.5 G,2500,AT,G,70,1465,3815,215/60R16,181 / 6000,2775,4825X1825X1470,5,4X2,FF,5,4,4,CBU,Thailand,5,5,15,8,5,3,3,-,1,-,-,-,45
,,,All New Camry 2.5 V,2500,AT,G,70,1465,3815,215/55R17,181 / 6000,2775,4825X1825X1470,5,4X2,FF,5,4,4,CBU,Thailand,47,86,125,34,38,29,62,-,13,86,158,89,767
,,,All New Camry 2.5 Hybrid Mi,2500,AT,HYBRID,65,1625,3542,215/55R17,156.6 /5700,2775,4825X1825X1470,5,4X2,FF,5,4,4,CBU,Thailand,12,19,19,11,14,6,10,-,4,-,112,72,279
,,,86,1998,MT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,-,2,-,1,-,-,-,-,-,-,-,-,3
,,,86 TRD,1998,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,-,-,-,1,-,-,-,-,-,-,-,-,1
,,,86 Aero,1998,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,-,3,7,2,2,-,-,-,-,-,-,-,14
,,,Supra 3.0 A/T,2459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,-,1,-,1,-,1,-,1,1,-,1,6
,,,Voxy 2.0 AT,2000,AT,G,60,2205,-,205/60 R16,158 / 6200,-,4600X1695X1850,7,4X2,FF,-,5,4,CKD,Japan,-,-,79,148,141,299,214,197,11,81,52,90,"1,312"
,,,"A l p h a r d 2,5 G",2500,AT,G,65,1920,5791,215/60/R17,170 / 6000,2950,4870X1830X1905,7,4X2,FF,5,5,4,CBU,Japan,28,96,100,189,217,583,316,692,720,294,78,-,"3,313"
,,,A l p h a r d 2.5 X,2500,AT,G,65,1905,5791,215/60/R17,170 / 6000,2950,4870X1830X1905,7,4X2,FF,5,5,4,CBU,Japan,-,-,-,-,-,-,1,-,3,2,-,-,6
,,,"A l p h a r d 3,5",3456,AT,G,65,1905,5791,215/60/R17,170 / 6000,2950,4870X1830X1905,7,4X2,FF,5,5,4,CBU,Japan,-,1,-,2,2,1,1,-,-,-,-,-,7
,,,Vellflre 2.5,2494,AT,G,65,1905,5791,215/60/R17,170 / 6000,2950,4870X1830X1905,7,4X2,FF,5,5,4,CBU,Japan,-,2,10,17,17,61,36,44,39,16,42,25,309
,,,C-HR 1.8 A/T,1798,AT,G,50,-,-,215 / 60 R17,141 / 6400,2640,4360x1795x1565,5,4X2,FF,7,5,4,CBU,Thailand,-,-,5,3,3,-,-,-,-,-,-,-,11
,,,C-HR 1.8 A/T Hybrid,1798,AT,G,50,-,-,215 / 60 R17,141 / 6400,2640,4360x1795x1565,5,4X2,FR,7,5,4,CBU,Thailand,20,32,38,35,50,5,1,-,-,-,-,-,181
,,,COROLLA CROSS 1.8 A/T,1798,AT,G,50,-,-,215 / 60 R17,141 / 6400,2640,4360x1795x1565,5,4X2,FR,7,5,4,CBU,Thailand,-,1,-,2,-,-,-,-,-,-,-,-,3
,,,COROLLA CROSS 1.8 A/T Hybrid,1798,AT,HYBRID,50,-,-,215 / 60 R17,141 / 6400,2640,4360x1795x1565,5,4X2,FR,7,5,4,CBU,Thailand,189,299,255,147,137,43,-,-,-,-,142,92,"1,304"
,,,Land Cruiser 200,4461,MT,D,93,3350,-,285 / 65R / 17,235 / 3200,2850,4950 X1970 X905,7,4X4,AWD,5,5,4,CBU,Japan,1,40,24,24,1,-,-,-,-,-,-,-,90
,,,Land Cruiser 300,4461,AT,D,93,3350,-,285 / 65R / 17,235 / 3200,2850,4950 X1970 X905,7,4X4,AWD,5,5,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,63,63
,,,Land Cruiser 70,-,MT,D,-,-,-,-,-,-,-,7,4X4,AWD,5,5,4,CBU,Japan,-,-,-,-,-,-,-,-,2,-,-,-,2
,,,C+POD EV,,AT,EV,-,-,-,-,-,-,-,-,-,-,-,2,4,CBU,Japan,1,6,-,-,-,-,-,-,-,-,-,-,7
,,,GR YARIS 1.6,1618,MT,G,42,1075,4237,225/40R18,261 / 6500,2560,"3,995X1,805X1,455",5,4X2,FF,4,5,4,CBU,JAPAN,-,-,-,-,1,-,-,-,1,28,42,19,91
