NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU / CKD /
COMP","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
,,,HI-ACE Commuter HI Grade,2494,MT,D,70,2145,-,195/R15,102 / 3600,3110,5380X1880X2285,16,4X2,FR,5,4,4,CBU,Thailand,61,258,162,145,125,175,88,152,161,94,-,-,"1,421"
,,,HI-ACE 2.8 Premio,2800,MT,D,-,-,-,-,195/R15,102 / 360,5380X1880X2285,-,4X2,FR,-,-,-,CBU,Thailand,26,134,87,65,61,189,103,84,81,55,29,15,929
,,,HiLux 2.0 P/U SC,1998,MT,D,65,1265,-,205 / 70 R15,136 / 5600,2750,4800X1760X1680,2,4X2,FR,5,2,4,CBU,Thailand,83,142,68,17,14,51,102,16,103,204,129,41,970
,,,HILUX 2.4 P/U SCAB,2394,MT,D,70,1490,-,255 / 70 R15C,102 / 3600,2750,4800X1760X1680,2,4X4,FR,5,2,4,CBU,Thailand,102,118,62,45,22,6,26,6,24,74,61,16,562
,,,HILUX 2.4 P/U SCAB 4x4,2394,MT,D,65,1490,-,255 / 70 R15C,102 / 3600,2750,4800X1760X1680,2,4X2,4WD,5,2,4,CBU,Thailand,78,81,68,55,59,47,81,15,52,56,29,13,634
,,,HILUX 2.4 P/U DCAB G 4x4,2400,MT,D,70,1795,3727,255 / 70 R15C,144 / 3400,3085,5135X1835X1850,4,4X4,4WD,5,4,4,CBU,Thailand,465,459,314,160,320,390,401,48,331,713,520,356,"4,477"
,,,HILUX 2.4 P/U DCAB V 4x4,2400,AT,D,70,1795,3727,255 / 70 R15C,144 / 3400,3085,5135X1835X1850,4,4X4,4WD,5,4,4,CBU,Thailand,79,152,187,58,111,91,79,6,83,171,94,22,"1,133"
,,,TOTAL,,,,,,,,,,,,,,,,,,,"1,253","2,052","1,759","1,215","1,355","1,982","1,557","1,260","1,643","1,877","1,567",967,"18,487"
3,PT. TOYOTA ASTRA MOTOR,LEXUS,ES 250,2494,AT,G,-,-,-,-,181 / 6000,0,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,ES 300 h,2494,AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,-,10,10,6,-,-,-,-,-,3,9,4,42
,,,LS 500 Executive,3445,AT,G,0,2760,-,245 / 45 R20,-,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,-,1,1,-,-,-,-,-,-,1,3,-,6
,,,LM 350 4 Seater,4969,AT,G,66,2870,-,-,471 / 7100,2730,4770X1920X1345,2,4X2,FR,-,2,4,CBU,Japan,8,40,28,13,5,-,-,-,-,-,-,-,94
,,,LM 350 7 Seater,4969,AT,G,66,2870,-,-,471 / 7100,2730,4770X1920X1345,2,4X2,FR,-,2,4,CBU,Japan,1,10,8,7,4,-,-,-,-,1,12,16,59
,,,LX 570,5663,AT,G,138,2635,-,285 / 50 R20,383 / 5600,-,5065X1980X1865,4,4X4,4WD,8,4,4,CBU,Japan,-,-,1,1,-,-,-,-,-,-,-,-,2
,,,LX 570 Sport,5663,AT,G,138,2635,-,285 / 50 R20,383 / 5600,-,5065X1980X1865,4,4X4,4WD,8,4,4,CBU,Japan,-,10,-,5,4,3,-,-,-,-,-,-,22
,,,NX 300,1998,AT,G,60,-,-,255 / 60 R18,235 / 4000,2660,4630X1845X1630,4,4X2,FR,0,4,4,CBU,Japan,-,2,2,2,-,-,-,-,-,-,-,-,6
,,,NX 300 F-Sport,1998,AT,G,60,-,-,255 / 60 R18,235 / 4000,2660,4630X1845X1630,4,4X2,FR,0,4,4,CBU,Japan,-,8,5,5,-,-,-,-,-,-,-,-,18
,,,RX 300 Luxury,1998,AT,G,72,2500,-,-,235 / 4400,2790,4890X1895X1690,4,4X2,FR,0,4,4,CBU,Japan,3,28,10,15,20,48,26,58,21,14,5,4,252
,,,RX 300 F-Sport,1998,AT,G,72,2500,-,-,235 / 4400,2790,4890X1895X1690,4,4X2,FR,0,4,4,CBU,Japan,3,46,20,24,37,79,48,60,41,17,10,25,410
,,,UX 200 Luxury,1998,AT,G,72,2500,-,-,235 / 4400,2790,4890X1895X1690,4,4X2,FR,0,4,4,CBU,Japan,-,1,-,1,1,4,2,-,-,-,-,-,9
,,,UX 200 F-Sport,1998,AT,G,72,2500,-,-,235 / 4400,2790,4890X1895X1690,4,4X2,FR,0,4,4,CBU,Japan,-,-,3,-,-,1,2,2,-,-,-,-,8
,,,UX 250h,1998,AT,G,72,2500,-,-,235 / 4400,2790,4890X1895X1690,4,4X2,FR,0,4,4,CBU,Japan,-,-,-,-,-,1,-,-,-,-,-,-,1
,,,UX 300e,-,AT,EV,-,-,-,-,-,-,-,4,4X2,FR,0,4,4,CBU,Japan,-,2,-,1,-,6,6,6,3,2,-,-,26
,,,TOTAL,,,,,,,,,,,,,,,,,,,15,158,88,80,71,142,84,126,65,38,39,49,955
4,PT. SUZUKI INDOMOBIL MOTOR,SUZUKI,Ignis GL MT,1197,MT,G,43,1430,4388,165/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,57,127,31,30,-,-,8,2,-,-,-,255
,,,Ignis GL AT,1197,MT,G,43,1430,4388,165/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,45,99,9,30,17,-,9,1,-,-,-,210
,,,Ignis GX MT,1197,MT,G,43,1430,4388,185/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,54,132,75,32,1,-,1,-,-,-,-,295
,,,Ignis GX AT,1197,AT,G,43,1430,4375,185/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,45,130,75,88,25,10,121,179,1,17,61,752
,,,New SX4 S-Cros,1490,MT,G,48,1670,-,205/60 R16,109,2600,4300 X 1765 X 1690,5,4X2,FF,-,4,4,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,New SX4 S-Cros AT,1490,AT,G,48,1670,-,205/60 R16,109,2600,4300 X 1765 X 1690,5,4X2,FF,-,4,4,CBU,India,-,-,65,17,60,28,5,-,-,-,-,-,175
,,,New Jimny MT,1462,MT,G,40,1435,4090,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,-,-,-,-,-,-,6,8,3,-,10,16,43
,,,New Jimny AT,1462,AT,G,40,1435,4300,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,-,20,6,-,-,-,193,162,88,-,90,-,559
,,,New Jimny 2TONE MT,1462,MT,G,40,1435,4090,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,-,-,-,-,-,-,1,3,4,-,4,8,20
,,,New Jimny 2TONE AT,1462,AT,G,40,1435,4300,195/80 R15,102,2250,3625 X 1645 X 1720,4,4X4,4WD,0,4,4,CBU,Japan,-,13,4,-,-,-,47,46,28,-,31,-,169
,,,New Baleno,1490,MT,G,51,1650,-,195/55 R15,110,2480,4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India,-,53,50,22,13,49,25,109,55,16,-,-,392
,,,New Baleno AT,1490,AT,G,51,1650,-,195/55 R15,110,2480,4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India,-,286,248,94,92,110,65,368,229,315,-,-,"1,807"
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,573,861,323,345,230,352,835,589,332,152,85,"4,677"
5,PT. MITSUBISHI MOTORS KRAMA YUDHA INDONESIA,MITSUBISHI MOTORS,Eclipse Cross,1499,AT,G,63,2100,-,225/55 R18,150,2670,4405 X 1805 X 1674,5,4X2,FF,-,4,4,CBU,Japan,1,-,-,-,-,-,-,-,-,-,-,,1
,,,Triton 2.5L DC EXCEED (4X4) MT,2477,AT,D,75,2760,4636,245/75/R16,178,3000,5255 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,-,120,58,32,40,130,-,3,22,-,121,,526
,,,Triton SU 2.5L HP-E D CAB Ultimate (,2442,AT,D,75,2870,4272,265/60 R18,181,3000,5305 X 1815 X 1795,5,4X4,4WD,0,4,4,CBU,Thailand,-,20,115,51,-,70,-,-,-,-,176,,432
,,,Triton 2.5L DC GLS (4X4) MT,2477,MT,D,75,2760,4636,245/75/R16,178,3000,5205 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,-,100,60,500,39,511,503,138,259,-,246,,"2,356"
,,,Triton 2.5L DC HDX (4X4) MT,2477,MT,D,75,2760,4636,245/75/R16,178,3000,5205 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,-,250,573,235,37,474,746,400,325,-,"1,071",,"4,111"
,,,Triton 2.5L SC HDX (4X4) MT,2477,MT,D,75,2760,4636,245/75/R16,178,3000,5080 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,-,-,150,271,29,299,111,44,206,150,241,,"1,501"
,,,Triton 2.5L SC GLX (4X2) MT,2500,MT,D,75,2550,4636,245/ 75 R16,97,3000,5040 X 1750 X 1775,2,4X2,FR,141,2,4,CBU,Thailand,-,-,15,25,-,45,-,-,15,-,16,,116
,,,TOTAL,,,,,,,,,,,,,,,,,,,1,490,971,"1,114",145,"1,529","1,360",585,827,150,"1,871",-,"9,043"
6,PT. KRAMA YUDHA TIGA BERLIAN MOTORS,MITSUBISHI FUSO,FI 1217 (4X2) M/T,3907,MT,D,160,12700,6330,"8.25-20,16 PR",170,3760,3.760 X 6.035 X 2.225,3,4X2,FR,80,2,6,CBU,India,-,-,-,-,-,-,-,-,-,-,-,,-
,,,FJ 2523 (6X2) M/T,6373,MT,D,380,25000,5875,10/R20/ 16PR,230,7050,11.967X2490X2960,3,6X2,FR,90,2,10,CBU,India,-,-,-,-,-,-,-,-,-,-,-,,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
7,PT. ASTRA DAIHATSU MOTOR,DAIHATSU,All New Sirion MT 2018,1329,MT,G,36,980,4267,185/55 R15,95,2500,3895X1735X1525,5,4X2,FF,-,5,4,CBU,Malaysia,1,19,40,20,10,10,-,-,39,1,-,-,140
,,,All New Sirion AT 2020,1329,AT,G,36,1000,4032,185/55 R15,95,2500,3895X1735X1525,5,4X2,FF,-,5,4,CBU,Malaysia,5,105,200,90,60,20,-,-,193,87,-,-,760
,,,TOTAL,,,,,,,,,,,,,,,,,,,6,124,240,110,70,30,-,-,232,88,-,-,900
8,PT. TJAHJA SAKTI MOTOR,BMW,8 series,3000-6000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Germany,-,-,8,1,-,6,2,-,-,2,-,,19
,,,4 series,-,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Germany,-,-,-,3,7,4,9,-,3,3,-,,29
,,,3 series,-,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Germany,-,-,-,-,-,6,24,2,1,-,-,,33
,,,X 2 series,,AT,G,-,-,-,-,-,-,-,-,,,-,5,4,CBU,Germany,-,-,1,-,-,-,-,-,-,-,-,,1
,,,X 3 series,2500,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,5,4,CBU,Germany,-,-,-,-,-,1,-,2,1,-,-,,4
,,,X 4 series,2500,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,5,4,CBU,Germany,-,-,5,-,1,1,-,3,1,1,-,,12
,,,X 5 series,3000,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,,-
,,,X 6 & 7 series,3000,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,5,4,CBU,Germany,-,-,-,1,4,7,2,-,-,3,-,,17
,,,M series,4000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,3,4,CBU,Germany,-,-,21,29,6,5,9,-,9,7,6,,92
,,,Z4 series,-,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,3,4,CBU,Germany,-,-,8,5,1,4,3,1,1,-,2,,25
,,,i3 series,-,-,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,Germany,-,-,1,1,-,-,-,-,-,-,-,,2
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,44,40,19,34,49,8,16,16,8,-,234
9,PT. TJAHJA SAKTI MOTOR                                                                             MINI,,Cooper,850-1275,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,3,4,CBU,Germany,-,-,6,56,14,18,42,61,9,54,-,1,261
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,6,56,14,18,42,61,9,54,-,1,261
10,PT. TJAHJA SAKTI MOTOR,PEUGEOT,New 3008 AT,1598,AT,G,60,1459,6,225/50 R17,163,2613,4.365 x 1.836 x 1.639,5,4X2,FF,-,5,4,CBU,Perancis,-,-,-,-,-,-,-,-,-,-,-,,-
,,,New 5008 AT Allure,1598,AT,G,60,1459,6,215/50 R17                    TO,TAL              156,2727,4.529 x 2.118 x 1.644,7,4X2,FF,-,5,4,CBU,Malaysia,-,-,-,-,-,-,-,-,-,-,-,,-
,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
11,PT. GAYA MAKMUR MOBIL,FAW,Tractor Head (DB300TH),7700,MT,D,350,41005,-,-,-,-,-,-,4X2,-,-,2,4,CBU,China,-,-,-,-,-,-,-,-,-,-,-,,-
,,,Chassis (HD380CG),9726,MT,D,400,31000,5.921,R20-12.00,380,+ 4660 +,11823 x 2550 x 2990,2,8X4,FR,76,2,12,CBU,China,-,-,-,-,-,-,-,-,-,10,-,,10
,,,Chassis (FD280CG),7700,MT,D,300,26000,-,-,-,-,-,-,6X4,-,-,2,6,CBU,China,-,-,-,-,-,-,-,10,10,-,-,,20
,,,Mixer Truck (FD280MT),7700,MT,D,300,26000,-,-,-,-,-,-,6X4,-,-,2,6,CBU,China,-,-,-,-,-,-,-,3,2,-,-,,5
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,13,12,10,-,-,35
12,PT. ISUZU ASTRA MOTOR INDONESIA,ISUZU,D-MAX SC,2499,MT,D,76,2750,4100,245/70/R16,109,3095,"5,215 x 1,860 x 1,780",3,4X4,4WD,-,2,4,CBU,Thailand,-,5,15,-,-,-,-,13,3,-,-,1,37
,,,D-MAX DC,2499,MT,D,76,2750,4100,245/70/R16,109,3095,"5,190 x 1,860 x 1,785",5,4X4,4WD,-,4,4,CBU,Thailand,-,-,34,77,5,18,-,30,-,15,58,1,238
,,,D-MAX Rodeo MT,2499,MT,D,76,2750,4300,245/70/R16,109,3095,"5,190 x 1,860 x 1,785",5,4X4,4WD,-,4,4,CBU,Thailand,-,-,-,2,-,-,-,-,-,-,-,2,4
,,,D-MAX Rodeo AT,2999,AT,D,76,2750,3909,255/65/R17,136,3095,"5,295 x 1,860 x 1,795",5,4X4,4WD,-,4,4,CBU,Thailand,-,-,-,1,-,-,-,-,-,-,-,-,1
,,,MU-X,2499,AT,D,47,2540,-,-,-,-,-,7,4X2,-,-,5,4,CBU,Thailand,-,15,-,15,-,-,-,30,-,-,-,-,60
,,,MU-X,2499,MT,D,47,2540,-,-,-,-,-,7,4X4,-,-,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,MU-X,2499,0,D,47,2540,-,-,-,-,-,7,4X4,-,-,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,1,1
,,,MU-X,2499,MT,D,47,2540,-,-,-,-,-,7,4X4,-,-,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,NPS 75,4570,MT,D,100,8250,5857,7.50-15-14PR,125,3360,"6,000x1,990x2,280",3,4X2,FR,102,2,6,CBU,Thailand,-,-,-,1,-,2,5,4,5,-,-,3,20
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,20,49,96,5,20,5,77,8,15,58,8,361
13,PT. EUROKARS MOTOR INDONESIA,MAZDA,All-new Mazda 6 Elite,"2,488",AT,G,64,-,4056,225/45R19,187,2830,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,2,3,-,1,-,-,-,-,-,-,-,-,6
,,,New Mazda 6 Elite Sedan,"2,488",AT,G,64,-,4056,225/45R19,187,2830,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,-,-,2,2,2,2,-,-,4,2,2,1,17
,,,Mazda 2 R AT IPM,"1,498",AT,G,42.8,-,4147,195/45R16,103,2490,3913 x 1695 x 1475,5,4X2,FF,-,5,4,CBU,Thailand,2,-,-,-,-,-,-,-,-,-,-,-,2
,,,Mazda 2 GT AT IPM,"1,498",AT,G,42.8,-,4147,195/45R16,103,2490,3913 x 1695 x 1475,5,4X2,FF,-,5,4,CBU,Thailand,67,54,67,23,82,6,13,7,37,17,1,-,374
,,,Mazda 2 Elite AT IPM,"1,498",AT,G,44,-,-,185/60R16,111,2570,4065 x 1695 x 1495,5,4X2,FF,-,5,4,CBU,Thailand,4,5,5,-,-,-,-,-,-,-,-,-,14
,,,CX-3 2.0 Grand Touring,"1,998",AT,G,48,-,-,215/50R18,148,2570,4275 x 1765 x 1535,5,4X2,FF,-,5,4,CBU,Japan,-,1,-,-,-,-,-,-,-,-,-,-,1
,,,CX - 3 Sport,"1,998",AT,G,48,-,0,215/50R18,149,2570,4275 x 1765 x 1535,5,4X2,FF,0,5,4,CBU,Japan,15,33,-,-,-,-,-,-,-,-,-,-,48
,,,CX  - 3 Pro,"1,998",AT,G,48,-,0,215/50R18,149,2570,4275 x 1765 x 1535,5,4X2,FF,0,5,4,CBU,Japan,13,1,1,-,-,-,-,-,-,-,-,-,15
,,,New CX-3 Pro,"1,998",AT,G,48,-,0,215/50R18,149,2570,4275 x 1765 x 1535,5,4X2,FF,0,5,4,CBU,Japan,-,4,6,6,18,19,2,-,-,-,-,-,55
,,,New CX-3 Sport,"1,998",AT,G,48,-,0,215/50R18,149,2570,4275 x 1765 x 1535,5,4X2,FF,0,5,4,CBU,Japan,-,-,161,209,2,43,7,218,120,74,4,69,907
,,,All New Mazda 3 Hatchback,"1,998",AT,G,51,-,-,215/45R18,155,2725,"4,460 x 1,795 x 1,435",5,4X2,FF,-,5,4,CBU,Japan,3,19,12,64,16,23,28,42,37,42,6,16,308
,,,All New Mazda 3 Sedan,"1,998",AT,G,51,-,-,215/45R18,155,2725,"4,660 x 1,795 x 1,440",5,4X2,FF,-,5,4,CBU,Japan,-,1,2,-,-,-,-,4,-,-,-,-,7
,,,Mazda 6 Estate Elite,"2,488",AT,G,62,-,-,225/45R19,192,2750,"4,800 x 1,840 x 1,480",5,4X2,FF,-,5,4,CBU,Japan,5,3,-,-,-,-,-,-,-,-,-,-,8
,,,New Mazda 6 Elite Estate,"2,488",AT,G,62,-,-,225/45R19,192,2750,"4,800 x 1,840 x 1,480",5,4X2,FF,-,5,4,CBU,Japan,-,-,1,1,-,1,-,-,7,2,2,1,15
,,,All New CX-5 GT IPM #2,"2,488",AT,G,56,-,4325,225/55R19,187,2700,4540 x 1840 x 1710,5,4X2,FF,-,5,4,CBU,Malaysia,80,87,1,-,-,-,-,-,-,-,-,-,168
,,,New CX-5 GT,"2,488",AT,G,56,-,4325,225/55R19,187,2700,4540 x 1840 x 1710,5,4X2,FF,-,5,4,CBU,Malaysia,-,-,78,171,10,32,16,92,101,33,102,88,723
,,,CX - 30 GT,"1,998",AT,G,51,-,,215/55R18,155,2655,4395 x 1795 x 1540,5,4X2,FF,,5,4,CBU,Japan,25,21,54,39,8,46,2,16,1,-,43,3,258
,,,All-new CX-9 MY18,"2,488",AT,G,72,-,-,255/50R20,231,2930,5075 x 1969 x 1747,7,4X2,FF,-,5,4,CBU,Japan,26,22,-,-,-,-,-,-,-,-,-,-,48
,,,New CX-9,"2,488",AT,G,72,-,-,255/50R20,231,2930,5075 x 1969 x 1747,7,4X2,FF,-,5,4,CBU,Japan,-,1,12,19,-,17,1,26,28,17,7,7,135
,,,New CX-9 AWD,"2,488",AT,G,74,-,-,255/50R20,231,2930,5075 x 1969 x 1747,7,4X4,4WD,-,5,4,CBU,Japan,-,3,14,10,13,3,3,4,3,6,8,-,67
