"WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN-DEC 2020
WHOLESALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","MARKET
2020","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"","","","","","","","","","","","","","","","","",""
"PRODUCTION TOTAL","","","112,658","104,034","111,320","21,432","2,510","17,689","24,413","29,584","59,573","66,378","72,386","68,199","690,176","100%",""
"PRODUCTION CUM. TOTAL","","","112,658","216,692","328,012","349,444","351,954","369,643","394,056","423,640","483,213","549,591","621,977","690,176","","",""
"EXPORTS","","","","","","","","","","","","","","","","",""
"CBU (UNIT)","","","19,631","31,106","27,839","11,154","6,750","8,749","14,894","14,218","21,041","25,719","25,584","25,490","232,175","",""
"CKD (SET)","","","4,682","5,273","6,307","3,030","1,103","2,062","2,259","5,279","7,170","6,640","5,667","7,114","56,586","",""
"COMPONENTS (PIECES)","","","5,051,356","5,758,392","6,574,662","2,970,370","2,231,531","2,552,706","2,655,562","5,499,469","7,068,201","6,605,972","6,712,378","7,496,724","61,177,323","",""
"IMPORTS","","","","","","","","","","","","","","","","",""
"CBU (UNIT)","","","2,941","5,262","5,349","2,879","2,063","1,778","1,763","1,470","3,561","3,390","2,629","2,088","35,173","",""
"©GAIKINDO-20","","","","","","","","","","","","","","","","",""
"GAIKINDO
WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN-DEC 2020 / 2019
WHOLESALES","","","","","","","","","","","","","","","","",""
