NO.,BRAND,MONTH,,,,,,,,,,,,"SALES
2018","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,25405,27665,31424,29360,28950,18642,34984,31149,29821,36119,31981,26661,352161,30.6%
2,DAIHATSU,18788,15660,17159,18869,17733,6720,17964,17510,17110,21026,17910,16289,202738,17.6%
3,HONDA,13572,11894,10792,17016,14324,9096,15226,14862,10960,15489,15845,13087,162163,14.1%
4,MITSUBISHI MOTORS,13351,14003,13977,12568,12849,6761,13948,13284,11938,11147,10140,8895,142861,12.4%
5,SUZUKI,11511,11115,9729,8505,12555,7515,10503,10764,8880,8514,10107,8316,118014,10.3%
6,MITSUBISHI FUSO,4402,4408,5175,5295,4118,3215,5393,3855,4218,4076,3743,3572,51470,4.5%
7,HINO,2624,2732,3215,3237,3036,2051,3527,3609,3888,3865,4072,3881,39737,3.5%
8,ISUZU,1561,1796,2038,2576,1960,1363,1818,2606,2762,2619,2508,2491,26098,2.3%
9,WULING,927,1009,1560,1720,1765,1139,1128,1908,1161,1083,1277,2325,17002,1.5%
10,DATSUN,1142,1125,3106,726,710,812,868,396,439,377,501,231,10433,0.9%
11,NISSAN,1189,1155,1516,496,246,211,336,85,158,167,819,507,6885,0.6%
12,MAZDA,409,393,456,536,780,198,564,577,477,397,457,413,5657,0.5%
13,UD TRUCKS,214,290,275,300,301,222,277,280,300,310,280,321,3370,0.3%
14,CHEVROLET,149,180,321,225,245,107,248,229,183,161,162,299,2509,0.2%
15,B M W,181,170,215,265,315,200,105,190,210,171,220,118,2360,0.2%
16,HYUNDAI,79,109,106,122,131,70,114,205,118,127,128,106,1415,0.1%
17,LEXUS,5,227,205,136,63,125,81,119,162,90,86,11,1310,0.1%
18,DFSK,54,34,137,30,30,109,71,201,208,109,137,102,1222,0.1%
19,TATA,72,101,127,48,107,83,103,104,110,29,155,72,1111,0.1%
20,SCANIA,115,83,68,53,108,108,56,27,67,53,33,23,794,0.1%
21,MINI,18,35,28,40,45,20,39,95,55,60,50,35,520,0%
22,VOLKSWAGEN,22,25,96,32,69,26,41,69,45,35,40,11,511,0%
23,FAW,23,34,21,37,26,20,35,37,20,32,31,35,351,0%
24,RENAULT (PC),21,11,26,157,35,15,12,9,8,2,1,-,297,0%
25,PEUGEOT,1,10,8,15,14,5,20,10,5,12,34,5,139,0%
26,MAN TRUCK,15,10,7,10,5,2,7,6,4,4,3,6,79,0%
27,AUDI,5,-,7,3,9,2,6,5,2,6,4,1,50,0%
28,PROTON,-,-,6,1,1,5,-,-,-,-,3,33,49,0%
29,HYUNDAI KOMERSIAL,-,-,-,-,-,-,-,-,2,-,-,-,2,0%
30,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,95855,94274,101800,102378,100530,58842,107474,102191,93311,106080,100727,87846,1151308,100%
CUMULATIVE,,95855,190129,291929,394307,494837,553679,661153,763344,856655,962735,1063462,1151308,,
B. RETAIL SALES,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"RETAIL
2018","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,28495,27774,30293,30076,32979,22002,31605,30273,28304,28622,30533,35107,356063,30.9%
2,DAIHATSU,15896,15333,17091,16560,18061,12359,16219,17007,16190,16265,17585,21612,200178,17.4%
3,HONDA,13764,14002,16323,14149,14613,11600,12675,13323,11424,11940,13189,15954,162956,14.1%
