NO.,BRAND,MONTH,,,,,,,,,,,,"SALES
2018","SHARE
%"
4,MITSUBISHI MOTORS,12401,12011,16302,10466,12913,7766,14077,13076,12406,12547,12470,10370,146805,12.7%
5,SUZUKI,10614,8520,10020,9448,11355,7519,10509,10479,9211,9766,9140,10107,116688,10.1%
6,MITSUBISHI FUSO,3656,4011,4664,4390,4221,3461,3842,4096,4466,4347,4803,5175,51132,4.4%
7,HINO,2973,2810,3241,3254,3031,2122,3474,3768,3680,3954,3915,3850,40072,3.5%
8,ISUZU,1484,1687,1870,2052,2081,1401,1843,2595,2787,2247,2209,3030,25286,2.2%
9,WULING,1000,1085,1430,1403,1348,1265,1345,1621,1003,1189,1119,1354,15162,1.3%
10,DATSUN,1230,925,1377,724,988,659,635,630,574,648,641,792,9823,0.9%
11,NISSAN,914,1014,1595,223,379,204,288,358,351,388,619,666,6999,0.6%
12,MAZDA,492,460,485,535,619,389,501,660,500,435,457,424,5957,0.5%
13,UD TRUCKS,309,262,275,274,254,149,251,201,295,286,244,236,3036,0.3%
14,CHEVROLET,231,190,196,244,260,152,176,274,193,155,166,207,2444,0.2%
15,B M W,181,170,215,265,315,200,105,190,210,171,220,118,2360,0.2%
16,HYUNDAI,118,90,102,109,119,81,122,123,214,130,141,136,1485,0.1%
17,LEXUS,32,138,151,154,122,67,104,146,139,138,93,43,1327,0.1%
18,TATA,71,95,76,102,124,90,91,121,87,75,113,71,1116,0.1%
19,DFSK,30,50,40,29,36,79,64,88,96,108,134,85,839,0.1%
20,SCANIA,115,83,68,53,108,108,56,27,67,53,33,23,794,0.1%
21,MINI,18,35,28,40,45,20,39,95,55,60,50,35,520,0%
22,VOLKSWAGEN,22,25,96,32,69,26,41,69,45,35,40,11,511,0%
23,RENAULT (PC),20,23,56,70,49,27,40,29,23,18,12,15,382,0%
24,FAW,23,34,21,37,26,20,35,37,20,32,31,35,351,0%
25,PEUGEOT,1,10,8,15,14,5,20,10,6,12,34,6,141,0%
26,PROTON,10,5,13,10,10,3,12,3,1,1,4,11,83,0%
27,MAN TRUCK,15,10,7,10,5,2,7,6,4,4,3,6,79,0%
28,AUDI,5,-,7,3,9,2,6,5,2,6,4,1,50,0%
29,HYUNDAI KOMERSIAL,-,-,-,-,-,-,-,-,2,-,-,-,2,0%
30,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,94120,90852,106050,94727,104153,71778,98182,99310,92355,93632,98002,109480,1152641,100%
CUMULATIVE,,94120,184972,291022,385749,489902,561680,659862,759172,851527,945159,1043161,1152641,,
C. PRODUCTION,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"PROD
2018","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,40726,39756,44060,47035,43544,30570,51774,48811,44441,53260,47568,40028,531573,39.6%
2,DAIHATSU,18803,15453,16988,18799,17664,6639,17790,17382,17041,21029,17601,16198,201387,15%
3,MITSUBISHI MOTORS,15915,12355,12362,11092,12324,7558,16380,15099,15588,17269,16069,12096,164107,12.2%
4,HONDA,16287,9361,9695,16170,14549,7043,14778,14474,12382,15986,15076,10820,156621,11.7%
5,SUZUKI,10818,10937,12061,9459,11662,8244,13775,10108,10190,10596,8083,8261,124194,9.2%
6,MITSUBISHI FUSO,4803,4527,5180,5304,4848,4152,5136,4944,4020,3492,4062,3212,53680,4%
7,HINO,3264,3441,3936,3381,3672,2195,4345,3634,3502,4456,4142,3631,43599,3.2%
8,ISUZU,1683,2000,1955,2649,2171,1382,2466,1906,1977,2641,2713,2508,26051,1.9%
9,WULING,836,1341,1487,2110,1817,1126,1786,1270,1707,1409,885,372,16146,1.2%
10,DATSUN,2372,149,3517,1613,1021,509,773,350,396,440,520,180,11840,0.9%
11,HYUNDAI (PC),330,308,314,253,296,133,176,203,344,474,385,304,3520,0.3%
12,NISSAN,192,539,661,688,416,84,48,204,192,216,96,132,3468,0.3%
13,B M W,360,355,266,202,247,111,319,282,254,293,197,241,3127,0.2%
14,DFSK,70,80,29,152,242,142,556,-,243,94,170,253,2031,0.2%
15,UD TRUCK,143,105,156,182,153,107,157,188,174,196,201,206,1968,0.1%
16,RENAULT,35,51,2,49,-,-,-,-,-,-,-,-,137,0%
17,MINI,-,-,-,54,41,2,1,-,22,2,29,19,170,0%
18,FAW,20,-,10,14,40,-,-,-,-,-,-,-,84,0%
19,VOLKSWAGEN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
20,SCANIA,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
21,AUDI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,116657,100758,112679,119206,114707,69997,130260,118855,112473,131853,117797,98461,1343703,100%
CUMULATIVE,,116657,217415,330094,449300,564007,634004,764264,883119,995592,1127445,1245242,1343703,,
D. EXPORTS,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"EXPORT
2018","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,DAIHATSU,6130,6757,8795,8490,9917,8419,11130,11345,13404,12004,10005,10786,117182,44.3%
2,TOYOTA,7575,7253,8455,9678,7178,4650,10368,7424,6550,6575,7294,6627,89627,33.9%
3,MITSUBISHI MOTORS,-,-,-,345,1355,567,2291,3735,3968,5198,4879,5004,27342,10.3%
4,SUZUKI,4539,3484,1936,2586,1219,715,965,590,2168,2423,2180,2119,24924,9.4%
5,HINO,165,215,230,220,215,160,235,345,270,370,171,144,2740,1%
6,HYUNDAI (PC),302,241,160,81,240,131,170,120,272,420,330,270,2737,1%
7,DFSK,-,-,-,-,-,-,-,-,-,-,-,1,1,0%
8,NISSAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
9,HONDA,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
10,DATSUN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
TOTAL CBU (UNIT),,18711,17950,19576,21400,20124,14642,25159,23559,26632,26990,24859,24951,264553,100%
1,TOYOTA,3130,3160,3940,4300,4020,2490,4250,3520,3230,3610,3720,3650,43020,52.4%
2,SUZUKI,2568,2664,3624,3288,3120,2016,4560,3576,3504,3648,3436,2940,38944,47.5%
3,HONDA,-,2,2,7,17,-,2,9,9,5,5,-,58,0.1%
4,DFSK,-,-,-,-,-,-,-,-,-,-,-,6,6,0%
5,HINO,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
6,ISUZU,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
7,MITSUBISHI FUSO,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
8,NISSAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
TOTAL CKD (SET),,5698,5826,7566,7595,7157,4506,8812,7105,6743,7263,7161,6596,82028,100%
1,TOYOTA,6503497,6266834,7365659,6604933,7465652,5492374,9050531,6902412,7316109,7106853,7084511,6952126,84111491,97.1%
2,HINO,9365,64670,54958,82689,80302,82627,109143,98513,73042,90185,82817,121914,950225,1.1%
3,SUZUKI,53621,36337,36032,42411,48401,29430,60870,120761,112401,138217,85789,116574,880844,1%
4,HONDA,53999,53352,76096,59042,60993,25080,77590,47702,61144,67030,48578,58706,689312,0.8%
5,ISUZU,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
TOTAL COMPONENT (PCS),,6620482,6421193,7532745,6789075,7655348,5629511,9298134,7169388,7562696,7402285,7301695,7249320,86631872,100%
E.  IMPORTS,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"IMPORT
2018","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,1863,2137,2663,2699,1834,2866,2385,2214,1703,2418,1841,675,25298,30.1%
2,SUZUKI,1711,1790,4653,2887,2473,1839,4104,1147,26,-,4,414,21048,25%
3,MITSUBISHI MOTORS,711,1501,1060,1518,1170,1048,1110,1570,620,1048,1503,399,13258,15.8%
4,HONDA,927,802,586,450,480,258,593,441,474,630,9,30,5680,6.7%
5,MAZDA,409,393,456,536,780,198,564,577,477,397,457,413,5657,6.7%
6,CHEVROLET,1,435,288,175,262,171,462,261,60,128,123,-,2366,2.8%
7,UD TRUCK,106,116,199,144,88,117,276,206,175,168,58,34,1687,2%
8,DAIHATSU,-,200,170,70,80,70,150,130,70,-,309,91,1340,1.6%
9,LEXUS,112,120,219,172,42,116,96,113,133,122,59,6,1310,1.6%
10,ISUZU,120,100,76,95,82,85,67,214,37,100,35,33,1044,1.2%
11,NISSAN,113,361,265,209,-,-,-,-,-,-,-,-,948,1.1%
12,TATA,219,161,175,134,41,12,41,20,87,-,-,-,890,1.1%
13,SCANIA,115,83,68,53,108,108,56,27,67,53,33,23,794,0.9%
14,HYUNDAI (PC),46,51,42,59,57,36,56,106,54,82,76,64,729,0.9%
15,VOLKSWAGEN,22,25,96,32,69,26,41,69,45,35,40,11,511,0.6%
16,MINI,-,-,6,71,17,18,83,60,46,37,45,-,383,0.5%
17,HINO,1,3,12,28,68,-,50,28,34,100,-,59,383,0.5%
18,FAW,40,-,20,34,60,30,43,30,24,20,16,47,364,0.4%
19,BMW,-,-,6,44,3,5,7,41,3,6,14,-,129,0.2%
20,PEUGEOT,-,-,28,13,-,14,16,7,13,27,10,-,128,0.2%
21,MAN TRUCK,15,10,7,10,5,2,7,6,4,4,3,6,79,0.1%
22,AUDI,5,-,7,3,9,2,6,5,2,6,4,1,50,0.1%
23,RENAULT,-,-,-,20,2,30,-,-,-,-,-,-,52,0.1%
24,MITSUBISHI FUSO,14,-,-,-,-,-,-,-,-,-,-,-,14,0%
25,PROTON,-,-,6,-,-,-,-,-,-,-,-,-,6,0%
26,HYUNDAI KOMERSIAL,-,-,-,-,-,-,-,-,2,-,-,-,2,0%
27,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
TOTAL CBU (UNIT),,6550,8288,11108,9456,7730,7051,10213,7272,4156,5381,4639,2306,84150,100%
