1.  SEDAN TYPE SALES                                                                                                                            `JAN-DEC 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2018
,,BRAND ,TYPE MODEL,CC ,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD ,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG ,SEP,OCT,NOV,DEC,,,
,,,4Y92 M4,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany,-,-,-,1,-,1,2,2,1,1,-,1,0.3%,0.1%,9
,,,4S92 M4 GTS,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,4V32 430I,1997,AT,G,-,2070,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany,-,-,-,-,2,-,-,2,1,3,2,1,0.3%,0.2%,11
,,,4P12 440I,2979,AT,G,-,2075,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany,-,-,-,-,-,-,-,3,1,-,-,-,0.1%,0.1%,4
,,,4W72 440I,2979,AT,G,-,2075,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany,-,-,-,-,1,1,-,-,-,-,-,1,0.1%,0%,3
,,,5E56 520D,2000,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,JC36 520D,2000,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,INA,3,13,1,10,8,2,1,-,1,-,-,-,1.2%,0.6%,39
,,,JA52 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,2,1,1,-,-,1,-,-,-,-,-,0.2%,0.1%,5
,,,JA16 520I,2000,AT,G,60,-,-,-,-,-,-,-,4X2,FR,-,4,4,CBU,Germany,23,6,1,60,20,6,3,6,21,3,19,10,5.4%,2.7%,178
,,,JA56 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,15,11,3,23,32,10,8,29,13,17,24,3,5.7%,2.8%,188
