1.   SEDAN TYPE PRODUCTION                                     `JAN-DEC 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,TOTAL 2023
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL
BASE","DIMENSION
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,BR-V  Prestige-HS,"1,500",CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,30,90,-,30,360,930,570,570,180,120,330,240,0.4%,0.4%,"3,450"
,,,,New  CR-V  T,"1,500",AT,G,-,"1,509",-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,60,60,60,60,60,-,-,-,-,-,-,-,0.0%,0.0%,300
,,,,New  CR-V  Prestige,"1,500",AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,5,4,CKD,INA,479,541,540,660,60,-,-,-,-,-,-,-,0.3%,0.2%,"2,280"
,,,,Brio RS,"1,198",MT,G,35,960,-,-,88,"2,345",3610 x  1680 x  1485,5,4X2,FF,-,4,4,CKD,INA,-,180,60,60,180,120,120,120,120,120,180,120,0.2%,0.1%,"1,380"
,,,,Brio RS,"1,198",AT,G,35,960,-,-,88,"2,345",3610 x  1680 x  1485,5,4X2,FF,-,4,4,CKD,INA,900,660,720,240,900,600,600,660,840,840,540,540,1.0%,0.9%,"8,040"
,,HYUNDAI,PT. Hyundai Motor  Mftg Indonesia,Creta Active 1.5 MT,"1,500",MT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,-,6,2,5,-,-,-,-,-,-,3,-,0.0%,0.0%,16
,,,,Creta Trend 1.5 MT,"1,500",MT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,6,102,-,-,1,-,-,-,-,3,-,2,0.0%,0.0%,114
,,,,Creta Trend 1.5 IVT,"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,131,24,5,157,99,4,8,4,7,116,141,11,0.1%,0.1%,707
,,,,Creta Style 1.5 IVT,"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,161,64,-,10,40,-,55,1,-,120,120,-,0.1%,0.1%,571
,,,,Creta Prime 1.5 IVT,"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,180,261,83,15,38,-,271,-,-,312,85,194,0.2%,0.2%,"1,439"
,,,,Creta Prime 1.5 IVT Tw o Tone,"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,802,43,235,283,579,4,164,1,-,49,54,93,0.3%,0.2%,"2,307"
,,,,Creta THI 1.5 AT (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,100,50,150,144,6,30,-,-,0.1%,0.1%,480
,,,,Creta AP 1.5 AT (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,1,-,93,85,81,59,24,46,71,61,57,14,0.1%,0.1%,592
,,,,Creta VIE 1.5 AT (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,600,-,-,-,-,-,-,-,-,-,-,-,0.1%,0.1%,600
,,,,Creta MEA  1.5 MT (Export),"1,500",MT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,1,5,200,-,-,-,-,-,-,-,-,-,0.0%,0.0%,206
,,,,Creta MEA  1.5 AT (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,"2,607","2,598","2,022","1,063","1,951","1,990","2,841","1,946","1,126","1,573","1,803","1,391",2.9%,2.5%,"22,911"
,,,,Creta PHI 1.5 MT (Export),"1,500",MT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,3,12,-,10,-,-,-,-,0.0%,0.0%,25
,,,,Creta PHI 1.5 AT (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,-,-,160,-,110,190,-,65,90,110,130,100,0.1%,0.1%,955
,,,,Creta PHI 1.5 MT (Export),"1,500",MT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,378,212,0.1%,0.1%,590
,,,,Creta PHI 1.5 AT (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,2,-,600,700,"1,200","1,800","1,500","1,518","1,100","1,244","1,596","1,208",1.6%,1.3%,"12,468"
,,,,Creta SAF 1.5 MT (Export),"1,500",MT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,6,32,37,6,12,52,113,278,187,296,263,251,0.2%,0.2%,"1,533"
,,,,Creta SAF 1.5 AT (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x  1790 x  1630,5,4X2,FF,-,5,4,CKD,INA,338,595,603,266,566,644,394,522,513,531,371,234,0.7%,0.6%,"5,577"
,,,,Stargazer Active MT,"1,500",MT,G,40,"1,780",-,205/55/R15,115,"2,780",4460 x  1780 x  1695,7,4X2,FF,-,5,4,CKD,INA,25,-,5,-,-,-,-,9,1,1,-,-,0.0%,0.0%,41
,,,,Stargazer Active IVT,"1,500",AT,G,40,"1,830",-,205/55/R15,115,"2,780",4460 x  1780 x  1695,7,4X2,FF,-,5,4,CKD,INA,42,10,-,1,51,-,3,37,28,71,6,-,0.0%,0.0%,249
,,,,Stargazer Trend MT 7 Seat,"1,500",MT,G,40,"1,780",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,7,4X2,FF,-,5,4,CKD,INA,204,93,-,6,9,-,-,-,-,-,-,-,0.0%,0.0%,312
,,,,Stargazer Trend MT 6 Seat,"1,500",MT,G,40,"1,780",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,15,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,15
,,,,Stargazer Trend IVT 7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,7,4X2,FF,-,5,4,CKD,INA,152,270,69,26,20,-,-,-,-,-,-,-,0.1%,0.1%,537
,,,,Stargazer Trend IVT 6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,58,45,18,6,6,-,-,-,-,-,-,-,0.0%,0.0%,133
,,,,Stargazer Style 7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,7,4X2,FF,-,5,4,CKD,INA,15,-,53,12,8,-,-,-,-,-,-,-,0.0%,0.0%,88
,,,,Stargazer Style 6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,65,8,-,6,7,-,-,-,-,-,-,-,0.0%,0.0%,86
,,,,Stargazer Prime 7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,7,4X2,FF,-,5,4,CKD,INA,675,556,132,89,59,-,31,3,96,200,71,-,0.2%,0.2%,"1,912"
,,,,Stargazer Prime 6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,361,658,958,590,157,-,134,4,251,233,113,-,0.4%,0.4%,"3,459"
,,,,Stargazer Prime 7 Seat Tw o Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,7,4X2,FF,-,5,4,CKD,INA,8,80,12,5,-,-,-,-,-,54,30,-,0.0%,0.0%,189
,,,,Stargazer Prime 6 Seat Tw o Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,286,423,114,183,-,3,-,96,166,46,-,0.2%,0.1%,"1,317"
,,,,Stargazer Essential MT 7 Seat,"1,500",MT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,1,-,10,6,4,0.0%,0.0%,21
,,,,Stargazer Essential MT 6 Seat,"1,500",MT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,1,-,1,5,6,0.0%,0.0%,13
,,,,Stargazer Essential IVT 7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,217,203,57,15,7,-,0.1%,0.1%,499
,,,,Stargazer Essential IVT 6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,38,129,53,37,59,-,0.0%,0.0%,316
,,,,Stargazer X Style 7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,9,1,2,-,0.0%,0.0%,12
,,,,Stargazer X Style 6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,10,-,2,-,0.0%,0.0%,12
,,,,Stargazer X Prime 7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,39,386,231,206,55,-,0.1%,0.1%,917
,,,,Stargazer X Prime 6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,252,536,511,389,215,3,0.2%,0.2%,"1,906"
,,,,Stargazer X Prime 7 Seat Tw o Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,2,11,57,35,8,1,0.0%,0.0%,114
,,,,Stargazer X Prime 6 Seat Tw o Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,3,40,172,81,31,-,0.0%,0.0%,327
,,,,Stargazer VIE 1.5 IVT (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,2,-,-,-,-,1,-,-,-,-,-,0.0%,0.0%,3
,,,,Stargazer PHI 1.5 IVT (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,1,95,57,150,222,-,547,420,541,474,658,0.4%,0.3%,"3,165"
,,,,Stargazer AP 1.5 IVT (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,42,253,168,350,446,36,87,71,100,99,118,0.2%,0.2%,"1,770"
,,,,Stargazer MEA  1.5 IVT (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,70,-,400,22,20,-,9,11,-,0.1%,0.1%,532
,,,,Stargazer MEA  1.5 MT (Export),"1,500",MT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,1,-,-,1,-,-,0.0%,0.0%,2
,,,,Stargazer THI 1.5 IVT (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,345,399,500,150,-,-,0.2%,0.2%,"1,394"
,,,,Stargazer CSA  1.5 IVT (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x  1780 x  1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,3,72,23,104,205,29,0.1%,0.0%,436
,,,,Ioniq5 Prime Reguler,-,AT,EV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,2,8,-,-,9,-,28,6,30,-,-,-,0.0%,0.0%,83
,,,,Ioniq5 Prime Extended,-,AT,EV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,50,-,29,80,95,114,125,3,121,-,49,-,0.1%,0.1%,666
,,,,Ioniq5 Signature Reguler,-,AT,EV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,61,11,109,45,15,29,1,30,-,-,-,0.0%,0.0%,301
,,,,Ioniq5 Signature Extended,-,AT,EV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,188,131,640,751,851,871,698,490,219,610,531,530,0.8%,0.7%,"6,510"
,,MITSUBISHI MOTORS,PT. Mitsubishi Motors  Krama Yudha Indonesia,Xpander 1.5 2WD 4AT M YET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,5,44,43,-,0.0%,0.0%,92
,,,,Xpander 1.5 2WD 4AT H YET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,12,164,192,200,0.1%,0.1%,568
,,,,Xpander 1.5 2WD 4AT Q VET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,587,705,540,189,888,779,924,"1,016",9,-,29,899,0.8%,0.7%,"6,565"
,,,,Xpander 1.5 2WD 4AT Q VET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,321,413,409,321,"1,368",329,326,553,1,-,-,-,0.5%,0.4%,"4,041"
,,,,Xpander 1.5 2WD 5MT H PHL,"1,499",MT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,70,285,85,158,257,118,158,148,183,117,296,211,0.3%,0.2%,"2,086"
,,,,Xpander 1.5 2WD 4AT H PHL,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,109,117,361,455,183,302,697,"1,580",508,15,745,0.6%,0.5%,"5,072"
,,,,Xpander 1.5 2WD 4AT P PHL,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,"1,171","1,436",716,867,"1,523",870,"1,163","1,679",716,533,"1,813",188,1.6%,1.4%,"12,675"
,,,,Xoander 1.5 2WD 4AT Q BGD,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,77,149,10,-,-,-,-,-,-,-,-,-,0.0%,0.0%,236
,,,,Xpander 1.5L Sport (4X2) M/T,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,73,70,63,64,102,17,-,0.0%,0.0%,389
,,,,Xpander 1.5L Exceed (4X2) M/T,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,242,169,257,4,300,238,167,201,91,95,141,69,0.3%,0.2%,"1,974"
,,,,Xpander 1.5L Gls  (4X2) M/T,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,331,218,617,156,290,228,164,145,4,-,-,-,0.3%,0.2%,"2,153"
,,,,Xpander Cross  1.5L (4X2) M/T,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,122,169,469,101,201,284,294,284,273,360,167,141,0.4%,0.3%,"2,865"
,,,,Xpander 1.5 Asg 2Wd Cvt M,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,291,162,386,152,259,186,154,61,-,-,-,-,0.2%,0.2%,"1,651"
,,,,Xpander 1.5 Asg 2Wd Cvt H,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,610,383,206,597,507,512,385,359,273,489,131,1,0.6%,0.5%,"4,453"
,,,,Xpander 1.5 Asg 2Wd Cvt P1,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,114,20,-,-,-,29,31,27,32,58,13,-,0.0%,0.0%,324
,,,,Xpander 1.5 Asg 2Wd Cvt P2,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,983,"1,002","1,144","1,450","1,542","1,025",882,"1,046","1,614","1,688",468,119,1.7%,1.4%,"12,963"
,,,,Xpander Cross  1.5 Asg 2Wd Cvt P2X,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,"3,455","1,386",698,7,2,458,"1,617","1,900","1,830","3,257",678,283,2.0%,1.7%,"15,571"
,,,,Xpander 1.5 2WD 4AT P+ PHL,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,930,"1,068","1,143",449,608,669,735,11,-,"1,044","1,484",173,1.1%,0.9%,"8,314"
,,,,Xpander 1.5 2WD 5MT M PE,"1,499",MT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,55,101,60,200,129,145,50,0.1%,0.1%,740
,,,,Xpander 1.5 2WD 4AT H PE,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,40,-,149,3,-,18,41,15,59,25,20,25,0.1%,0.0%,395
,,,,Xpander Cross  1.5 2WD 4AT Q VET,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,531,714,644,572,663,349,341,502,4,-,23,813,0.7%,0.6%,"5,156"
,,,,Xpander 1.5 2WD 4AT H GCC,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,129,105,36,-,69,462,25,30,55,95,95,45,0.1%,0.1%,"1,146"
,,,,Xpander 1.5 2WD 4AT M GCC,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,259,261,43,-,26,277,237,248,100,150,265,57,0.2%,0.2%,"1,923"
,,,,Xpander 1.5 2WD 4AT H SAU,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,319,280,-,-,122,242,292,664,300,400,-,-,0.3%,0.3%,"2,619"
,,,,Xpander 1.5 2WD 5MT M ZAF,"1,499",MT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,-,-,5,23,36,36,40,1,19,9,27,29,0.0%,0.0%,225
,,,,Xpander 1.5 2WD 4AT H ZAF,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,-,-,25,62,45,69,80,1,119,11,68,71,0.1%,0.1%,551
,,,,Xpander Cross  1.5 2WD 4AT P MUS,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,27,21,25,20,-,-,30,31,29,-,-,-,0.0%,0.0%,183
,,,,Xpander Cross  1.5 2WD 4AT P ARU,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,2,104,28,3,27,25,-,0.0%,0.0%,189
,,,,Xpander Cross  1.5 2WD 4AT Q CO,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,42,57,20,20,20,-,5,-,9,41,30,50,0.0%,0.0%,294
,,,,Xpander Cross  1.5 2WD 4AT H PE,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,-,25,65,-,15,28,67,12,90,19,24,23,0.0%,0.0%,368
,,,,Xpander 1.5 2WD 4AT P MEX,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,50,50,480,113,151,99,52,34,116,-,100,-,0.2%,0.1%,"1,245"
,,,,Xpander Cross  1.5 2WD 4AT H MEX,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,300,350,700,146,654,497,513,342,836,152,"1,946",4,0.8%,0.7%,"6,440"
,,,,Xpander 1.5 2WD 4AT H BD,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,17,28,25,20,-,-,10,-,-,-,30,34,0.0%,0.0%,164
,,,,Xpander Cross  1.5 2Wd 4At H Pa,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4476 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,57,120,113,173,2,8,30,14,87,74,80,55,0.1%,0.1%,813
,,,,Xpander 1.5 2Wd 4At M Aw,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,34,-,5,28,-,9,3,-,2,8,0.0%,0.0%,89
,,,,Xpander 1.5 2Wd 4At H Pa,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,26,4,60,19,-,16,30,-,5,-,4,6,0.0%,0.0%,170
,,,,Xpander 1.5 2Wd Cvt H Mmth,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,60,-,20,20,-,-,12,-,-,-,0.0%,0.0%,112
,,,,Xpander 1.5 2Wd Cvt P Mmth,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,7,776,10,371,691,45,-,645,16,-,-,0.3%,0.3%,"2,561"
,,,,Xpander Cross  1.5 2Wd Cvt P Mmth,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,756,"1,243","1,195",203,707,375,"1,053",318,567,14,-,-,0.8%,0.7%,"6,431"
,,,,Xpander 1.5 2Wd 5Mt H Pe,"1,499",MT,G,45,"1,780","4,812",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,160,-,266,2,-,-,-,-,-,-,-,-,0.1%,0.0%,428
,,,,Xpander Cross  1.5 2Wd 4At H Uae,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,25,23,-,-,1,106,30,30,15,30,50,-,0.0%,0.0%,310
,,,,Xpander Cross  1.5 2Wd 4At P,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,76,104,38,20,25,40,5,-,-,-,-,-,0.0%,0.0%,308
,,,,Xpander Cross  1.5 2Wd 4At P Uea,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,38,116,49,-,89,510,493,555,160,140,105,29,0.3%,0.2%,"2,284"
,,,,Xpander Cross  1.5 2Wd 4At P Sa,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,2,59,106,133,-,-,-,-,0.0%,0.0%,300
,,,,Xpander 4 AT EXP Costa Rica,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,2,18,10,-,3,17,-,1,9,10,7,11,0.0%,0.0%,88
,,,,Xpander Cross  Export,"1,499",MT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,3,18,51,12,42,21,29,25,19,16,-,-,0.0%,0.0%,236
,,,,Xpander Export To Jamaica,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,2,2,7,-,4,2,2,4,-,3,-,-,0.0%,0.0%,26
,,,,Xpander Export To Columbia & Peru,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,16,4,-,10,-,-,-,-,-,-,-,0.0%,0.0%,30
,,,,Xpander Type H Export To Iraq,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,-,96,44,50,-,-,-,-,-,-,0.0%,0.0%,190
,,,,Xpander Cross  Type P Export To Iraq,"1,499",AT,G,45,"1,780","4,812",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,10,-,-,-,-,-,-,-,0.0%,0.0%,10
