1.   SEDAN TYPE PRODUCTION                                     `JAN-DEC 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,TOTAL 2023
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL
BASE","DIMENSION
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
CATEGORY,,BRAND,ASSEMBLER,MODEL/TYPE,CC,TRANS,FUEL,"KAPT.
TANG.","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS/HP,WHEEL BASE,DIMENSION                  P x L x T,SEATER,DRIVE SYS.,,SPEED,DOOR,WHEEL,CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,"Segmt
Share","4X2
Share",TOTAL 2023
4X2 TYPE,CC < 1.500 [G/D],DAIHATSU,PT. Astra Daihatsu Motor,All New  Xenia 1.3 M MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,14,40,44,-,1,54,80,34,16,19,11,8,0.0%,0.0%,321
,,,,All New  Xenia 1.3 X MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,400,366,546,510,576,506,695,432,313,259,209,124,0.6%,0.5%,"4,936"
,,,,All New  Xenia 1.3 X CVT,"1,329",AT,G,43,"1,705","5,105",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,244,245,304,78,14,30,3,170,206,352,86,43,0.2%,0.2%,"1,775"
,,,,All New  Xenia 1.3 R MT,"1,329",MT,G,43,"1,705","5,545",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,238,307,420,271,286,469,461,219,265,296,164,90,0.4%,0.4%,"3,486"
,,,,All New  Xenia 1.3 R CVT,"1,329",AT,G,43,"1,705","5,105",185/65R15,97,"2,750",4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,290,210,288,186,112,75,3,235,529,313,102,140,0.3%,0.3%,"2,483"
,,,,All New  Xenia 1.5 R MT,"1,496",MT,G,43,"1,705","5,077",195/60R16,106,"2,750",4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,92,58,39,38,8,71,-,51,40,64,40,19,0.1%,0.1%,520
,,,,All New  Xenia 1.5 R CVT,"1,496",AT,G,43,"1,705","5,105",195/60R16,106,"2,750",4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,53,71,65,36,73,42,-,53,83,140,59,38,0.1%,0.1%,713
,,,,All New  Xenia 1.5 R ASA  CVT,"1,496",AT,G,43,"1,705","5,105",195/60R16,106,"2,750",4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,10,7,5,7,8,12,-,11,10,10,10,3,0.0%,0.0%,93
,,,,Rocky  1.0 R ASA  CVT,998,AT,G,36,"1,680","5,105",205/60/R17,98,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,9,24,12,8,2,2,3,5,5,10,7,2,0.0%,0.0%,89
,,,,Rocky  1.0 R CVT,998,AT,G,36,"1,680","5,105",205/60/R17,98,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,62,64,42,56,7,3,55,15,20,34,10,20,0.0%,0.0%,388
,,,,Rocky  1.0 R MT,998,MT,G,36,"1,680","5,462",205/60/R17,98,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,10,5,10,4,6,13,5,-,3,3,2,3,0.0%,0.0%,64
,,,,Rocky  1.2 X CVT,"1,200",AT,G,36,"1,680","5,105",205/65/R16,88,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,442,352,388,296,164,161,197,147,330,182,347,255,0.4%,0.4%,"3,261"
,,,,Rocky  1.2 X MT,"1,200",MT,G,36,"1,680","5,462",205/65/R16,88,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,19,48,53,104,67,189,220,214,89,74,51,50,0.2%,0.1%,"1,178"
,,,,Rocky  1.2 M CVT,"1,200",AT,G,36,"1,680","5,105",205/65/R16,88,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,10,24,51,-,-,5,15,35,-,52,5,15,0.0%,0.0%,212
,,,,Rocky  1.2 M MT,"1,200",MT,G,36,"1,680","5,462",205/65/R16,88,"2,525",4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,5,10,20,19,14,15,10,5,6,4,12,5,0.0%,0.0%,125
,,,,Luxio 1.5 D (New ),"1,495",MT,G,43,"1,290","5,152",195/65R15,97,"2,650",4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,39,47,102,59,34,98,61,67,19,10,37,24,0.1%,0.1%,597
,,,,Luxio 1.5 X MT (New ),"1,298",MT,G,45,"1,320","5,152",195/65R15,97,"2,650",4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,196,175,213,167,177,165,190,58,131,62,75,10,0.2%,0.2%,"1,619"
,,,,Luxio 1.5 X AT (New ),"1,495",AT,G,43,"1,320","5,152",195/65R15,97,"2,650",4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,55,81,137,59,67,102,52,58,45,38,33,14,0.1%,0.1%,741
,,,,Luxio 1.5 AK MT,"1,495",MT,G,43,"1,320","5,152",195/65R15,97,"2,650",4215X1710X1915,2,4X2,FR,-,5,4,CKD,INA,3,3,2,4,6,3,3,3,3,-,10,-,0.0%,0.0%,40
,,,,All New  Terios  Ids  X Mt,"1,496",MT,G,45,"1,245","5,571",215/65/R16,104,"2,685",4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,626,987,"1,929",611,762,-,-,-,-,-,-,-,0.6%,0.5%,"4,915"
,,,,All New  Terios  Ids  X At,"1,496",AT,G,45,"1,255","5,857",215/65/R16,104,"2,685",4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,97,277,378,169,194,-,-,-,-,-,-,-,0.1%,0.1%,"1,115"
,,,,All New  Terios  Ids  R Mt,"1,496",MT,G,45,"1,260","5,571",215/60/R17,104,"2,685",4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,437,443,446,235,283,-,-,-,-,-,-,-,0.2%,0.2%,"1,844"
,,,,All New  Terios  Ids  R At,"1,496",AT,G,45,"1,270","5,857",215/60/R17,104,"2,685",4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,174,208,292,127,152,-,-,-,-,-,-,-,0.1%,0.1%,953
,,,,All New  Terios  Ids  Custom Mt,"1,496",MT,G,45,"1,260","5,571",215/60/R17,104,"2,685",4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,2,2,-,2,2,-,-,-,-,-,-,-,0.0%,0.0%,8
,,,,All New  Terios  Ids  Custom At,"1,496",AT,G,45,"1,270","5,857",215/60/R17,104,"2,685",4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,2,2,-,2,2,-,-,-,-,-,-,-,0.0%,0.0%,8
,,,,All New  Terios  Ids  X Mt (Mc  2023),"1,496",MT,G,45,"1,870","5,571",215/65/R16,104,"2,685",4455X1695X1705,7,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,"1,452","1,074","1,086",423,"1,180","1,188","1,527",1.0%,0.9%,"7,930"
,,,,All New  Terios  Ids  X At (Mc  2023),"1,496",AT,G,45,"1,870","5,857",215/65/R16,104,"2,685",4455X1695X1706,7,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,155,404,407,517,561,484,331,0.4%,0.3%,"2,859"
,,,,All New  Terios  Ids  R Mt (Mc  2023),"1,496",MT,G,45,"1,870","5,571",215/60/R17,104,"2,685",4455X1695X1707,7,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,487,144,173,216,266,302,605,0.3%,0.2%,"2,193"
,,,,All New  Terios  Ids  R At (Mc  2023),"1,496",AT,G,45,"1,870","5,857",215/60/R17,104,"2,685",4455X1695X1708,7,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,124,239,297,175,366,173,195,0.2%,0.2%,"1,569"
,,,,All New  Terios  Ids  Custom Mt (Mc  2023),"1,496",MT,G,45,"1,870","5,571",215/60/R17,104,"2,685",4455X1695X1709,7,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,101,64,20,7,45,38,92,0.0%,0.0%,367
,,,,All New  Terios  Ids  Custom At (Mc  2023),"1,496",AT,G,45,"1,870","5,857",215/60/R17,104,"2,685",4455X1695X1710,7,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,121,34,39,18,90,76,87,0.1%,0.1%,465
,,,,Gran Max  BV  1.3,"1,298",MT,G,43,"2,000","5,125",165R1308PR,88,"2,650",4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,268,255,346,398,500,934,998,949,964,456,410,642,0.9%,0.8%,"7,120"
,,,,"Gran Max  BV  1,5","1,500",MT,G,43,"2,000","5,125",165R1308PR,88,"2,650",4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,1,369,6,0.0%,0.0%,376
,,,,Gran Max  MB 1.3 HI,"1,298",MT,G,43,"1,840","5,125",165R1308PR,88,"2,650",4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,293,243,266,213,208,213,257,87,80,118,103,105,0.3%,0.2%,"2,186"
,,,,Gran Max  MB 1.3 HI  FF,"1,298",MT,G,43,"1,840","5,125",165R1308PR,88,"2,650",4045X1665X1900,8,4X2,FR,-,5,4,CKD,INA,91,67,68,60,60,46,87,44,62,94,61,71,0.1%,0.1%,811
