NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU / CKD
/ COMP","DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Bahrain,4,-,-,48,17,14,31,,,,,,114
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X3,-,-,5,4,CBU,Bangladesh,-,5,-,-,-,-,-,,,,,,5
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Brunei,12,-,-,63,37,5,30,,,,,,147
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Cambodia,64,-,-,58,-,-,50,,,,,,172
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Costa Rica,-,-,-,-,5,3,5,,,,,,13
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,East Timor,-,-,-,-,-,-,1,,,,,,1
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Kuwait,-,-,-,244,133,125,125,,,,,,627
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Lebanon,7,-,-,-,12,10,8,,,,,,37
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Mexico,219,-,-,241,"1,045",815,868,,,,,,"3,188"
,,,Veloz,"1,500",MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Mexico,118,-,-,-,-,-,-,,,,,,118
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Oman,-,-,-,60,12,31,64,,,,,,167
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Peru,1,-,-,14,18,4,28,,,,,,65
,,,Veloz,"1,500",MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Peru,218,-,-,-,-,-,-,,,,,,218
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Philippines,857,-,-,"1,040","1,248","1,445","1,521",,,,,,"6,111"
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Qatar,4,-,-,165,54,33,46,,,,,,302
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Saudi Arabia,36,-,-,"1,066","1,469","1,230","1,275",,,,,,"5,076"
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Thailand,206,272,112,334,356,160,224,,,,,,"1,664"
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,UAE,7,-,-,269,249,150,404,,,,,,"1,079"
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Yemen,-,-,-,-,-,-,-,,,,,,-
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Brunei,50,34,1,71,45,34,78,,,,,,313
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Kuwait,-,-,-,-,-,-,-,,,,,,-
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Oman,18,20,-,10,-,-,-,,,,,,48
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Philippines,636,739,2,584,486,295,552,,,,,,"3,294"
,,,Fortuner,"2,400",6MT,D,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Philippines,-,-,-,-,-,24,27,,,,,,51
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,P.N.G,2,1,1,2,-,26,-,,,,,,32
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Qatar,7,-,-,-,-,-,-,,,,,,7
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Saudi Arabia,120,148,116,119,88,69,113,,,,,,773
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Srilanka,-,-,-,-,-,1,-,,,,,,1
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Tunisia,-,-,-,-,-,10,10,,,,,,20
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,UAE,1,-,-,-,-,-,-,,,,,,1
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Yemen,3,2,2,3,-,2,3,,,,,,15
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Aruba,-,-,7,-,-,-,-,,,,,,7
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Antigua,-,-,-,-,-,-,-,,,,,,-
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Bahamas,-,-,8,-,-,-,-,,,,,,8
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Bahrain,3,4,14,7,9,6,18,,,,,,61
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Barbados,-,-,6,-,-,-,-,,,,,,6
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Bermuda,-,-,49,-,-,-,-,,,,,,49
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Brunei,1,-,5,3,3,3,2,,,,,,17
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Cfao Lhd Awp,-,-,-,-,-,-,-,,,,,,-
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Cfao Lhd Jba,-,-,-,-,-,-,-,,,,,,-
,,,Fortuner,"2,700",5MT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Ecuador,1,19,2,107,-,97,33,,,,,,259
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Grand Cayman,1,1,-,-,1,2,2,,,,,,7
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Grenada,-,-,523,-,-,-,-,,,,,,523
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Guatemala,-,-,19,-,-,-,-,,,,,,19
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Guyana,-,-,-,-,2,-,1,,,,,,3
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Jamaica,1,2,359,-,4,-,3,,,,,,369
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Jordan,10,8,1,5,5,4,2,,,,,,35
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Kuwait,7,17,2,17,6,5,3,,,,,,57
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Lebanon,10,-,-,-,14,7,6,,,,,,37
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Nepal,-,-,26,-,-,-,-,,,,,,26
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Nigeria,-,-,-,-,-,-,-,,,,,,-
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Oman,95,57,6,28,4,25,59,,,,,,274
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Qatar,20,-,-,-,-,-,-,,,,,,20
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Saudi Arabia,759,884,316,837,726,542,"1,093",,,,,,"5,157"
