NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU / CKD
/ COMP","DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Yaris Cross,"1,500",AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Vietnam Hpg,548,616,97,695,584,709,904,,,,,,"4,153"
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Antigua,-,-,-,-,2,1,-,,,,,,3
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Aruba,5,5,15,-,12,6,6,,,,,,49
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Bahamas,7,7,-,-,30,10,10,,,,,,64
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Barbados,20,4,-,-,40,15,15,,,,,,94
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Belize,-,-,-,-,-,-,-,,,,,,-
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Bermuda,5,5,-,-,10,5,5,,,,,,30
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Bolivia,-,-,-,4,4,2,2,,,,,,12
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Brunei,3,15,230,16,4,6,8,,,,,,282
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Cambodia,-,-,-,9,-,-,5,,,,,,14
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Chile,125,84,4,70,146,88,196,,,,,,713
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Cayman,-,-,-,-,-,-,-,,,,,,-
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Costa Rica,14,24,4,7,6,9,-,,,,,,64
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,El Salvador,-,-,-,-,16,10,8,,,,,,34
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Grand Cayman,-,-,-,-,-,3,6,,,,,,9
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Grenada,3,2,-,-,2,1,-,,,,,,8
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Guatemala,8,10,-,14,9,21,37,,,,,,99
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Guyana,-,-,12,-,-,-,-,,,,,,12
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Honduras,9,17,18,10,9,20,15,,,,,,98
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Jamaica,5,5,25,-,32,5,18,,,,,,90
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Laos,7,-,-,-,13,7,13,,,,,,40
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,N.Antilles Cur,-,-,-,-,6,2,2,,,,,,10
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Nepal,-,14,-,-,-,-,-,,,,,,14
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Nicaragua,-,-,-,1,34,19,22,,,,,,76
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Paraguay,59,18,5,-,35,10,7,,,,,,134
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Peru,96,110,8,73,129,69,125,,,,,,610
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Philippines,252,271,12,168,65,92,60,,,,,,920
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Sri Lanka,-,-,-,-,8,5,10,,,,,,23
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Suriname,-,-,22,-,-,-,-,,,,,,22
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,St. Kitts,-,-,-,-,-,-,-,,,,,,-
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,St. Lucia,-,-,19,-,6,4,6,,,,,,35
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,St. Maarten,-,1,67,-,3,-,-,,,,,,71
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,St. Vincent,-,1,104,-,-,-,-,,,,,,105
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Trinidad,65,-,-,-,-,40,45,,,,,,150
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Venezuela,-,-,27,-,-,-,-,,,,,,27
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Vietnam Hcm,36,20,7,26,26,70,126,,,,,,311
,,,Yaris Cross,"1,500",AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Vietnam Hpg,35,8,78,14,12,33,35,,,,,,215
,,,TOTAL,,,,,,,,,,,,,,,,,,,"11,213","11,827","13,859","13,602","16,047","13,778","17,414",-,-,-,-,-,"97,740"
"EXP CBU NO.2, 3, 4, 5,      , CKD & COMP…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
