NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,,,BRAND,,,,MODEL,,,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,SPEED,DOOR,WHEELS,CBU / CKD / COMP,"DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
1      CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (Oman),,,"1,495",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (Costarica),,,"1,495",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (Guatemala),,,"1,495",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (Guatemala),,,"1,495",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (Honduras),,,"1,495",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (TTC EA RHD),,,"1,298",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (TTC EA RHD),,,"1,495",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Toyota Avanza (Bolivia),,,"1,298",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (Timor Leste),,,"1,298",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (Vanuatu),,,"1,298",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (Vietnam),,,"1,298",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (Vietnam),,,"1,495",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avanza (Myanmar),,,"1,298",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Philipines),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
