"BY CATEGORY JAN-DEC 2019
WHOLESALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","MARKET
2019","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","56","177","188","107","123","134","223","201","135","109","189","109","1,751","0.2%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","175","382","355","281","418","219","487","481","490","428","471","385","4,572","0.4%",""
"","","CC > 3.001 (G)/2.501 (D)","6","7","2","5","4","3","5","7","2","32","8","8","89","0.0%",""
"","SUB TOTAL","","237","566","545","393","545","356","715","689","627","569","668","502","6,412","0.6%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","30,307","34,486","42,790","37,824","37,923","24,530","39,096","40,246","41,770","40,101","38,383","35,180","442,636","43.0%",""
"","","1.501 < CC < 2.500 (G/D)","9,210","9,558","10,916","10,049","10,158","7,662","8,704","9,656","8,641","9,885","9,720","9,161","113,320","11.0%",""
"","","2.501 < CC < 3.000 (G)","101","129","95","70","85","29","35","199","243","197","228","182","1,593","0.2%",""
"","","CC > 3.001 (G)/2.501 (D)","-","2","4","11","8","4","9","2","1","1","6","16","64","0.0%",""
"","SUB TOTAL","","39,618","44,175","53,805","47,954","48,174","32,225","47,844","50,103","50,655","50,184","48,337","44,539","557,613","54.1%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","-","-","1","2","-","180","115","66","81","50","44","13","552","0.1%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","184","230","281","152","138","172","164","210","311","251","190","173","2,456","0.2%",""
"","","CC > 3.001 (G)/2.500 (D)","88","89","105","104","111","84","125","96","74","57","59","60","1,052","0.1%",""
"","SUB TOTAL","","272","319","387","258","249","436","404","372","466","358","293","246","4,060","0.4%",""
"04","BUS","GVW          5 - 10        Ton (G/D)","136","147","143","142","80","105","119","153","252","187","101","61","1,626","0.2%",""
"","","GVW         10 - 24       Ton (G/D)","293","193","139","181","37","112","114","149","142","207","125","418","2,110","0.2%",""
"","","GVW           > 24         Ton (G/D)","-","-","1","-","-","11","-","9","5","1","2","9","38","0.0%",""
"","SUB TOTAL","","429","340","283","323","117","228","233","311","399","395","228","488","3,774","0.4%",""
"05","PICK UP","GVW            < 5          Ton (G/D)","14,246","9,903","8,774","8,894","10,128","8,922","11,719","12,432","12,312","12,497","12,326","13,230","135,383","13.1%",""
"6 .","TRUCK","GVW          5 - 10        Ton (G/D)","6,772","5,649","4,404","3,853","3,758","4,149","5,173","5,777","5,966","7,148","5,917","6,189","64,755","6.3%",""
"","","GVW         10 - 24       Ton (G/D)","682","535","548","479","620","586","746","793","788","885","523","753","7,938","0.8%",""
"","","GVW           > 24         Ton (G/D)","1,843","1,948","2,262","1,493","1,343","1,169","1,657","2,046","1,839","1,887","1,549","1,865","20,901","2.0%",""
"","SUB TOTAL","","9,297","8,132","7,214","5,825","5,721","5,904","7,576","8,616","8,593","9,920","7,989","8,807","93,594","9.1%",""
"07","DOUBLE CABIN
4X2 / 4X4","GVW            < 5          Ton (G/D)
For all CC","1,094","1,142","1,168","1,005","912","803","1,069","1,128","871","987","796","861","11,836","1.1%",""
"","SUB TOTAL","","1,094","1,142","1,168","1,005","912","803","1,069","1,128","871","987","796","861","11,836","1.1%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","16,962","17,232","18,192","19,404","18,263","10,726","19,694","16,917","19,252","21,218","20,603","18,991","217,454","21.1%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","16,962","17,232","18,192","19,404","18,263","10,726","19,694","16,917","19,252","21,218","20,603","18,991","217,454","21%",""
"","","","","","","","","","","","","","","","","",""
"MARKET TOTAL","","","82,155","81,809","90,368","84,056","84,109","59,600","89,254","90,568","93,175","96,128","91,240","87,664","1,030,126","100%",""
"CUMMULATIVE","","","82,155","163,964","254,332","338,388","422,497","482,097","571,351","661,919","755,094","851,222","942,462","1,030,126","","",""
"RETAIL SALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","RETAIL
2019","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","159","136","228","168","178","119","199","164","199","168","192","230","2,140","0.2%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","164","308","395","306","384","199","468","498","465","408","506","464","4,565","0.4%",""
"","","CC > 3.001 (G)/2.501 (D)","7","7","2","5","3","4","5","5","3","33","8","4","86","0.0%",""
"","SUB TOTAL","","330","451","625","479","565","322","672","667","667","609","706","698","6,791","0.7%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","37,757","35,418","39,950","35,403","41,201","28,200","37,300","37,701","34,448","36,843","38,893","42,098","445,212","42.7%",""
"","","1.501 < CC < 2.500 (G/D)","10,255","9,888","10,618","9,182","10,937","7,888","10,264","10,785","9,038","9,811","10,444","11,049","120,159","11.5%",""
"","","2.501 < CC < 3.000 (G)","86","85","108","88","91","41","71","163","182","201","210","181","1,507","0.1%",""
"","","CC > 3.001 (G)/2.501 (D)","1","-","-","-","-","-","-","-","-","-","7","4","12","0.0%",""
"","SUB TOTAL","","48,099","45,391","50,676","44,673","52,229","36,129","47,635","48,649","43,668","46,855","49,554","53,332","566,890","54.4%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","7","5","7","5","-","1","229","104","67","40","51","46","562","0.1%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","149","201","273","220","167","146","196","188","277","265","225","197","2,504","0.2%",""
"","","CC > 3.001 (G)/2.500 (D)","76","85","101","94","73","104","87","95","80","96","101","68","1,060","0.1%",""
"","SUB TOTAL","","232","291","381","319","240","251","512","387","424","401","377","311","4,126","0.4%",""
"04","BUS","GVW          5 - 10        Ton (G/D)","190","112","141","175","95","93","117","137","260","170","113","93","1,696","0.2%",""
"","","GVW         10 - 24       Ton (G/D)","252","196","183","202","122","75","144","118","116","164","156","210","1,938","0.2%",""
"","","GVW           > 24         Ton (G/D)","1","-","1","-","-","11","-","-","2","2","5","5","27","0.0%",""
"","SUB TOTAL","","443","308","325","377","217","179","261","255","378","336","274","308","3,661","0.4%",""
"05","PICK UP","GVW            < 5          Ton (G/D)","11,415","10,134","10,555","10,162","10,801","8,594","11,619","12,237","11,504","12,046","13,069","13,492","135,628","13.0%",""
"06","TRUCK","GVW          5 - 10        Ton (G/D)","6,183","4,932","4,551","4,664","3,845","3,847","5,165","5,555","5,910","6,544","6,600","6,723","64,519","6.2%",""
"","","GVW         10 - 24       Ton (G/D)","673","498","658","437","567","487","705","616","835","647","732","830","7,685","0.7%",""
"","","GVW           > 24         Ton (G/D)","1,878","1,835","2,366","1,374","1,365","1,149","1,606","1,948","1,817","1,941","1,585","1,751","20,615","2.0%",""
"","SUB TOTAL","","8,734","7,265","7,575","6,475","5,777","5,483","7,476","8,119","8,562","9,132","8,917","9,304","92,819","8.9%",""
"07","DOUBLE CABIN
4X2 / 4X4","GVW            < 5          Ton (G/D)
For all CC","1,154","1,186","1,227","1,147","991","713","1,060","948","786","1,005","1,003","876","12,096","1.2%",""
"","SUB TOTAL","","1,154","1,186","1,227","1,147","991","713","1,060","948","786","1,005","1,003","876","12,096","1.2%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","17,148","16,267","19,751","16,990","23,061","14,079","18,376","17,996","16,864","18,530","19,418","22,526","221,006","21.5%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","17,148","16,267","19,751","16,990","23,061","14,079","18,376","17,996","16,864","18,530","19,418","22,526","221,006","21.5%",""
"","","","","","","","","","","","","","","","","",""
"RETAIL TOTAL","","","87,555","81,293","91,115","80,622","93,881","65,750","87,611","89,258","82,853","88,914","93,318","100,847","1,043,017","100%",""
"CUMMULATIVE","","","87,555","168,848","259,963","340,585","434,466","500,216","587,827","677,085","759,938","848,852","942,170","1,043,017","","",""
"PRODUCTION","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","PROD
2019","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","1,421","1,908","2,319","2,028","3,090","1,966","3,612","3,563","2,349","3,782","3,165","2,320","31,523","2.4%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","30","27","13","26","20","3","44","129","167","132","251","163","1,005","0.1%",""
"","","CC > 3.001 (G)/2.500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","1,451","1,935","2,332","2,054","3,110","1,969","3,656","3,692","2,516","3,914","3,416","2,483","32,528","2.5%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","47,434","43,349","50,137","52,578","49,517","33,503","60,713","62,685","62,393","60,403","53,711","44,158","620,581","48.2%",""
"","","1.501 < CC < 2.500 (G/D)","10,900","9,130","10,520","9,863","9,500","5,913","9,127","10,080","9,662","9,181","7,941","6,776","108,593","8.4%",""
"","","2.501 < CC < 3.000 (G)","1,710","2,118","1,602","1,523","2,006","1,333","1,584","1,172","1,187","954","1,464","1,258","17,911","1.4%",""
"","","CC > 3.001 (G)/2.500 (D)","19","15","-","5","-","-","-","-","-","-","-","-","39","0.0%",""
"","SUB TOTAL","","60,063","54,612","62,259","63,969","61,023","40,749","71,424","73,937","73,242","70,538","63,116","52,192","747,124","58.1%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","-","-","-","-","2","-","-","-","-","-","-","-","2","0.0%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","1,204","1,173","1,255","994","1,213","963","1,724","1,543","1,419","1,490","1,281","1,095","15,354","1.2%",""
"","","CC > 3.001 (G)/2.500 (D)","186","303","388","387","579","433","736","597","559","564","506","391","5,629","0.4%",""
"","SUB TOTAL","","1,390","1,476","1,643","1,381","1,794","1,396","2,460","2,140","1,978","2,054","1,787","1,486","20,985","1.6%",""
"04","BUS","GVW          5 - 10        Ton (G/D)","180","141","112","178","241","188","344","191","140","166","108","83","2,072","0.2%",""
"","","GVW         10 - 24       Ton (G/D)","126","114","124","66","30","62","88","73","91","138","157","134","1,203","0.1%",""
"","","GVW           > 24         Ton (G/D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","306","255","236","244","271","250","432","264","231","304","265","217","3,275","0.3%",""
"05","PICK UP","GVW            < 5          Ton (G/D)","12,665","6,730","15,163","10,318","10,894","6,941","13,849","13,043","14,392","14,521","14,449","13,185","146,150","11.4%",""
"06","TRUCK","GVW          5 - 10        Ton (G/D)","7,126","7,065","6,852","5,046","4,358","3,341","5,278","5,231","5,193","5,538","6,253","5,889","67,170","5.2%",""
"","","GVW         10 - 24       Ton (G/D)","668","937","759","712","586","426","607","630","598","603","490","373","7,389","0.6%",""
"","","GVW           > 24         Ton (G/D)","2,526","2,012","1,803","1,350","1,201","825","1,430","1,085","1,011","1,357","1,087","1,511","17,198","1.3%",""
"","SUB TOTAL","","10,320","10,014","9,414","7,108","6,145","4,592","7,315","6,946","6,802","7,498","7,830","7,773","91,757","7.1%",""
"07","DOUBLE CABIN","GVW            < 5          Ton (G/D)
For all CC","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","20,096","20,082","22,756","19,569","20,105","13,316","20,422","19,686","21,797","24,139","22,102","20,959","245,029","19.0%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","20,096","20,082","22,756","19,569","20,105","13,316","20,422","19,686","21,797","24,139","22,102","20,959","245,029","19.0%",""
"","","","","","","","","","","","","","","","","",""
"PRODUCTION TOTAL","","","106,291","95,104","113,803","104,643","103,342","69,213","119,558","119,708","120,958","122,968","112,965","98,295","1,286,848","100%",""
"PRODUCTION CUM. TOTAL","","","106,291","201,395","315,198","419,841","523,183","592,396","711,954","831,662","952,620","1,075,588","1,188,553","1,286,848","","",""
"EXPORTS","","","","","","","","","","","","","","","","",""
"CBU (UNIT)","","","22,195","22,967","25,485","20,341","28,137","18,661","31,638","36,469","34,572","35,080","31,365","25,113","332,023","",""
"CKD (SET)","","","41,732","45,259","46,882","45,183","58,201","25,547","36,359","34,648","36,251","30,760","28,691","81,912","511,425","",""
"COMPONENTS (PIECES)","","","6,878,168","6,504,544","8,761,568","7,824,863","8,701,934","4,916,225","5,327,326","6,290,118","6,423,038","6,484,918","5,049,384","6,153,218","79,315,304","",""
"IMPORTS","","","","","","","","","","","","","","","","",""
"CBU (UNIT)","","","3,306","8,665","6,334","5,082","4,728","7,694","8,919","6,092","6,345","8,114","5,028","3,569","73,876","",""
"©GAIKINDO-19","","","","","","","","","","","","","","","","",""
"BY CATEGORY JAN-DEC 2019/2018","","","","","","","","","","","","","","","","",""
