NO.,BRAND,MONTH,,,,,,,,,,,,"SALES
2021","SHARE
%"
7,ISUZU,1846,1814,2165,2234,1831,2078,1792,2168,2474,2458,2772,3646,27278,3.2%
8,WULING,1010,861,1778,2426,2239,1873,1006,1872,2318,2601,3075,2861,23920,2.8%
9,HINO,1352,1323,1665,1513,1129,1529,1312,1602,1711,1801,2258,2598,19793,2.3%
10,NISSAN,1197,985,988,602,454,390,188,250,263,240,331,297,6185,0.7%
11,MAZDA,329,258,287,591,236,260,123,361,385,235,201,248,3514,0.4%
12,DFSK,225,247,274,301,229,232,226,241,224,234,254,246,2933,0.3%
13,HYUNDAI - HMID,62,161,175,235,159,252,240,285,311,343,321,331,2875,0.3%
14,K I A,68,160,372,401,256,302,261,211,201,252,227,127,2838,0.3%
15,B M W,168,175,230,215,197,202,125,181,212,185,241,302,2433,0.3%
16,MERCEDES-BENZ PC,192,187,224,215,207,210,103,169,210,210,266,-,2193,0.3%
17,MERCEDES-BENZ CV,130,71,75,144,103,62,99,108,159,221,347,385,1904,0.2%
18,UD TRUCKS,130,125,174,152,143,118,65,118,83,90,108,91,1397,0.2%
19,MORRIS GARAGE,52,50,87,121,113,124,70,73,114,103,120,74,1101,0.1%
20,LEXUS,28,81,101,104,86,109,68,72,78,65,117,91,1000,0.1%
21,MINI,40,42,41,65,66,73,51,62,71,60,69,29,669,0.1%
22,SCANIA,34,35,57,70,75,75,47,35,43,30,30,10,541,0.1%
23,VOLKSWAGEN,36,28,58,44,16,34,15,13,22,28,52,34,380,0%
24,PEUGEOT,34,19,14,11,25,11,4,4,12,38,54,39,265,0%
25,TATA,12,5,50,17,16,5,16,46,43,18,22,14,264,0%
26,HYUNDAI - HIM,54,15,36,26,11,22,5,16,11,8,3,3,210,0%
27,FAW,14,12,11,3,15,15,44,6,10,16,4,24,174,0%
28,RENAULT,46,-,-,-,-,-,-,-,-,-,-,-,46,0%
29,AUDI,1,3,1,4,3,2,5,5,4,1,4,5,38,0%
30,DATSUN,-,1,19,-,-,-,-,-,-,-,-,-,20,0%
31,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
32,HONGYAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
33,CHEVROLET,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
34,MAN TRUCK,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,53997,46941,77514,79502,64175,65715,64033,75820,72637,77002,84544,101468,863348,100%
CUMULATIVE,,53997,100938,178452,257954,322129,387844,451877,527697,600334,677336,761880,863348,,
C.  PRODUCTION,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"PROD
2021","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,32469,34405,38643,35573,25925,40035,30601,43018,45295,40634,48058,50778,465434,41.5%
2,DAIHATSU,8988,10747,15076,15752,8252,15446,9282,14408,17297,16932,15616,16023,163819,14.6%
3,MITSUBISHI MOTORS,10387,9240,16061,13554,9682,13272,9502,14882,12702,10821,12079,14412,146594,13.1%
4,SUZUKI,10098,8428,12142,10322,6977,11177,8191,11396,12869,10363,12825,12944,127732,11.4%
5,HONDA,7180,6912,10539,7935,5208,9759,8263,7108,3002,5852,8016,10301,90075,8%
6,MITSUBISHI FUSO,2392,2664,2976,2664,1560,1620,2556,3288,3778,4318,4680,3617,36113,3.2%
7,ISUZU,1857,2048,2597,2941,2179,2463,2087,2567,3318,3800,3612,3350,32819,2.9%
8,WULING,604,1067,2360,2511,2508,2413,1905,2180,2388,2530,2369,3442,26277,2.3%
9,HINO,1509,1472,1997,2059,1157,2045,1298,1945,1937,1981,2507,2543,22450,2%
10,DFSK,317,400,251,491,362,722,442,453,435,440,500,450,5263,0.5%
11,B M W,63,147,121,142,70,165,100,149,195,208,209,217,1786,0.2%
12,MERCEDES-BENZ PC,98,93,98,94,83,78,32,202,165,153,218,-,1314,0.1%
13,HYUNDAI HIM,43,-,3,107,102,122,123,130,117,23,-,-,770,0.1%
14,MERCEDES-BENZ CV,-,36,24,6,20,10,29,42,78,156,69,177,647,0.1%
15,UD TRUCK,-,-,-,16,16,2,26,54,-,75,127,122,438,0%
16,DATSUN,272,10,-,-,-,-,-,-,-,-,-,-,282,0%
17,MINI,42,5,1,-,-,-,-,11,60,22,3,10,154,0%
GRAND TOTAL,,76319,77674,102889,94167,64101,99329,74437,101833,103636,98308,110888,118386,#######,100%
CUMULATIVE,,76319,153993,256882,351049,415150,514479,588916,690749,794385,892693,1003581,#######,,
D.  EXPORTS,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"EXPORT
2021","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,DAIHATSU,7525,13914,10675,9616,6343,10918,8530,7447,9950,10189,13393,14161,122661,41.6%
2,TOYOTA,4704,5970,6727,4662,3683,5760,3800,5608,5262,8467,6401,6194,67238,22.8%
3,MITSUBISHI MOTORS,4602,5989,4685,5229,5667,2661,2914,2168,3307,4914,4568,2246,48950,16.6%
4,SUZUKI,2474,4301,4669,2159,2344,5204,2939,2809,3637,4122,4913,4082,43653,14.8%
5,HONDA,840,390,390,1350,-,780,360,480,30,380,1840,510,7350,2.5%
6,HINO,185,245,295,550,298,467,185,225,190,130,35,65,2870,1%
7,DFSK,8,-,63,143,60,182,81,56,23,135,119,157,1027,0.3%
8,HYUNDAI - HIM,116,-,4,60,120,122,88,120,150,56,-,-,836,0.3%
9,WULING,-,31,23,-,-,-,-,-,-,-,-,-,54,0%
TOTAL CBU (UNIT),,20454,30840,27531,23769,18515,26094,18897,18913,22549,28393,31269,27415,294639,100%
1,TOYOTA,6050,6720,7110,6270,4220,4120,6050,5060,2780,900,3310,1650,54240,59%
2,SUZUKI,948,2808,2016,1680,1104,1872,1344,1296,912,2160,3024,2688,21852,23.8%
3,MITSUBISHI MOTORS,540,480,1740,990,1020,630,960,1170,630,510,540,510,9720,10.6%
4,ISUZU,288,264,312,532,237,480,630,336,462,438,486,540,5005,5.4%
5,DFSK,78,24,109,-,174,140,118,246,76,50,100,-,1115,1.2%
6,WULING,-,-,-,-,-,-,-,-,2,-,-,30,32,0%
TOTAL CKD (SET),,7904,10296,11287,9472,6755,7242,9102,8108,4862,4058,7460,5418,91964,100%
1,TOYOTA,#######,#######,#######,#######,#######,#######,#######,#######,5256718,6700015,5022869,#######,#######,85.6%
2,HONDA,#######,838574,#######,#######,868177,830886,#######,596540,652706,423629,984731,876626,#######,12.4%
3,HINO,148951,116070,113202,125692,123823,95064,127594,129300,106106,111179,121451,132184,#######,1.7%
4,SUZUKI,10996,14940,15737,14349,10815,23239,14310,15660,15942,10766,11849,22619,181222,0.2%
TOTAL COMPONENT (PCS),,#######,#######,#######,#######,#######,#######,#######,#######,6031472,7245589,6140900,#######,#######,100%
E.  IMPORTS,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"IMPORT
2021","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,1253,2052,1759,1215,1355,1982,1557,1260,1643,1877,1567,967,18487,38.7%
2,MITSUBISHI MOTORS,1,490,971,1114,145,1529,1360,585,827,150,1871,-,9043,18.9%
3,SUZUKI,-,573,861,323,345,230,352,835,589,332,152,85,4677,9.8%
4,MAZDA,266,293,439,558,153,230,82,413,351,207,215,185,3392,7.1%
5,HYUNDAI -HMID,327,285,205,270,200,100,162,266,401,290,407,105,3018,6.3%
6,KIA,22,368,410,415,301,261,222,201,251,239,174,31,2895,6.1%
7,LEXUS,15,158,88,80,71,142,84,126,65,38,39,49,955,2%
8,MERCEDES-BENZ CV,-,13,34,19,55,18,67,147,86,146,141,208,934,2%
9,DAIHATSU,6,124,240,110,70,30,-,-,232,88,-,-,900,1.9%
10,MORRIS GARAGE,39,102,108,82,104,180,-,100,80,-,-,72,867,1.8%
11,HONDA,1,-,82,4,52,159,111,22,115,-,122,32,700,1.5%
12,ISUZU,-,20,49,96,5,20,5,77,8,15,58,8,361,0.8%
13,MINI,-,-,6,56,14,18,42,61,9,54,-,1,261,0.5%
14,MERCEDES-BENZ PC,8,5,24,5,66,12,35,5,67,-,17,-,244,0.5%
15,BMW,-,-,44,40,19,34,49,8,16,16,8,-,234,0.5%
16,UD TRUCK,-,-,20,26,15,12,-,-,17,20,34,79,223,0.5%
17,HINO,9,-,3,10,2,12,12,-,-,28,73,29,178,0.4%
18,DFSK,-,20,-,-,-,44,-,32,-,8,-,-,104,0.2%
19,TATA,101,-,-,-,-,-,-,-,-,-,-,-,101,0.2%
20,VOLKSWAGEN,8,12,6,-,-,12,6,3,5,5,9,3,69,0.1%
21,RENAULT,46,-,-,-,-,-,-,-,-,-,-,-,46,0.1%
22,AUDI,1,3,1,4,3,2,5,5,4,1,3,5,37,0.1%
23,FAW,-,-,-,-,-,-,-,13,12,10,-,-,35,0.1%
24,HYUNDAI - HIM,6,4,2,2,-,1,1,-,-,-,1,1,18,0%
25,NISSAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
26,PEUGEOT,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
27,MITSUBISHI FUSO,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
28,SCANIA,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
29,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
30,HONGYAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
31,CHEVROLET,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
32,MAN TRUCK,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
TOTAL CBU (UNIT),,2109,4522,5352,4429,2975,5028,4152,4159,4778,3524,4891,1860,47779,100%
