NO.,BRAND,MONTH,,,,,,,,,,,,"SALES
2021","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,16033,15144,26258,23301,18167,23271,21763,29898,34046,21730,33450,32707,295768,33.3%
2,DAIHATSU,8993,9412,16770,15861,8310,15481,9284,14408,17529,17020,16045,15795,164908,18.6%
3,MITSUBISHI MOTORS,6765,4887,10102,10953,8437,6793,10927,10434,8233,9196,6620,14258,107605,12.1%
4,SUZUKI,6400,4600,8669,8100,5341,8965,6274,10021,7515,7624,8512,9772,91793,10.3%
5,HONDA,7231,6812,11350,8474,5832,8782,9030,7337,3453,5861,7201,9759,91122,10.3%
6,MITSUBISHI FUSO,2343,2680,2986,2867,1723,1484,2526,3286,3967,3913,4790,3953,36518,4.1%
7,ISUZU,1756,1833,2359,2357,1752,2017,1826,2285,2648,2779,2415,2609,26636,3%
8,WULING,808,534,2338,2511,2515,2267,2037,1530,2300,2745,3003,2976,25564,2.9%
9,HINO,1235,1443,1713,1764,970,1520,1327,1885,1785,1881,2618,2542,20683,2.3%
10,MAZDA,266,293,439,558,153,230,82,413,351,207,215,185,3392,0.4%
11,DFSK,194,292,221,365,218,216,213,203,223,308,372,417,3242,0.4%
12,NISSAN,100,20,85,70,113,318,305,375,518,606,376,291,3177,0.4%
13,HYUNDAI - HMID,103,150,222,293,171,274,233,223,350,342,383,261,3005,0.3%
14,K I A,22,368,410,415,301,261,222,201,251,239,174,31,2895,0.3%
15,B M W,181,211,218,238,218,175,111,202,200,250,182,203,2389,0.3%
16,MERCEDES-BENZ PC,195,185,214,230,206,177,98,157,176,210,248,-,2096,0.2%
17,MERCEDES-BENZ CV,14,62,143,38,26,113,129,173,175,198,282,457,1810,0.2%
18,MORRIS GARAGE,46,36,100,213,87,108,47,31,138,117,88,64,1075,0.1%
19,LEXUS,14,94,100,106,86,116,63,80,76,67,105,65,972,0.1%
20,UD TRUCKS,-,-,20,40,33,14,28,54,17,95,160,199,660,0.1%
21,MINI,46,50,51,68,64,58,25,67,71,63,73,21,657,0.1%
22,VOLKSWAGEN,36,28,58,44,16,34,15,13,22,28,52,34,380,0%
23,PEUGEOT,34,19,14,11,25,11,4,4,12,38,54,39,265,0%
24,FAW,14,12,11,3,15,15,44,6,10,16,4,24,174,0%
25,TATA,11,10,34,11,13,1,7,20,37,14,10,5,173,0%
26,HYUNDAI - HIM,22,24,29,13,17,17,14,8,6,7,1,1,159,0%
27,RENAULT,46,-,-,-,-,-,-,-,-,-,-,-,46,0%
28,AUDI,1,3,1,4,3,2,5,5,4,1,4,5,38,0%
29,DATSUN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
30,SCANIA,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
31,CHEVROLET,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
32,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
33,HONGYAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
34,MAN TRUCK,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,52909,49202,84915,78908,54812,72720,66639,83319,84113,75555,87437,96673,887202,100%
CUMULATIVE,,52909,102111,187026,265934,320746,393466,460105,543424,627537,703092,790529,887202,,
B.  RETAIL SALES,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"RETAIL
2021","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,15292,12537,26445,25902,21117,19392,21933,28169,26454,28367,30651,34240,290499,33.6%
2,DAIHATSU,9528,8414,12368,13673,10735,12514,10170,12199,14187,14301,14861,18157,151107,17.5%
3,MITSUBISHI MOTORS,6694,5842,8848,10177,7516,8704,9122,8521,8930,8652,8784,12617,104407,12.1%
4,HONDA,7068,6018,10048,10189,8538,7578,8234,7341,3362,6104,7005,9908,91393,10.6%
5,SUZUKI,6192,5132,8179,7575,6578,7272,6508,9013,7355,6819,8714,10259,89596,10.4%
6,MITSUBISHI FUSO,2163,2340,2744,2492,2082,2277,2201,2679,3390,3522,3653,4832,34375,4%
