"A.  WHOLESALES","","","","WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN JUL 2025","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","","MARKET
2025","SHARE
%",""
"","SUB TOTAL","","447","","458","523","262","303","423","330","-","-","-","-","-","2,746","0.6%",""
"05","PICK UP","GVW            < 5          Ton (G/D)","7,777","","8,536","7,892","7,075","8,152","7,893","8,726","-","-","-","-","-","56,051","12.4%",""
"06","TRUCK","GVW          5 - 10        Ton (G/D)","2,725","","3,327","3,230","2,327","3,036","3,246","2,786","-","-","-","-","-","20,677","4.6%",""
"","","GVW         10 - 24       Ton (G/D)","378","","438","390","208","300","292","379","-","-","-","-","-","2,385","0.5%",""
"","","GVW           > 24         Ton (G/D)","1,555","","1,523","1,400","1,220","1,230","1,156","1,081","-","-","-","-","-","9,165","2.0%",""
"","SUB TOTAL","","4,658","","5,288","5,020","3,755","4,566","4,694","4,246","-","-","-","-","-","32,227","7.1%",""
"07","DOUBLE CABIN
4X2 / 4X4","GVW            < 5          Ton (G/D)
For all CC","874","","2,440","1,973","1,429","1,896","1,803","1,668","-","-","-","-","-","12,083","2.7%",""
"","SUB TOTAL","","874","","2,440","1,973","1,429","1,896","1,803","1,668","-","-","-","-","-","12,083","2.7%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","12,804","","12,446","13,512","9,764","9,974","9,387","10,737","-","-","-","-","-","78,624","17.3%",""
"","","CC ≤ 1500 (D)","-","","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","12,804","","12,446","13,512","9,764","9,974","9,387","10,737","-","-","-","-","-","78,624","17.3%",""
"","","","","","","","","","","","","","","","","","",""
"RETAIL TOTAL","","","64,029","","69,872","76,582","57,031","61,307","61,687","62,770","-","-","-","-","-","453,278","100%",""
"CUMMULATIVE","","","64,029","","133,901","210,483","267,514","328,821","390,508","453,278","","","","","","","",""
"C.  PRODUCTION","","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","","PROD
2025","SHARE
%",""
"","","","JAN","","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","89","","9","4","-","-","-","47","-","-","-","-","-","149","0.0%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","257","","308","178","223","169","119","63","-","-","-","-","-","1,317","0.2%",""
"","","CC > 3.001 (G)/2.500 (D)","-","","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","346","","317","182","223","169","119","110","-","-","-","-","-","1,466","0.2%",""
