1   SEDAN TYPE SALES                                                                                                              `JAN DEC 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2020
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,12AL M235I XDRIVE,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,1,1,0.1%,0.0%,2
,,,4V32 430I,1997,AT,G,-,2070,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,-,0.0%,0.0%,1
,,,HF32 Z4 SDRIVE30I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,1,6,1,1,1,1,-,2,-,-,-,0.4%,0.3%,13
,,,6K32 320I,1998,MT,G,-,-,-,-,-,-,-,-,4X2,-,0,0,4,CBU,Germany,-,-,-,1,19,3,-,-,-,-,1,1,0.7%,0.5%,25
,,,JA52 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,JA16 520I,2000,AT,G,60,-,-,-,-,-,-,-,4X2,FR,-,4,4,-,-,1,2,7,1,-,13,26,17,-,-,-,-,1.9%,1.4%,67
,,,JA56 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,JA92 530E IPERFORMANCE,1998,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany,-,-,-,1,-,-,-,-,-,-,-,1,0.1%,0.0%,2
,,,12AG 530E,1998,MT,G,-,-,-,-,-,-,-,-,4X2,-,0,0,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,1,0.0%,0.0%,1
,,,JR16 520I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,0,4,CKD,INA,-,-,-,-,-,-,-,3,4,20,7,30,1.8%,1.3%,64
,,,JV22 630I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,5R12 330I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,4,1,2,-,-,-,1,-,-,-,-,-,0.2%,0.2%,8
,,,JR36 530I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia,1,9,23,6,2,2,6,8,35,8,14,12,3.5%,2.7%,126
,,,5Z36 330I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia,1,25,16,21,2,12,21,18,13,11,18,13,4.8%,3.6%,171
,,,JX62 630I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-,-,-,-,-,1,-,1,-,-,-,2,-,0.1%,0.1%,4
,,,22BP 630I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,0,0,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,1,0.0%,0.0%,1
,,,7T06 730LI,3000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,1,10,16,-,-,1,1,3,7,2,4,8,1.5%,1.1%,53
,,,5Z16 320I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA,23,17,32,4,-,1,16,7,18,36,48,87,8.1%,6.1%,289
,,,JR12 520I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia,-,-,-,-,1,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,7T22 740LI,2998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany,-,-,-,-,-,-,-,1,-,-,-,-,0.0%,0.0%,1
,,,7E26 740LI,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,-,CKD,INA,2,-,-,-,-,-,1,-,-,-,-,-,0.1%,0.1%,3
,,,740LI,2998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-,4,7,4,2,-,1,3,4,3,2,3,2,1.0%,0.7%,35
,,,AE22 840I,2998,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Germany,-,-,-,-,-,-,3,2,-,-,1,-,0.2%,0.1%,6
,,HYUNDAI - HIM,All New  Sonata GLS,2400,AT,G,70,2030,-,-,-,-,4820 x  1835 x  1470,4,4X2,-,-,4,4,CBU,Korea,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,HONDA,New  ACCORD VTi-L,2354,CVT,G,65,1525,-,-,176,2275,4870 x  1850 x  1465,5,4X2,FF,-,4,4,CBU,Thailand,10,19,51,7,1,18,28,29,13,21,22,28,6.9%,5.2%,247
,,LEXUS,Lexus  ES 250 H,2494,AT,G,-,-,-,-,181 / 6000,0,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,3,2,2,-,-,-,1,-,1,-,1,-,0.3%,0.2%,10
,,,Lexus  ES 300 H,2494,AT,G,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,4,26,25,1,3,6,6,1,1,2,11,1,2.4%,1.8%,87
,,MAZDA,MX-5 RF,1999,AT,G,50,-,3863,205/45R17,160,2330,4020 x  1720 x  1255,2,4X2,FF,-,4,4,CBU,Japan,1,1,-,-,-,-,-,-,-,-,-,-,0.1%,0.0%,2
,,,All New  Mazda 3 Sedan,1998,AT,G,51,-,-,215/45R18,155,2725,"4,660 x  1,795 x  1,440",5,4X2,FF,-,5,4,CBU,Japan,3,1,3,-,-,1,3,3,4,-,1,-,0.5%,0.4%,19
,,,All-new  Mazda 6,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x  1840 x  1450,5,4X2,FF,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,All-new  Mazda 6 Elite,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x  1840 x  1450,5,4X2,FF,-,4,4,CBU,Japan,-,3,3,2,1,1,-,-,3,1,50,-,1.8%,1.3%,64
,,MERCEDES-BENZ - PC,CLA  200 AMG Line (C117),1556,AT,G,50,1920,7,225/40 R18,156,2669,"4,669 x  2,032 x  1,427",5,4X2,FF,-,4,4,CBU,IND,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,C180,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,-,4,4,CKD,IND,26,4,2,-,-,-,-,-,1,1,32,-,1.8%,1.4%,66
,,,C 200,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,C 200 AVA,1991,AT,G,66,2030,9,"225/45, 245/40 R18",184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,-,4,4,CKD,IND,-,12,16,-,-,-,3,1,2,6,33,-,2.0%,1.5%,73
,,,C 250 AMG,1991,AT,G,66,2045,7,"225/45, 245/40 R18",211,2840,"4,702 x  2,020 x  1,432",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,C 300 AMG,1991,AT,G,66,2135,9,"225/45, 245/40 R18",258,2840,"4,702 x  2,020 x  1,432",5,4X2,FR,-,4,4,CKD,IND,4,14,41,-,-,-,2,3,8,3,10,-,2.4%,1.8%,85
,,,E 200 AVA,1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x  2,065 x  1,468",5,4X2,FR,-,4,4,CKD,IND,4,-,3,1,-,1,-,1,-,1,4,-,0.4%,0.3%,15
,,,E 300 AVA,1991,AT,G,66,2395,9,245/45 R18,258,2939,"4,686 x  2,065 x  1,468",5,4X2,FR,-,4,4,CKD,IND,6,38,35,1,2,2,5,2,4,3,26,-,3.5%,2.6%,124
,,,E 350 AMG,1991,AT,G,66,2410,9,"245/40, 275/35 R19",299,2939,"4,702 x  2,065 x  1,452",5,4X2,FR,-,4,4,CKD,IND,4,4,10,-,-,-,1,2,-,2,5,-,0.8%,0.6%,28
,,,S 450,2996,AT,G,80,2700,9,"245/45, 275/40 R19",367,3165,"5,255 x  2,130 x  1,494",5,4X2,FR,-,4,4,CKD,IND,4,16,11,-,-,-,5,2,2,2,7,-,1.4%,1.0%,49
,,,C 200 Estate,1991,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x  2,020 x  1,457",5,4X2,FR,-,5,4,CBU,IND,3,1,1,-,-,-,-,-,-,-,-,-,0.1%,0.1%,5
,,,C 200 Cabrio,1991,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x  2,020 x  1,457",5,4X2,FR,-,5,4,CBU,IND,-,-,1,-,-,-,-,-,2,1,-,-,0.1%,0.1%,4
,,,C 300 Coupe,1991,AT,G,66,2110,9,"225/40, 255/35 R19",258,2840,"4,696 x  2,016 x  1,408",4,4X2,FR,-,2,4,CBU,IND,1,-,-,-,-,-,-,-,-,1,6,-,0.2%,0.2%,8
,,,C 200 Coupe,1991,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x  2,020 x  1,457",5,4X2,FR,-,5,4,CBU,-,-,-,-,-,-,-,-,-,-,-,1,-,0.0%,0.0%,1
,,,E 300 Coupe,1991,AT,G,66,2320,9,"245/40, 275/35 R19",258,2873,"4,846 x  2,065 x  1,431",4,4X2,FR,-,2,4,CBU,-,-,2,1,-,-,-,1,2,2,4,7,-,0.5%,0.4%,19
,,,E 300 ( CBU ),1991,AT,G,66,2110,9,"225/40, 255/35 R19",258,2840,"4,696 x  2,016 x  1,408",4,4X2,FR,-,2,4,CBU,IND,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,S 450 (CBU),3000,-,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,CLS 350 AMG,1991,AT,G,66,2410,9,"245/35, 275/30 R20",299,2939,"4,996 x  2,069 x  1,436",5,4X2,FR,-,4,4,CBU,-,1,1,-,-,1,2,2,1,-,3,3,-,0.4%,0.3%,14
,,TOYOTA,All New  Corolla Altis  G,1800,MT,G,55,1250,4,205/55R16,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,1,0.0%,0.0%,1
,,,All New  Corolla Altis  i.8 G AT,1800,AT,G,55,1250,4,205/55R16,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,1,1,2,-,-,2,3,106,1,1,-,-,3.3%,2.5%,117
,,,All New  Corolla Altis  V  AT,1800,AT,G,55,1270,5,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,31,41,27,20,5,29,64,16,39,95,61,74,14.0%,10.6%,502
,,,All New Corolla Altis 1.8 Hybrid AT,"1,800",AT,HYBRI,55,"1,250",4,205/55R16,151 / 6400,"2,700",4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,3,6,9,-,-,-,6,4,-,3,5,5,1.1%,0.9%,41
,,,All New  Camry  2.5 G,2500,AT,G,70,1465,3815,215/60R16,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,7,17,16,1,1,4,2,1,1,-,2,4,1.6%,1.2%,56
,,,All New  Camry  2.5 V,2500,AT,G,70,1465,3815,215/55R17,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,76,154,122,16,10,43,117,33,40,76,40,39,21.4%,16.1%,766
