1.  SEDAN TYPE PRODUCTION                `JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,BASE,P x L x T,SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,Creta FL Trend 1.5 MT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0.0%,0.0%,3
,,,,Creta FL Trend 1.5 IVT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,0.0%,0.0%,14
,,,,Creta FL Style 1.5 IVT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,0.0%,0.0%,13
,,,,Creta FL Prime 1.5 IVT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,0.0%,0.0%,92
,,,,Creta FL Prime 1.5 IVT  Two Tone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94,0.0%,0.0%,94
,,,,Creta FL N Line 1.5 IVT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104,0.0%,0.0%,104
,,,,Creta FL N Line 1.5 IVT  Two Tone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,0.0%,0.0%,117
,,,,Creta FL N Line 1.5T  IVT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,0.0%,0.0%,37
,,,,Creta FL N Line 1.5T  IVT  Two Tone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,0.0%,0.0%,39
,,,,Kona EV Style,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,26,3,-,29,0.0%,0.0%,58
,,,,Kona EV Prime Reguler,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,26,4,-,-,-,-,0.0%,0.0%,30
,,,,Kona EV Prime Extended,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,51,116,-,-,-,-,0.0%,0.0%,167
,,,,Kona EV Signature Reguler,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,15,2,-,1,0.0%,0.0%,18
,,,,Kona EV Signature Reguler Two Tone,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,10,2,-,-,0.0%,0.0%,12
,,,,Kona EV Signature Extended,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,184,70,101,102,309,123,0.1%,0.1%,889
,,,,Kona EV Signature Extended Two Tone,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,68,65,50,57,118,54,0.1%,0.1%,412
,,,,Kona EV N Line,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.0%,0.0%,1
,,,,Kona EV N Line Two Tone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0.0%,0.0%,6
,,,,Creta THI 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,2,-,58,2,48,40,40,20,40,30,-,0.0%,0.0%,280
,,,,Creta AP 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,6,60,42,64,27,62,58,-,25,34,-,33,0.1%,0.1%,411
,,,,Creta VIE 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,1,-,-,-,-,-,0.0%,0.0%,1
,,,,Creta MEA 1.5 MT  (Export),"1,500",MT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,50,-,32,75,50,1,0.0%,0.0%,208
,,,,Creta MEA 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,695,850,"1,726","1,179","1,842","2,001","2,420","2,308","2,896","1,855","2,329","2,205",3.4%,2.8%,"22,306"
,,,,Creta PHI 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,120,20,28,3,9,30,41,42,15,15,26,-,0.1%,0.0%,349
,,,,Creta PHI 1.5 MT  (Export),"1,500",MT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,159,152,205,270,113,300,87,96,378,163,326,110,0.4%,0.3%,"2,359"
,,,,Creta PHI 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,"1,402","1,248",915,738,830,"1,155","1,143","1,626","1,012",680,613,772,1.8%,1.5%,"12,134"
,,,,Creta SAF 1.5 MT  (Export),"1,500",MT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,199,232,150,152,122,60,103,20,157,378,295,277,0.3%,0.3%,"2,145"
,,,,Creta SAF 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,272,518,599,250,395,590,552,450,413,486,336,433,0.8%,0.7%,"5,294"
,,,,Stargazer Active MT,"1,500",MT,G,40,"1,780",-,205/55/R15,115,"2,780",4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,-,8,-,61,36,68,-,6,8,84,449,244,0.1%,0.1%,964
,,,,Stargazer Active IVT,"1,500",AT,G,40,"1,830",-,205/55/R15,115,"2,780",4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,1,-,4,16,6,20,21,13,-,1,-,30,0.0%,0.0%,112
,,,,Stargazer Prime 7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,234,266,168,64,2,-,-,-,55,39,3,1,0.1%,0.1%,832
,,,,Stargazer Prime 6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,500,880,224,110,3,-,-,1,55,53,1,-,0.3%,0.2%,"1,827"
,,,,Stargazer Prime 7 Seat Two Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,9,55,74,15,-,-,-,-,-,-,-,-,0.0%,0.0%,153
,,,,Stargazer Prime 6 Seat Two Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,274,359,142,23,-,-,-,-,-,-,-,-,0.1%,0.1%,798
,,,,Stargazer Essential  MT  7 Seat,"1,500",MT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,10,7,17,17,21,2,-,22,-,3,4,-,0.0%,0.0%,103
,,,,Stargazer Essential  MT  6 Seat,"1,500",MT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,-,10,4,5,2,-,-,10,8,15,-,-,0.0%,0.0%,54
,,,,Stargazer Essential  IVT  7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,56,5,98,244,79,266,195,136,9,25,32,16,0.2%,0.1%,"1,161"
,,,,Stargazer Essential  IVT  6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,33,18,69,197,117,243,384,177,18,30,76,11,0.2%,0.2%,"1,373"
,,,,Stargazer X Prime 7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,21,32,148,70,126,140,118,103,26,35,69,11,0.1%,0.1%,899
,,,,Stargazer X Prime 6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,243,344,427,171,381,218,325,245,48,139,91,47,0.4%,0.3%,"2,679"
,,,,Stargazer X Prime 7 Seat Two Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,13,5,13,12,14,11,19,21,8,10,7,1,0.0%,0.0%,134
,,,,Stargazer X Prime 6 Seat Two Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,41,11,68,38,38,35,38,56,10,16,22,-,0.1%,0.0%,373
,,,,Stargazer VIE 1.5 IVT  (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,-,3,76,689,572,304,780,"1,011",811,447,200,-,0.7%,0.6%,"4,893"
,,,,Stargazer PHI 1.5 IVT  (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,356,380,405,251,260,488,710,"1,050","1,270",980,485,57,1.0%,0.8%,"6,692"
,,,,Stargazer AP 1.5 IVT  (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,31,25,60,45,55,12,10,28,42,0.0%,0.0%,308
,,,,Stargazer MEA 1.5 IVT  (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,216,969,977,676,428,465,490,372,90,64,61,2,0.7%,0.6%,"4,810"
,,,,Stargazer THI 1.5 IVT  (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,-,3,70,-,100,140,100,150,-,-,-,-,0.1%,0.1%,563
,,,,Stargazer CSA 1.5 IVT  (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,170,143,50,26,105,25,25,5,14,19,2,-,0.1%,0.1%,584
,,,,Ioniq5 Prime Extended,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,2,-,-,3,-,6,-,-,-,-,-,0.0%,0.0%,11
,,,,Ioniq5 Signature Extended,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,600,498,200,200,602,32,14,20,20,-,-,-,0.3%,0.3%,"2,186"
,,,,Ioniq5 Signature N,-,AT,BEV,-,-,-,-,-,-,-,5,4 x 2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,13,19,8,35,0.0%,0.0%,75
,,MITSUBISHI MOTORS,PT. Mitsubishi Motors Krama Yudha Indonesia,Xpander 1.5 2WD 4AT  M  YET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,2,74,14,-,1,79,-,-,-,-,-,-,0.0%,0.0%,170
,,,,Xpander 1.5 2WD 4AT  H YET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,3,102,105,-,1,119,-,-,-,-,-,-,0.0%,0.0%,330
,,,,Xpander 1.5 2WD 4AT  Q VET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,874,-,804,776,"1,359",688,772,931,"1,062","1,213",801,4,1.4%,1.2%,"9,284"
,,,,Xpander 1.5 2WD 4AT  Q VET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,352,-,-,-,-,-,-,-,-,-,-,-,0.1%,0.0%,352
,,,,Xpander 1.5 2WD 5MT  H PHL,"1,499",MT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,7,-,2,150,114,133,181,162,221,211,168,260,0.2%,0.2%,"1,609"
,,,,Xpander 1.5 2WD 4AT  H PHL,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,25,-,-,24,23,64,406,389,513,770,308,564,0.5%,0.4%,"3,086"
,,,,Xpander 1.5 2WD 4AT  P PHL,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,705,"1,139",23,679,"1,101","1,005","1,176",883,"1,199","1,657",879,"1,808",1.9%,1.5%,"12,254"
,,,,Xpander 1.5 2Wd 4AT  Q Bgd,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4477 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,50,-,-,30,-,30,5,50,-,3,0.0%,0.0%,168
,,,,Xpander 1.5L Exceed (4X2) M/T,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,352,1,75,367,-,180,85,100,197,194,182,241,0.3%,0.2%,"1,974"
,,,,Xpander 1.5L Gls (4X2) M/T,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,2,-,-,10,-,-,-,300,2,198,200,-,0.1%,0.1%,712
,,,,Xpander Cross 1.5L (4X2) M/T,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,189,1,-,56,207,149,161,177,334,198,186,172,0.3%,0.2%,"1,830"
,,,,Xpander 1.5 Asg 2Wd Cvt M,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,2,-,-,18,2,-,-,-,-,-,-,-,0.0%,0.0%,22
,,,,Xpander 1.5 Asg 2Wd Cvt H,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,468,-,98,486,-,400,109,132,246,230,234,224,0.4%,0.3%,"2,627"
,,,,Xpander 1.5 Asg 2Wd Cvt P2,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,428,46,11,139,127,201,146,234,334,131,106,30,0.3%,0.2%,"1,933"
,,,,Xpander 5MT,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,2,-,-,46,48,69,62,64,129,90,90,107,0.1%,0.1%,707
,,,,Xpander CVT,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,2,-,-,97,840,"1,085","1,030","1,145","1,283","1,028",920,833,1.2%,1.0%,"8,263"
,,,,Xpander Cross 1.5 Asg 2Wd Cvt P2X,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,524,53,15,319,"1,068","1,085","1,147","1,284","1,689",993,729,13,1.3%,1.1%,"8,919"
,,,,Xpander 1.5 2WD 4AT  P+ PHL,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,480,"1,065",12,109,412,602,676,"1,064","1,277",889,683,"1,064",1.3%,1.0%,"8,333"
,,,,Xpander 1.5 2WD 5MT  M  PE,"1,499",MT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,70,20,-,-,84,116,140,60,87,68,50,85,0.1%,0.1%,780
,,,,Xpander 1.5 2WD 4AT  H PE,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,25,-,-,-,-,-,-,1,4,21,20,-,0.0%,0.0%,71
,,,,Xpander Cross 1.5 2WD 4AT  Q VET,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,516,-,640,614,286,282,694,940,788,671,671,4,0.9%,0.8%,"6,106"
,,,,Xpander 1.5 2WD 4AT  H GCC,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4476 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,178,29,33,0.0%,0.0%,240
,,,,Xpander 1.5 2WD 4AT  H GCC,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,-,30,67,40,155,20,181,140,258,131,53,34,0.2%,0.1%,"1,109"
,,,,Xpander 1.5 2WD 4AT  M  GCC,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,-,786,301,38,235,15,376,395,198,142,18,52,0.4%,0.3%,"2,556"
,,,,Xpander 1.5 2WD 4AT  H SAU,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,350,-,-,-,229,165,0.1%,0.1%,744
,,,,Xpander 1.5 2WD 5MT  M  ZAF,"1,499",MT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,42,38,-,-,1,-,-,4,46,20,21,29,0.0%,0.0%,201
,,,,Xpander 1.5 2WD 4AT  H ZAF,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,65,55,-,-,1,-,-,2,38,50,40,20,0.0%,0.0%,271
,,,,Xpander Cross 1.5 2WD 4AT  P MUS,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,4,36,10,-,15,30,10,2,26,22,33,19,0.0%,0.0%,207
,,,,Xpander Cross 1.5 2WD 4AT  P ARU,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,4,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,4
,,,,Xpander Cross 1.5 2WD 4AT  Q CO,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,40,-,-,40,-,-,-,-,0.0%,0.0%,80
,,,,Xpander Cross 1.5 2WD 4AT  H PE,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,20,8,22,13,43,52,70,50,48,27,73,62,0.1%,0.1%,488
,,,,Xpander 1.5 2WD 4AT  P MEX,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,1,200,100,170,88,92,185,208,0.2%,0.1%,"1,044"
,,,,Xpander Cross 1.5 2WD 4AT  H MEX,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,1,221,429,239,371,0.2%,0.2%,"1,261"
,,,,Xpander 1.5 2WD 4AT  H BD,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,20,14,30,-,1,39,-,2,3,3,-,-,0.0%,0.0%,112
,,,,Xpander Cross 1.5 2Wd 4At H Pa,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4476 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,72,93,60,34,-,-,-,-,-,-,-,-,0.0%,0.0%,259
,,,,Xpander 1.5 2Wd 4At M  Aw,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,9,3,-,3,2,2,2,2,31,2,1,0.0%,0.0%,57
,,,,Xpander 1.5 2Wd 4At H Pa,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,8,-,-,1,-,-,-,-,-,-,-,0.0%,0.0%,9
,,,,Xpander Cross 1.5 2Wd 4At H Uae,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,-,-,-,20,10,10,50,-,-,-,9,21,0.0%,0.0%,120
,,,,Xpander Cross 1.5 2Wd 4At P,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,12,18,-,20,-,-,-,-,0.0%,0.0%,50
,,,,Xpander Cross 1.5 2Wd 4At P Uea,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,1,30,35,40,110,5,161,135,-,-,-,-,0.1%,0.1%,517
,,,,Xpander Cross 1.5 2Wd 4At P Sa,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,150,-,-,-,121,85,0.1%,0.0%,356
,,,,Xpander 4 AT  EXP Costa Rica,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,15,-,-,-,-,-,-,-,-,-,0.0%,0.0%,15
,,,,Xpander Cross Type M  Export To Chile,"1,499",MT,G,45,"1,780","4,812",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,10,22,30,25,30,30,25,50,30,10,0.0%,0.0%,262
,,,,Xpander Cross Type H Export To Chile,"1,499",AT,G,45,"1,780","4,812",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,25,30,55,34,26,-,-,15,0.0%,0.0%,185
,,,,Xpander Cross Type P Export To Chile,"1,499",AT,G,45,"1,780","4,812",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,1,-,-,27,23,10,-,20,0.0%,0.0%,81
,,,,Xpander Type P Export To Panama,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4478 X 1750 X 1695,7,4X2,FF,-,4,4,CKD,INA,-,-,-,8,47,12,22,3,20,12,1,50,0.0%,0.0%,175
,,,,Xpander Type P Export To South Africa,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4478 X 1750 X 1695,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,1,-,-,-,-,-,11,9,0.0%,0.0%,21
,,,,"Xpander Type H 4At Export To Cambodian, Uruguay & Costa Rica","1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4478 X 1750 X 1695,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,9,1,-,-,-,-,-,-,0.0%,0.0%,10
,,,,Xpander Type P Export To Fiji,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,10,0.0%,0.0%,10
,,,,Livina VL 1.5 (4x2) AT,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,35,32,28,31,49,40,40,30,-,-,-,-,0.0%,0.0%,285
,,,,Livina Export To Philippine (Nlhlvp),"1,499",MT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,151,166,141,166,143,179,123,152,141,168,179,186,0.3%,0.2%,"1,895"
,,,,Livina Export To Philippine (Rhhlvp),"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4477 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,99,89,111,61,82,107,117,85,119,137,144,152,0.2%,0.2%,"1,303"
,,,,Xforce Ultimate,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,"5,224",161,-,219,-,-,-,-,-,-,-,-,0.8%,0.7%,"5,604"
,,,,Xforce Exceed,"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,386,111,1,86,-,-,-,-,-,-,-,-,0.1%,0.1%,584
,,,,Xforce Ultimate Adas (Melange),"1,499",CVT,G,42,"1,730","5,698",225/50R18,103,"2,650",4390 x 1810 x 1660,5,4X2,FF,-,4,4,CBU,INA,-,-,-,1,-,-,700,327,3,-,-,-,0.2%,0.1%,"1,031"
,,,,Xforce Type G Export To Vietnam,"1,499",CVT,G,42,"1,730","5,698",225/50R19,103,"2,650",4391 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,"1,025","2,934",521,90,400,300,288,411,283,332,314,512,1.1%,0.9%,"7,410"
,,,,Xforce Type H Export To Costa Rica,"1,499",CVT,G,42,"1,730","5,698",225/50R20,103,"2,650",4392 x 1810 x 1660,5,4X2,FF,-,4,4,CKD,INA,6,41,6,9,10,8,26,22,35,88,27,39,0.0%,0.0%,317
