"WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN-DEC 2023
A.  WHOLESALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","MARKET
2023","SHARE
%",""
"B.  RETAIL SALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","RETAIL
2023","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","114","379","400","149","227","288","248","342","248","313","279","174","3,161","0.3%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","412","434","616","414","579","541","460","553","547","388","417","390","5,751","0.6%",""
"","","CC > 3.001 (G)/2.501 (D)","2","-","3","2","5","4","3","3","2","3","4","1","32","0.0%",""
"","SUB TOTAL","","528","813","1,019","565","811","833","711","898","797","704","700","565","8,944","0.9%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","39,321","35,602","43,537","31,913","36,694","33,577","31,834","35,609","34,226","33,786","35,711","39,641","431,451","43.2%",""
"","","1.501 < CC < 2.500 (G/D)","6,321","6,594","8,005","7,009","7,867","7,276","8,387","9,984","8,821","8,615","8,562","8,560","96,001","9.6%",""
"","","2.501 < CC < 3.000 (G)","-","-","-","1","-","-","-","-","-","-","-","-","1","0.0%",""
"","","CC > 3.001 (G)/2.501 (D)","1,852","1,786","1,649","1,334","1,453","1,233","1,148","1,436","1,508","1,201","1,703","1,877","18,180","1.8%",""
"","SUB TOTAL","","47,494","43,982","53,191","40,257","46,014","42,086","41,369","47,029","44,555","43,602","45,976","50,078","545,633","54.7%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","112","91","121","122","169","106","156","140","116","81","142","224","1,580","0.2%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","396","476","671","404","591","520","560","640","569","475","419","430","6,151","0.6%",""
"","","CC > 3.001 (G)/2.500 (D)","187","208","169","137","185","223","207","284","282","315","421","488","3,106","0.3%",""
"","SUB TOTAL","","695","775","961","663","945","849","923","1,064","967","871","982","1,142","10,837","1.1%",""
"04","BUS","GVW          5 - 10       Ton (G/D)","302","271","362","229","364","361","315","457","339","288","368","347","4,003","0.4%",""
"","","GVW         10 - 24      Ton (G/D)","98","93","94","69","82","70","73","74","116","134","216","245","1,364","0.1%",""
"","","GVW           > 24        Ton (G/D)","-","-","-","-","1","-","-","-","-","1","-","-","2","0.0%",""
"","SUB TOTAL","","400","364","456","298","447","431","388","531","455","423","584","592","5,369","0.5%",""
"05","PICK UP","GVW            < 5         Ton (G/D)","14,065","11,702","11,272","6,823","10,276","10,377","9,571","10,447","9,710","9,529","9,402","10,878","124,052","12.4%",""
"06","TRUCK","GVW          5 - 10       Ton (G/D)","5,517","5,289","5,447","2,556","3,655","3,775","3,904","4,109","4,232","3,671","4,157","4,599","50,911","5.1%",""
"","","GVW         10 - 24      Ton (G/D)","555","670","756","418","646","674","810","913","755","700","714","811","8,422","0.8%",""
"","","GVW           > 24        Ton (G/D)","1,745","1,813","1,976","796","1,612","1,592","1,870","1,857","1,661","1,853","1,801","1,679","20,255","2.0%",""
"","SUB TOTAL","","7,817","7,772","8,179","3,770","5,913","6,041","6,584","6,879","6,648","6,224","6,672","7,089","79,588","8.0%",""
"07","DOUBLE CABIN
4X2 / 4X4","GVW            < 5         Ton (G/D)
For all CC","2,558","2,250","1,878","1,464","2,183","2,929","1,257","2,774","2,098","1,985","2,010","1,686","25,072","2.5%",""
"","SUB TOTAL","","2,558","2,250","1,878","1,464","2,183","2,929","1,257","2,774","2,098","1,985","2,010","1,686","25,072","2.5%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","17,335","16,371","19,546","14,691","15,971","16,473","15,555","16,749","15,754","16,108","16,455","17,556","198,564","19.9%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","17,335","16,371","19,546","14,691","15,971","16,473","15,555","16,749","15,754","16,108","16,455","17,556","198,564","19.9%",""
"","","","","","","","","","","","","","","","","",""
"RETAIL TOTAL","","","90,892","84,029","96,502","68,531","82,560","80,019","76,358","86,371","80,984","79,446","82,781","89,586","998,059","100%",""
"CUMMULATIVE","","","90,892","174,921","271,423","339,954","422,514","502,533","578,891","665,262","746,246","825,692","908,473","998,059","","",""
"C.  PRODUCTION","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","PROD
2023","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","24","36","68","40","25","-","13","11","1","-","23","-","241","0.0%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","216","252","293","210","279","258","233","401","200","266","133","144","2,885","0.2%",""
"","","CC > 3.001 (G)/2.500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","240","288","361","250","304","258","246","412","201","266","156","144","3,126","0.2%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","73,348","70,669","77,266","45,029","67,582","59,214","66,366","69,201","62,620","65,785","66,707","56,746","780,533","55.9%",""
"","","1.501 < CC < 2.500 (G/D)","7,295","5,604","6,498","4,636","8,018","7,313","9,130","10,849","9,601","10,464","10,121","9,597","99,126","7.1%",""
"","","2.501 < CC < 3.000 (G)","4,752","4,710","4,618","2,407","3,448","4,228","4,582","4,407","4,091","3,493","4,396","3,829","48,961","3.5%",""
"","","CC > 3.001 (G)/2.500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","85,395","80,983","88,382","52,072","79,048","70,755","80,078","84,457","76,312","79,742","81,224","70,172","928,620","66.5%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","423","627","605","377","617","408","393","372","485","259","209","217","4,992","0.4%",""
"","","CC > 3.001 (G)/2.500 (D)","892","860","1,004","465","1,447","1,378","895","1,094","1,000","1,157","944","891","12,027","0.9%",""
"","SUB TOTAL","","1,315","1,487","1,609","842","2,064","1,786","1,288","1,466","1,485","1,416","1,153","1,108","17,019","1.2%",""
"04","BUS","GVW          5 - 10       Ton (G/D)","558","442","568","337","445","295","454","481","531","426","300","280","5,117","0.4%",""
"","","GVW         10 - 24      Ton (G/D)","28","68","46","42","69","126","157","192","188","194","242","261","1,613","0.1%",""
"","","GVW           > 24        Ton (G/D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","586","510","614","379","514","421","611","673","719","620","542","541","6,730","0.5%",""
"05","PICK UP","GVW            < 5         Ton (G/D)","13,321","13,129","13,747","7,211","12,930","12,419","12,711","11,356","9,596","10,271","8,961","6,949","132,601","9.5%",""
"06","TRUCK","GVW          5 - 10       Ton (G/D)","6,056","5,164","6,274","3,345","5,013","4,113","3,388","2,948","2,845","3,232","3,069","2,971","48,418","3.5%",""
"","","GVW         10 - 24      Ton (G/D)","666","586","674","462","558","744","713","848","875","669","432","369","7,596","0.5%",""
"","","GVW           > 24        Ton (G/D)","2,037","1,726","1,617","752","1,915","1,713","2,066","2,263","1,621","1,540","1,440","1,327","20,017","1.4%",""
"","SUB TOTAL","","8,759","7,476","8,565","4,559","7,486","6,570","6,167","6,059","5,341","5,441","4,941","4,667","76,031","5.4%",""
"07","DOUBLE CABIN","GVW            < 5         Ton (G/D)
For all CC","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","23,152","19,517","22,788","9,924","17,477","22,651","21,555","21,225","19,129","20,553","19,289","14,330","231,590","16.6%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","23,152","19,517","22,788","9,924","17,477","22,651","21,555","21,225","19,129","20,553","19,289","14,330","231,590","16.6%",""
"","","","","","","","","","","","","","","","","",""
"PRODUCTION TOTAL","","","132,768","123,390","136,066","75,237","119,823","114,860","122,656","125,648","112,783","118,309","116,266","97,911","1,395,717","100%",""
"PRODUCTION CUM. TOTAL","","","132,768","256,158","392,224","467,461","587,284","702,144","824,800","950,448","1,063,231","1,181,540","1,297,806","1,395,717","","",""
"D.  EXPORTS","","","","","","","","","","","","","","","","",""
"CBU (UNIT)","","","44,355","46,063","44,148","32,238","38,986","42,214","42,848","46,468","42,186","46,960","42,219","36,449","505,134","",""
"CKD (SET)","","","4,036","5,299","5,420","4,036","5,788","4,798","4,768","4,834","5,350","6,914","7,450","7,088","65,781","",""
"COMPONENTS (PIECES)","","","14,630,685","17,144,428","13,037,301","10,766,123","16,608,575","8,977,501","10,275,167","26,235,555","6,517,572","9,948,226","7,772,206","8,337,302","150,250,640","",""
"E.  IMPORTS","","","","","","","","","","","","","","","","",""
"CBU (UNIT)","","","7,395","9,795","9,911","5,835","13,265","7,605","7,133","7,302","6,037","5,164","5,108","4,365","88,915","",""
"©GAIKINDO-23","","","","","","","","","","","","","","","","",""
