"WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN-DEC 2023
A.  WHOLESALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","MARKET
2023","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","131","433","321","223","259","207","307","281","260","384","386","239","3,431","0.3%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","286","635","617","521","721","599","482","585","521","437","349","374","6,127","0.6%",""
"","","CC > 3.001 (G)/2.501 (D)","1","1","1","1","7","4","3","1","4","6","4","-","33","0.0%",""
"","SUB TOTAL","","418","1,069","939","745","987","810","792","867","785","827","739","613","9,591","1.0%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","40,573","37,472","46,811","25,817","34,990","34,741","33,708","37,292","32,672","33,329","37,876","39,205","434,486","43.2%",""
"","","1.501 < CC < 2.500 (G/D)","6,344","6,502","6,710","6,931","8,281","7,888","8,322","10,272","9,208","10,105","9,531","11,732","101,826","10.1%",""
"","","2.501 < CC < 3.000 (G)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","","CC > 3.001 (G)/2.501 (D)","1,435","1,416","1,585","1,569","1,341","875","1,863","1,166","1,119","884","2,165","2,279","17,697","1.8%",""
"","SUB TOTAL","","48,352","45,390","55,106","34,317","44,612","43,504","43,893","48,730","42,999","44,318","49,572","53,216","554,009","55.1%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","104","75","103","57","98","61","98","69","60","41","89","84","939","0.1%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","520","611","684","448","617","553","736","652","542","580","437","598","6,978","0.7%",""
"","","CC > 3.001 (G)/2.500 (D)","124","159","189","115","299","234","232","253","209","245","399","646","3,104","0.3%",""
"","SUB TOTAL","","748","845","976","620","1,014","848","1,066","974","811","866","925","1,328","11,021","1.1%",""
"04","BUS","GVW          5 - 10       Ton (G/D)","345","291","507","271","413","387","511","456","436","309","271","306","4,503","0.4%",""
"","","GVW         10 - 24      Ton (G/D)","90","94","62","36","69","125","140","150","218","164","243","331","1,722","0.2%",""
"","","GVW           > 24        Ton (G/D)","-","-","-","-","1","-","-","-","-","1","-","-","2","0.0%",""
"","SUB TOTAL","","435","385","569","307","483","512","651","606","654","474","514","637","6,227","0.6%",""
"05","PICK UP","GVW            < 5         Ton (G/D)","12,489","12,380","11,659","7,525","10,470","9,986","9,783","9,734","9,609","7,803","7,792","7,756","116,986","11.6%",""
"6 .","TRUCK","GVW          5 - 10       Ton (G/D)","6,212","4,769","5,895","2,522","2,923","3,716","2,979","3,926","3,406","3,833","4,123","4,708","49,012","4.9%",""
"","","GVW         10 - 24      Ton (G/D)","546","592","696","381","570","767","761","760","736","680","646","662","7,797","0.8%",""
"","","GVW           > 24        Ton (G/D)","1,823","1,834","2,268","985","2,150","1,835","1,583","1,800","1,755","1,569","1,489","1,681","20,772","2.1%",""
"","SUB TOTAL","","8,581","7,195","8,859","3,888","5,643","6,318","5,323","6,486","5,897","6,082","6,258","7,051","77,581","7.7%",""
"07","DOUBLE CABIN
4X2 / 4X4","GVW            < 5         Ton (G/D)
For all CC","2,546","3,529","2,473","1,592","2,489","1,891","1,387","2,984","2,016","2,152","1,773","850","25,682","2.6%",""
"","SUB TOTAL","","2,546","3,529","2,473","1,592","2,489","1,891","1,387","2,984","2,016","2,152","1,773","850","25,682","2.6%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","20,701","16,266","20,691","9,987","16,491","18,787","17,609","18,547","17,148","17,828","16,817","13,833","204,705","20.4%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","20,701","16,266","20,691","9,987","16,491","18,787","17,609","18,547","17,148","17,828","16,817","13,833","204,705","20%",""
"","","","","","","","","","","","","","","","","",""
"MARKET TOTAL","","","94,270","87,059","101,272","58,981","82,189","82,656","80,504","88,928","79,919","80,350","84,390","85,284","1,005,802","100%",""
"CUMMULATIVE","","","94,270","181,329","282,601","341,582","423,771","506,427","586,931","675,859","755,778","836,128","920,518","1,005,802","","",""
