1.  SEDAN TYPE SALES                                                                                                              `JAN-DEC 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2019
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,W HEEL & TYRE SIZE,PS / HP,W HEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
4 X 2 TYPE SALES                                                                                                                 `JAN-DEC 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,W HEEL & TYRE SIZE,PS / HP,W HEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,"Segment
Share","4X2
Share","TOTAL
2019"
4X2 TYPE,CC < 1.500 [G/D],AUDI,A3 1.2 TFSI A/T,1275,AT,G,63,1455,3400,225/50/R17,170,2808,4701 x 1826 x 1427,5,4X2,FF,225,4,4,CBU,Germany,-,-,1,-,-,1,1,-,-,-,-,1,0.0%,0.0%,4
,,BMW,YH12 X2 SDRIVE18I,1500,AT,-,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,Germany,-,-,-,1,2,-,1,-,2,1,-,-,0.0%,0.0%,7
,,CHEVROLET,Aveo 1.4 LT,1398,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,Spark 1.4L,1400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,South Korea,4,13,8,9,2,4,1,1,2,3,18,52,0.0%,0.0%,117
,,,Trax 1.4L,1398,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,South Korea,83,73,129,98,102,26,7,10,23,8,374,40,0.2%,0.2%,973
,,DAIHATSU,Great New Xenia X MT,1298,MT,G,45,1050,5125,-,92,2655,4140X1660X1695,7,4X2,FR,-,5,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,Grand New Xenia 1.3 X MT,1329,MT,G,45,1120,5125,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,"1,040",980,"1,542",661,798,302,332,308,884,859,869,515,2.1%,1.6%,"9,090"
,,,Grand New Xenia 1.3 X AT,1329,AT,G,45,1130,5571,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,74,158,62,8,61,5,3,1,49,91,159,49,0.2%,0.1%,720
,,,Grand New Xenia 1.3 R MT,1329,MT,G,45,1110,5125,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,"1,608","1,656","1,553",525,644,241,335,148,813,966,781,532,2.2%,1.8%,"9,802"
,,,Grand New Xenia 1.3 R AT,1329,AT,G,45,1120,5571,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,106,164,273,43,76,8,3,2,80,147,181,80,0.3%,0.2%,"1,163"
,,,Grand New Xenia 1.5 R MT,1496,MT,G,45,1120,4875,185/70R14,104,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,169,173,158,4,6,3,3,1,84,24,21,15,0.1%,0.1%,661
,,,Grand New Xenia 1.5 R AT,1496,AT,G,45,1130,5125,185/70R14,104,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,39,76,75,1,-,-,-,2,9,19,10,6,0.1%,0.0%,237
,,,All New Sirion 1.3 MT 2018,1298,MT,G,40,930,4267,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,40,50,70,70,30,30,10,10,10,10,10,-,0.1%,0.1%,340
,,,All New Sirion 1.3 AT 2018,1298,AT,G,40,940,4032,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,60,100,130,90,180,69,231,160,150,130,160,-,0.3%,0.3%,"1,460"
,,,Gran Max BV,1298,MT,G,43,2000,5125,165R13-8PR,88,2650,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,705,648,507,810,501,332,607,"1,085","1,176","1,195","1,452",829,2.2%,1.8%,"9,847"
,,,"Gran Max BV 1,5",1500,MT,G,43,2000,5125,165R13-8PR,88,2650,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,57,13,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,70
,,,Gran Max HI FF,1298,MT,G,43,1840,5125,165R13-8PR,88,2650,4045X1665X1900,8,4X2,FR,-,5,4,CKD,INA,32,38,136,186,94,82,155,66,177,273,107,80,0.3%,0.3%,"1,426"
,,,Gran Max HI,1298,MT,G,43,1840,5125,165R13-8PR,88,2650,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,125,128,222,440,301,213,297,143,458,713,181,179,0.8%,0.6%,"3,400"
,,,Gran Max HI,1495,MT,G,43,1840,4875,165R13-8PR,88,2650,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,123,89,112,131,162,110,163,231,75,298,135,74,0.4%,0.3%,"1,703"
,,,Luxio 1.5 D (New),1495,MT,G,43,1290,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,81,166,110,114,218,71,111,82,127,129,115,80,0.3%,0.3%,"1,404"
,,,Luxio 1.5 X MT (New),1495,MT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,134,177,275,198,278,87,193,198,214,174,175,108,0.5%,0.4%,"2,211"
,,,Luxio 1.5 X AT (New),1495,AT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,37,47,60,19,21,10,10,12,25,16,79,41,0.1%,0.1%,377
,,,All New Terios X AT,1496,AT,G,45,1245,5571,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,427,"1,162",341,626,416,328,619,"1,671","1,430","1,443",918,188,2.2%,1.7%,"9,569"
,,,All New Terios R MT,1496,MT,G,45,1255,5857,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,27,198,241,51,28,16,7,17,264,86,454,100,0.3%,0.3%,"1,489"
,,,All New Terios R AT,1496,AT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,737,501,"1,319",501,350,224,424,"1,389","1,811",975,531,112,2.0%,1.6%,"8,874"
,,,All New Terios R MT,1496,MT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,228,165,431,100,23,30,18,214,294,312,614,272,0.6%,0.5%,"2,701"
,,,All New Terios Custom MT,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,20,50,50,8,-,6,6,16,7,5,-,-,0.0%,0.0%,168
,,,All New Terios Custom AT,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,20,25,46,3,-,6,6,28,5,5,10,5,0.0%,0.0%,159
,,DATSUN,Datsun Cross 1.2 MT,1198,MT,G,0,0,0,175/65 R15,0,2450,3995 x 1670 x 1560,5+2,4X2,-,-,-,4,CKD,INA,45,70,33,300,21,58,-,-,-,-,-,-,0.1%,0.1%,527
,,,Datsun Cross 1.2 CVT,1198,CVT,G,0,0,0,175/65 R15,0,2450,3995 x 1670 x 1560,5+2,4X2,-,-,-,4,CKD,INA,15,19,59,94,254,477,194,223,-,-,-,-,0.3%,0.2%,"1,335"
,,DFSK,GLORY 580 1.5T A/T CVT COMFORT,1498,AT,G,58,2035,-,226/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,9,5,5,6,55,-,-,-,-,-,-,-,0.0%,0.0%,80
,,,GLORY 580 1.5 M/T COMFORT,1498,MT,G,58,2035,-,225/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,GLORY 580 1.5T M/T LUXURY,1498,MT,G,58,2035,-,226/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,21,2,1,21,1,1,-,2,1,12,10,13,0.0%,0.0%,85
,,,GLORY 580 1.5T A/T CVT LUXURY,1498,AT,G,58,2035,-,226/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,20,17,15,23,15,12,12,14,8,8,9,0.0%,0.0%,153
,,,GLORY 560 1.5T 6M/T BASIC,1498,MT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,17,1,0.0%,0.0%,18
,,,GLORY 560 1.5T 6M/T COMFORT,1498,MT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,1,-,0.0%,0.0%,1
,,,GLORY 560 1.5T 6M/T LUXURY,1498,MT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,12,16,23,18,15,29,6,4,0.0%,0.0%,123
,,,GLORY 560 1.5T A/T CVT LUXURY,1498,AT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,86,169,230,203,194,73,69,91,0.3%,0.2%,"1,115"
,,HONDA,Brio RS,1198,MT,G,35,960,-,-,88,2345,3610 x 1680 x 1485,5,4X2,FF,-,5,4,CKD,INA,391,147,212,291,314,400,544,302,409,425,481,246,0.9%,0.7%,"4,162"
,,,Brio RS,1198,AT,G,35,960,-,-,88,2345,3610 x 1680 x 1485,5,4X2,FF,-,5,4,CKD,INA,"1,308","1,145",763,426,618,528,852,"1,190","1,315","1,028","1,035","1,315",2.6%,2.1%,"11,523"
,,,All New CR-V,1500,AT,G,58,-,-,-,-,-,-,-,4X2,FF,-,5,4,CKD,INA,29,107,8,203,154,216,179,220,298,143,7,-,0.4%,0.3%,"1,564"
,,,All New CR-V Prestige,1500,AT,G,58,-,-,-,-,-,-,-,4X2,FF,-,5,4,CKD,INA,321,347,249,875,574,585,949,"1,020",930,834,"1,077",735,1.9%,1.5%,"8,496"
,,,HR-V A,1497,MT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,HR-V S,1497,MT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,27,76,-,72,63,60,115,168,174,129,72,62,0.2%,0.2%,"1,018"
,,,HR-V S,1497,CVT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,21,47,13,98,57,62,178,121,167,75,55,32,0.2%,0.2%,926
,,,HR-V E,1497,CVT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,554,424,46,565,591,446,849,"1,053",988,698,412,513,1.6%,1.3%,"7,139"
,,,HR-V E+,1497,CVT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,569,281,577,"1,111",831,805,"1,599",917,"1,087","1,622",912,832,2.5%,2.0%,"11,143"
,,,BR-V E,1500,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,3,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,3
,,,BR-V E Prestige,1500,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,10,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,10
,,,CIVIC TYPE R,1500,MT,G,65,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,UK,-,-,1,8,-,4,2,-,-,-,1,-,0.0%,0.0%,16
,,,All New Jazz A AT  15,1497,MT,G,42,-,-,16 x 6J,120,2500,3920 x 1695 x 1525,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,All New Jazz S AT  15,1497,MT,G,42,-,-,16 x 6J,120,2500,3920 x 1695 x 1525,5,4X2,FF,-,5,4,CKD,INA,13,23,24,-,18,4,5,17,16,-,-,-,0.0%,0.0%,120
,,,All New Jazz S AT  15,1497,AT,G,42,-,-,16 x 6J,120,2500,3920 x 1695 x 1525,5,4X2,FF,-,5,4,CKD,INA,19,18,15,46,5,7,6,25,18,21,-,-,0.0%,0.0%,180
,,,All New Jazz RS  15,1497,MT,G,42,-,-,16 x 6J,120,2500,3920 x 1695 x 1525,5,4X2,FF,-,5,4,CKD,INA,227,107,29,203,171,72,149,288,193,273,54,94,0.4%,0.3%,"1,860"
,,,All New Jazz RS AT  15,1497,AT,G,42,-,-,16 x 6J,120,2500,3920 x 1695 x 1525,5,4X2,FF,-,5,4,CKD,INA,"1,164",838,811,"1,004",891,299,520,532,704,"1,186","1,010","1,049",2.3%,1.8%,"10,008"
,,,Mobilio S,1497,MT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,Mobilio E,1497,MT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,2,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,2
,,,Mobilio E,1497,CVT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,14,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,14
,,,Mobilio E Prestige,1497,CVT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,13,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,13
,,,Mobilio RS,1497,MT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,Mobilio RS,1497,CVT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,2,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,2
,,,New Mobilio S,1497,MT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,-,869,839,702,616,292,460,122,55,472,850,899,1.4%,1.1%,"6,176"
,,,New Mobilio E,1497,MT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,-,509,547,512,517,14,240,132,204,115,149,412,0.8%,0.6%,"3,351"
,,,New Mobilio E,1497,CVT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,-,269,123,680,519,27,359,214,148,357,362,601,0.8%,0.7%,"3,659"
,,,New Mobilio RS,1497,MT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,-,113,2,95,58,51,92,68,60,59,2,60,0.1%,0.1%,660
,,,New Mobilio RS,1497,CVT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,-,266,47,282,178,84,42,60,110,131,112,128,0.3%,0.3%,"1,440"
,,,BR-V S,1500,MT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,5,-,-,50,15,32,19,-,4,-,-,-,0.0%,0.0%,125
,,,BR-V E+,1500,MT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,-,-,-,59,185,128,163,55,11,91,21,128,0.2%,0.2%,841
,,,BR-V E+,1500,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,1,-,-,106,189,231,131,179,64,289,7,125,0.3%,0.2%,"1,322"
,,,BR-V E Prestige,1500,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,147,2,-,91,149,219,150,169,120,238,256,229,0.4%,0.3%,"1,770"
,,HYUNDAI,Grand i10,1200,MT,G,35,-,-,-,-,-,-,-,4X2,FF,-,4,4,CBU,India,4,4,2,4,1,-,1,1,2,2,1,-,0.0%,0.0%,22
,,,Grand i10 AT,1200,AT,G,35,-,-,-,-,-,-,-,4X2,FF,-,4,4,CBU,India,3,1,5,-,8,5,6,6,3,4,2,1,0.0%,0.0%,44
,,,All New i20,1400,MT,G,43,-,-,-,-,-,-,4,4X2,-,-,4,4,CBU,India,2,-,1,-,-,-,-,-,-,-,-,-,0.0%,0.0%,3
,,MAZDA,All New Mazda2 1.5 R,1498,AT,G,42.8,-,4147,195/45R16,103,2490,3913 x 1695 x 1475,5,4X2,FF,-,5,4,CBU,Thailand,45,114,105,115,79,10,69,52,48,53,41,10,0.2%,0.1%,741
,,,All New Mazda2 1.5 GT,1498,AT,G,42.8,-,4147,195/45R16,103,2490,3913 x 1695 x 1475,5,4X2,FF,-,5,4,CBU,Thailand,72,24,40,40,33,36,9,10,21,9,-,-,0.1%,0.1%,294
,,,Mazda 2 R AT IPM,1498,AT,G,42.8,-,4147,195/45R16,103,2490,3913 x 1695 x 1475,5,4X2,FF,-,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,10,32,0.0%,0.0%,42
,,,Mazda 2 GT AT IPM,1498,AT,G,42.8,-,4147,195/45R16,103,2490,3913 x 1695 x 1475,5,4X2,FF,-,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,43,3,0.0%,0.0%,46
,,MINI,MINI Cooper,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,UK,1,2,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,3
,,,MINI Cooper,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,UK,2,7,6,18,3,2,15,13,7,10,5,5,0.0%,0.0%,93
,,,MINI Cooper 5-Door,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,UK,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,MINI Cooper 5-Door,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,UK,2,-,4,2,2,1,-,7,2,6,3,2,0.0%,0.0%,31
,,,MINI Cooper S 5-Door,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,UK,-,1,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,MINI Cooper Clubman,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,UK,-,1,2,2,2,1,3,4,6,3,1,1,0.0%,0.0%,26
,,,MINI Cooper Cabrio / convertible,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,UK,-,1,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,MINI Cooper Cabrio / convertible,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,UK,-,1,1,-,2,-,1,8,3,1,2,4,0.0%,0.0%,23
,,,MINI Cooper Countryman,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,3,4,CBU,UK,2,1,-,-,-,-,-,-,1,-,-,-,0.0%,0.0%,4
,,,MINI Cooper S Countryman,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,UK,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,MINI Cooper Countryman,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA,9,3,14,1,9,7,10,10,15,10,25,9,0.0%,0.0%,122
,,MITSUBISHI MOTORS,T-120SS 1.5 CHS,1500,MT,G,42,1760,4875,"5,50-13-8PR",86,1970,3720 X 1560 X 1825,7,4X2,FR,140,3,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,Mirage 1.2L EXCEED (4X2) AT,1200,AT,G,35,1310,3757,14x4 1/2J,77,2450,3710 X 1665 X 1500,5,4X2,FF,-,4,4,CBU,36,-,2,-,-,-,-,-,1,-,-,-,-,0.0%,0.0%,3
,,,Mirage 1.2L GLS (4X2) AT,1200,AT,G,35,1310,3757,14x4 1/2J,77,2450,3710 X 1665 X 1500,5,4X2,FF,-,4,4,CBU,Thailand,1,-,-,1,-,-,-,-,-,-,-,-,0.0%,0.0%,2
,,,Mirage 1.2L GLX (4X2) MT,1200,MT,G,35,1280,3757,14x4 1/2J,77,2450,3710 X 1665 X 1500,5,4X2,FF,-,4,4,CBU,410,-,-,-,1,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,Eclipse Cross,1499,AT,G,63,2100,-,225/55 R18,150,2670,4405 X 1805 X 1674,5,4X2,FF,-,4,4,CBU,411,-,-,-,-,-,-,-,69,124,119,113,89,0.1%,0.1%,514
,,,Xpander 1.5L Ultimate (4X2) A/T,1499,AT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,128,"3,348","2,853","3,620","1,283","1,911","1,766","2,300","2,401","1,896","1,687","1,552","1,098",5.8%,4.6%,"25,715"
,,,Xpander 1.5L Sport (4X2) A/T,1499,AT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,859,913,"1,095",494,804,728,865,814,627,711,670,559,2.1%,1.6%,"9,139"
,,,Xpander 1.5L Sport (4X2) M/T,1499,MT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,0,4,4,CKD,INA,369,308,452,619,854,841,913,696,616,633,563,209,1.6%,1.3%,"7,073"
,,,Xpander 1.5L Exceed (4X2) A/T,1499,AT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,317,384,412,387,508,406,449,381,489,490,332,310,1.1%,0.9%,"4,865"
,,,Xpander 1.5L Exceed (4X2) M/T,1499,MT,G,45,1780,4812,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,18,669,826,"2,041",459,575,540,716,584,431,388,513,538,1.9%,1.5%,"8,280"
,,,Xpander 1.5L GLS (4X2) A/T,1499,AT,G,45,1780,4812,185/65 R15,104,2775,4475 X 1750 X 1695,7,4X2,FF,0,4,4,CKD,INA,29,73,70,89,116,83,157,92,108,93,58,73,0.2%,0.2%,"1,041"
,,,Xpander 1.5L GLS (4X2) M/T,1499,MT,G,45,1780,4812,185/65 R15,104,2775,4475 X 1750 X 1695,7,4X2,FF,-,4,4,CKD,INA,77,144,325,108,233,225,318,332,200,154,248,529,0.7%,0.5%,"2,893"
,,,Xpander 1.5L GLX (4X2) M/T,1499,MT,G,45,1780,4812,185/65 R15,104,2775,4475 X 1750 X 1695,7,4X2,FF,-,4,4,CKD,INA,40,31,100,133,100,35,57,61,40,80,48,148,0.2%,0.2%,873
,,,Xpander Cross 1.5L PREMIUM (4X2) A/T,1499,AT,G,45,1840,4375,205/55 R17,105,2775,4500 X 1800 X 1750,7,4X2,FF,0,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,521,"1,268",0.4%,0.3%,"1,789"
,,,Xpander Cross 1.5L (4X2) A/T,1499,AT,G,45,1840,4375,205/55 R17,105,2775,4500 X 1800 X 1750,7,4X2,FF,0,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,276,273,0.1%,0.1%,549
,,,Xpander Cross 1.5L (4X2) M/T,1499,MT,G,45,1840,4812,205/55 R17,105,2775,4500 X 1800 X 1750,7,4X2,FF,0,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,135,314,0.1%,0.1%,449
,,MERCEDES-BENZ PC,A 200 Progressive ( W177),1332,AT,G,43,1885,7,225/45 R18,163,2729,"4,419 x 1,992 x 1,440",5,4X2,FF,-,5,4,CBU,-,-,-,-,-,-,-,-,-,-,-,5,10,0.0%,0.0%,15
,,,B 200 Progressive ( W247),1332,AT,G,43,1960,7,205/55 R17,163,2729,"4,419 x 2,020 x 1,562",5,4X2,FF,-,5,4,CBU,-,-,-,-,-,-,-,-,-,-,-,2,3,0.0%,0.0%,5
,,NISSAN,March 1.2 Mid MT (MC '13),1200,MT,G,41,1345,-,175 / 60 / R15,76,2440,"3,780 x 1,665 x 1,525",5,4X2,-,-,5,4,CBU,Thailand,4,19,15,1,1,3,10,14,4,-,-,-,0.0%,0.0%,71
,,,March 1.2 Mid AT (MC '13),1200,AT,G,41,1345,-,175 / 60 / R15,76,2440,"3,780 x 1,665 x 1,525",5,4X2,-,-,5,4,CBU,Thailand,16,22,15,6,4,5,16,-,-,-,-,-,0.0%,0.0%,84
,,,March 1.2 High AT (MC '13),1200,AT,G,41,1345,-,175 / 60 / R15,76,2440,"3,780 x 1,665 x 1,525",5,4X2,-,-,5,4,CBU,Thailand,5,3,9,2,3,3,21,1,-,-,-,-,0.0%,0.0%,47
,,,New Grand Livina 1.5 SV CVT,1500,CVT,G,52,1750,-,185 / 65 / R15,109,2600,"4,485 x 1,695 x 1,595",7,4X2,-,-,5,4,CKD,223,14,8,4,-,-,-,-,-,-,-,-,-,0.0%,0.0%,26
,,,New Grand Livina 1.5 XV M/T,1500,MT,G,52,1750,-,185 / 65 / R15,109,2600,"4,485 x 1,700 x 1,595",7,4X2,-,-,5,4,CKD,5,24,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,24
,,,New Grand Livina1.5 XV CVT,1500,CVT,G,52,1750,-,185 / 65 / R15,109,2600,"4,485 x 1,700 x 1,595",7,4X2,-,-,5,4,CKD,508,47,64,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,111
,,,New Grand Livina 1.5 XV HWS CVT,1500,CVT,G,52,1750,-,185 / 65 / R15,109,2600,"4,485 x 1,700 x 1,650",7,4X2,-,-,5,4,CKD,312,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,New Grand Livina 1.5 CVT Autech,1500,CVT,G,52,1750,-,185 / 65 / R15,109,2600,"4,485 x 1,700 x 1,650",7,4X2,-,-,5,4,CKD,INA,13,52,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,65
,,,New Grand Livina 1.5 X-Gear M/T,1500,MT,G,52,1750,-,195  /55 / R16,109,2600,"4,540 x 1,735 x 1,650",7,4X2,-,-,5,4,CKD,INA,1,23,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,24
,,,New Grand Livina 1.5 X-Gear CVT,1500,CVT,G,52,1750,-,195  /55 / R16,109,2600,"4,540 x 1,735 x 1,650",7,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,New Grand Livina HWS M/T,1498,MT,G,52,1750,-,195  /55 / R16,109,2600,"4,540 x 1,735 x 1,650",7,4X2,-,-,5,4,CKD,1670,16,13,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,29
,,,New Grand Livina HWS CVT,1498,CVT,G,52,1750,-,195  /55 / R16,109,2600,"4,540 x 1,735 x 1,650",7,4X2,-,-,5,4,CKD,INA,7,1,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,8
