1.  SEDAN TYPE SALES                                                                                                              `JAN-DEC 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2019
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,W HEEL & TYRE SIZE,PS / HP,W HEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,4Y92 M4,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany,-,-,-,-,1,-,2,2,2,-,2,-,0.2%,0.1%,9
,,,4W72 440I,2979,AT,G,-,2075,-,-,-,-,-,-,4X2,-,-,2,4,-,-,1,-,-,-,1,-,-,-,-,1,-,-,0.1%,0.0%,3
,,,HF32 Z4 SDRIVE30I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,6,2,5,-,5,-,0.4%,0.3%,18
,,,JM12 540I XDRIVE,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,1,-,-,-,-,-,0.0%,0.0%,1
,,,JT32 530I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,2,2,3,1,-,-,0.2%,0.1%,8
,,,JA52 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,1,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,JA16 520I,2000,AT,G,60,-,-,-,-,-,-,-,4X2,FR,-,4,4,-,-,9,19,15,37,16,11,15,3,7,3,15,5,3.4%,2.4%,155
,,,JA56 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,15,11,18,14,68,19,42,8,3,1,-,-,4.4%,3.1%,199
,,,5R12 330I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,-,1,-,-,1,-,0.0%,0.0%,2
,,,JR36 530I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia,-,-,-,-,-,-,-,11,8,4,15,5,0.9%,0.7%,43
,,,5Z36 330I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia,-,-,-,-,-,-,-,-,61,39,1,24,2.7%,1.9%,125
,,,JX62 630I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0.0%,0.0%,2
,,,7T06 730LI,3000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,1,2,3,0.1%,0.1%,6
,,,5Z16 320I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,19,31,4,1.2%,0.8%,54
,,,JR12 520I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia,-,-,-,-,-,-,-,-,-,-,2,-,0.0%,0.0%,2
,,,2Z62 I8,2993,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0.0%,0.0%,1
,,,7E26 740LI,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,-,CKD,INA,2,1,1,1,5,2,2,19,6,21,3,-,1.4%,1.0%,63
,,,740LI,2998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.0%,0.0%,1
,,HYUNDAI,All New Sonata GLS,2400,AT,G,70,2030,-,-,-,-,4820 x 1835 x 1470,4,4X2,-,-,4,4,CBU,Korea,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,HONDA,New ACCORD VTi-L,2354,AT,G,65,1525,-,-,176,2275,4870 x 1850 x 1465,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,122,107,37,58,31,3,7.8%,5.6%,358
,,LEXUS,Lexus ES 250 H,2494,AT,G,-,-,-,-,181 / 6000,0,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,-,-,-,-,-,-,-,3,24,18,1,-,1.0%,0.7%,46
,,,Lexus ES 300 H,2494,AT,G,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,-,8,15,7,10,7,13,7,15,12,5,-,2.2%,1.5%,99
,,MAZDA,MX-5 RF,1999,AT,G,50,-,3863,205/45R17,160,2330,4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,4,2,2,1,2,2,2,4,10,6,4,3,0.9%,0.7%,42
,,,All New Mazda 3 Sedan,1998,AT,G,51,-,-,215/45R18,155,2725,"4,660 x 1,795 x 1,440",5,4X2,FF,-,5,4,CBU,Japan,-,-,-,-,-,-,63,12,4,3,4,4,2.0%,1.4%,90
,,,All-new Mazda 6,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,5,2,-,-,3,-,-,54,4,2,1,3,1.6%,1.2%,74
,,,All-new Mazda 6 Elite,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,5,-,-,8,7,1,2,6,2,4,9,8,1.1%,0.8%,52
,,MERCEDES-BENZ PC,C 200 AVA,1991,AT,G,66,2030,9,"225/45, 245/40 R18",184,2840,"4,686 x 2,020 x 1,442",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,7,14,0.5%,0.3%,21
,,,C 250 AMG,1991,AT,G,66,2045,7,"225/45, 245/40 R18",211,2840,"4,702 x 2,020 x 1,432",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,C 300 AMG,1991,AT,G,66,2135,9,"225/45, 245/40 R18",258,2840,"4,702 x 2,020 x 1,432",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,39,35,1.6%,1.2%,74
,,,E 200 AVA,1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,19,43,1.4%,1.0%,62
,,,E 250 AVA,1991,AT,G,66,2255,9,245/45 R18,211,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,5,4,0.2%,0.1%,9
