NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,SPEED,,DOOR,WHEELS,CBU / CKD / COMP,"DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fortuner 4X4 Suv Wagon G,"3,956",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Bahrain,5,-,-,-,-,-,-,-,-,-,-,-,5
,,,,Fortuner 4X4 Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Guyana,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,,Fortuner 4X4 Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Jamaica,2,-,-,-,-,-,-,-,-,-,-,-,2
,,,,Fortuner 4X4 Suv Wagon G,"3,956",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Kuwait,8,-,-,-,-,-,-,-,-,-,-,-,8
,,,,Fortuner 4X4 Suv Wagon G,"3,956",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Lebanon,4,-,-,-,-,-,-,-,-,-,-,-,4
,,,,Fortuner 4X4 Suv Wagon G,"3,956",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Libya,2,-,-,-,-,-,-,-,-,-,-,-,2
,,,,Fortuner 4X4 Suv Wagon D,"3,956",-,D,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Oman,48,-,-,-,-,-,-,-,-,-,-,-,48
,,,,Fortuner 4X4 Suv Wagon G,"3,956",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Oman,22,-,-,-,-,-,-,-,-,-,-,-,22
,,,,Fortuner 4X4 Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Oman,32,-,-,-,-,-,-,-,-,-,-,-,32
,,,,Fortuner 4X4 Suv Wagon G,"3,956",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Qatar,18,-,-,-,-,-,-,-,-,-,-,-,18
,,,,Fortuner 4X4 Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Qatar,17,-,-,-,-,-,-,-,-,-,-,-,17
,,,,Fortuner 4X4 Suv Wagon D,"3,956",-,D,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,S.Arabia,190,-,-,-,-,-,-,-,-,-,-,-,190
,,,,Fortuner 4X4 Suv Wagon G,"3,956",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,S.Arabia,418,-,-,-,-,-,-,-,-,-,-,-,418
,,,,Fortuner 4X4 Suv Wagon G,"3,956",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,U.A.E,61,-,-,-,-,-,-,-,-,-,-,-,61
,,,,Fortuner 4X4 Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,U.A.E,166,-,-,-,-,-,-,-,-,-,-,-,166
,,,,Fortuner 4X4 Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Vietnam,35,-,-,-,-,-,-,-,-,-,-,-,35
,,,,Fortuner 4X4 Suv Wagon D,"3,956",-,D,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Yemen(N),10,-,-,-,-,-,-,-,-,-,-,-,10
,,,,Fortuner 4X4 Suv Wagon G,"3,956",-,G,-,-,-,-,-,-,-,-,4X4,-,-,-,4,CBU,Yemen(N),13,-,-,-,-,-,-,-,-,-,-,-,13
,,,,Innova,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Brunei,-,-,-,-,7,2,1,4,7,6,-,-,27
,,,,Innova,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Saudi  Arabia,-,-,-,-,-,-,-,-,-,-,-,94,94
,,,,Innova,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,36,42,78
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Bahrain,-,-,-,-,-,2,3,-,5,4,3,6,23
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Guatemala,-,-,-,-,-,3,2,3,11,16,3,4,42
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,-,-,-,-,-,24,27,2,23,39,16,17,148
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,-,-,-,-,-,-,-,5,-,-,-,-,5
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Panama,-,-,-,-,-,-,-,10,25,16,14,-,65
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Qatar,-,-,-,-,-,-,-,6,16,14,3,5,44
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Qatar,-,-,-,-,-,12,7,-,-,-,-,-,19
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Saudi  Arabia,-,-,-,-,-,115,92,15,204,179,77,153,835
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Saudi  Arabia,-,-,-,-,-,-,-,114,-,-,-,-,114
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,3,3
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Uae Adb,-,-,-,-,-,-,-,233,59,146,13,123,574
,,,,Innova,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Uae Adb,-,-,-,-,-,124,29,-,-,-,-,-,153
,,,,Innova,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Brunei,-,-,-,-,-,-,-,-,-,-,14,27,41
,,,,Innova,"2,800",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Bahrain,5,-,-,-,-,-,-,-,-,-,-,-,5
,,,,Innova,"2,800",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Guatemala,4,2,4,-,-,-,-,-,-,-,-,-,10
,,,,Innova,"2,800",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,23,17,24,24,16,-,-,-,-,-,-,-,104
,,,,Innova,"2,800",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Libya,-,-,2,-,-,-,-,-,-,-,-,-,2
,,,,Innova,"2,800",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Panama,22,48,-,-,-,-,-,-,-,-,-,-,70
,,,,Innova,"2,800",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Qatar,-,9,18,16,8,-,-,-,-,-,-,-,51
,,,,Innova,"2,800",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Qatar,14,-,-,149,-,-,-,-,-,-,-,-,163
,,,,Innova,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Saudi  Arabia,63,-,41,83,101,27,17,-,76,-,77,-,485
,,,,Innova,"2,800",-,,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Saudi  Arabia,111,127,132,-,-,-,-,-,-,38,-,-,408
,,,,Innova,"2,800",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Thailand,-,4,5,5,39,22,13,28,41,39,-,-,196
,,,,Innova,"2,800",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,U.A.E,14,12,26,58,11,-,-,-,-,-,-,-,121
,,,,Sienta,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Singapore,-,11,1,-,-,-,-,-,-,-,-,-,12
,,,,Sienta   Nsp170R,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Singapore,20,-,1,101,-,-,-,-,-,-,77,-,199
,,,,Sienta,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,15,15
,,,,Sienta,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Thailand,-,55,106,-,24,95,28,65,50,73,-,60,556
,,,,Veloz,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vietnam  Hcm,-,373,-,-,-,-,-,-,-,-,-,-,373
,,,,Veloz,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vietnam  Hpg,-,423,-,4,-,-,-,-,-,-,-,-,427
,,,,Vios,"1,500",-,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Brunei,-,2,8,-,6,5,28,-,-,-,-,-,49
,,,,Vios G Nsp151R,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Brunei,4,-,-,-,-,-,-,-,-,-,-,-,4
,,,,Yaris G Nsp150L,"1,496",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,76,-,-,-,45,-,-,-,-,-,-,-,121
,,,,Yaris G Nsp151L,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Bahrain,57,-,-,69,14,-,-,-,-,-,-,-,140
,,,,Yaris G Nsp151L,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,31,-,-,51,11,-,-,-,-,-,-,-,93
,,,,Yaris G Nsp151L,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Lebanon,2,-,-,10,10,-,-,6,-,-,-,-,28
,,,,Yaris G Nsp151L,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Oman,51,-,-,94,26,-,-,-,-,-,-,-,171
,,,,Yaris G Nsp151L,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Qatar,58,-,-,61,10,-,-,-,-,-,-,-,129
,,,,Yaris G Nsp151L,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,S.Arabia,"2,278",-,-,"2,650",719,-,-,119,-,-,-,-,"5,766"
,,,,Yaris G Nsp151L,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,U.A.E,320,-,-,253,-,-,-,-,-,-,-,-,573
,,,,Yaris SD,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Bahrain,-,83,59,126,-,71,20,-,-,-,-,-,359
,,,,Yaris SD,"1,300",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,-,104,113,-,-,133,128,-,-,-,-,-,478
,,,,YARIS_SD,"1,500",-,G,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kuwait,-,-,-,-,-,41,18,-,-,-,-,-,59
,,,,Yaris SD,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Lebanon,-,20,8,-,-,10,5,-,-,-,-,-,43
,,,,Yaris SD,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Oman,-,60,67,-,-,69,73,-,-,-,-,-,269
,,,,Yaris SD,"1,300",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Qatar,-,71,66,-,-,30,81,-,-,-,-,-,248
,,,,YARIS_SD,"1,500",-,G,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Qatar,-,-,-,-,-,54,-,-,-,-,-,-,54
,,,,Yaris SD,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,S.Arabia,-,"2,233","2,283",-,-,"2,712","1,626",-,-,-,-,-,"8,854"
,,,,Yaris SD,"1,500",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Uae Adb,-,347,235,-,109,897,667,101,-,-,-,-,"2,356"
,,,,TOTAL,,,,,,,,,,,,,,,,,,,"6,747","11,632","13,936","13,886","6,369","12,072","11,864","12,201","11,587","12,214","11,504","10,942","134,954"
"EXP  CBU NO.2, 3, 4, 5,        , CKD & COM P…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
