NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,SPEED,,DOOR,WHEELS,CBU / CKD / COMP,"DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,-,-,-,-,5,-,40,43,13,26,10,2,139
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,-,-,-,-,-,-,-,-,-,-,-,4,4
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Morocco,-,-,-,64,-,223,4,19,23,10,16,22,381
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Morocco,-,-,-,-,-,-,-,-,-,-,-,4,4
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Oman,-,-,-,63,11,7,6,24,26,21,20,29,207
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Philippines,-,-,-,344,680,559,951,378,"1,295","1,177",931,40,"6,355"
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Philippines,-,-,-,-,-,-,-,-,-,-,-,184,184
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Png,-,-,-,12,-,-,-,-,2,2,-,-,16
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Qatar,-,-,-,277,-,-,-,-,-,-,-,-,277
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Saudi  Arabia,-,-,-,33,92,7,123,115,38,179,128,148,863
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Uae Adb,-,-,-,12,6,329,4,9,22,9,10,7,408
,,,,Fortuner,"2,400",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Yemen,-,-,-,-,14,30,2,-,4,1,4,3,58
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Antigua,-,-,-,5,-,1,-,3,-,-,1,-,10
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Bahrain,-,-,7,5,2,1,1,4,1,6,6,2,35
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Bahrain,-,-,6,5,5,-,4,7,1,3,5,3,39
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Bangladesh,-,-,-,-,-,1,1,-,-,-,-,-,2
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Brunei,-,-,2,-,5,3,-,9,1,4,-,100,124
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Brunei,-,-,-,-,-,-,-,-,-,-,-,9,9
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Cayman,-,-,2,52,-,-,-,-,-,-,-,-,54
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,CFAO LHD AWP,-,-,-,-,-,-,-,-,17,29,-,52,98
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,CFAO LHD JBA,-,-,-,-,-,-,-,-,42,82,-,-,124
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Ecuador,-,-,26,1,20,79,19,50,64,36,65,50,410
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Grand Cayman,-,-,-,-,-,-,-,1,-,1,1,1,4
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Grenada,-,-,1,2,-,-,-,1,-,-,-,-,4
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,GUYANA,-,-,-,-,-,-,-,-,-,-,1,-,1
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Guyana,-,-,1,100,-,1,1,-,-,-,-,-,103
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Jamaica,-,-,1,8,3,2,-,-,1,1,-,2,18
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Jordan,-,-,-,-,-,85,115,56,44,-,-,-,300
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,-,-,97,90,56,92,37,51,71,72,29,14,609
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Lebanon,-,-,-,34,16,13,10,11,32,6,31,13,166
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Oman,-,-,-,19,55,76,28,44,68,91,64,65,510
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Peru,-,-,20,126,17,32,30,186,76,-,-,-,487
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Philippines,-,-,-,-,-,-,-,-,-,-,635,276,911
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Qatar,-,-,50,99,14,36,8,22,6,20,15,10,280
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,S.Arabia,-,-,973,284,542,890,301,342,115,242,325,284,"4,298"
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,S.Arabia,-,-,-,-,-,-,-,-,-,-,-,191,191
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,ST. VINCENT,-,-,-,-,-,-,-,-,-,-,1,-,1
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Trinidad,-,-,1,403,-,-,-,-,-,-,1,-,405
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,U.A.E ADB,-,-,323,-,167,118,65,199,73,120,135,114,"1,314"
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vietnam,-,-,98,16,-,-,-,-,-,-,-,-,114
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vietnam  Hcm,-,-,-,82,25,81,43,13,5,151,92,5,497
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vietnam  Hcm,-,-,-,-,-,-,-,-,-,-,-,22,22
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vietnam  Hpg,-,-,-,65,27,56,30,25,8,124,84,18,437
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vietnam  Hpg,-,-,-,-,-,-,-,-,-,-,-,17,17
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vietnam  TTAP Hpg,-,-,-,-,-,-,-,1,45,-,-,-,46
,,,,Fortuner,"2,700",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Yemen,-,-,-,64,9,7,1,-,11,-,2,5,99
,,,,Fortuner,"2,800",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Australia,-,-,-,-,29,131,100,-,-,-,-,-,260
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Australia Adl,-,-,-,-,-,-,-,14,17,1,21,-,53
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Australia Bbn,-,-,-,-,-,-,-,88,39,41,4,-,172
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Australia Dwn,-,-,-,-,-,-,-,7,14,1,8,-,30
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Australia Fmt,-,-,-,-,-,-,-,27,28,14,30,-,99
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Australia Mbr,-,-,-,-,-,-,-,23,35,3,43,-,104
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Australia Pkb,-,-,-,-,-,-,-,40,45,9,30,-,124
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Australia Twv,-,-,-,-,-,-,-,21,12,7,3,-,43
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Brunei,-,-,-,-,4,3,-,4,1,4,38,12,66
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,CFAO RHD DRB,-,-,-,-,-,-,-,60,73,-,35,142,310
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,CFAO RHD MBS KE,-,-,-,-,-,-,-,-,27,51,12,10,100
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Fiji,-,-,-,-,-,-,-,-,-,-,-,2,2
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Jamaica,-,-,-,-,-,1,-,1,-,2,-,1,5
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,-,-,-,-,-,2,6,8,8,14,9,35,82
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,-,-,-,-,-,-,-,-,-,-,-,9,9
