NO.,BRAND,MONTH,,,,,,,,,,,,"SALES
2023","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,28970,27336,29471,21518,28178,24803,30029,30149,25928,27438,30916,32041,336777,33.5%
2,DAIHATSU,18194,16263,19884,10778,16009,18112,15821,17481,15009,14099,13545,12805,188000,18.7%
3,HONDA,15781,14375,16871,4955,11158,11552,10626,11778,10911,11938,10599,8423,138967,13.8%
4,SUZUKI,6584,7422,8430,4668,6377,7840,5845,6872,6502,5990,7125,7402,81057,8.1%
5,MITSUBISHI MOTORS,7949,6929,7058,6132,5719,5504,5500,7100,6248,6016,6931,6330,77416,7.7%
6,HYUNDAI - HMID,4067,3022,3342,2241,3030,2709,1654,3337,3103,3032,3055,2908,35500,3.5%
7,MITSUBISHI FUSO,4265,3261,4035,1517,1918,2102,2303,2727,2168,2157,2300,2800,31553,3.1%
8,ISUZU,3338,2707,2936,2026,2169,2978,2486,2800,2690,2531,2366,2400,31427,3.1%
9,HINO,2438,2200,3135,1214,2554,2498,1930,2340,2282,2450,2517,2891,28449,2.8%
10,WULING,586,1216,3000,1171,2119,1650,1642,1095,2001,2172,2670,4218,23540,2.3%
11,MAZDA,425,420,468,535,278,550,387,667,463,390,273,464,5320,0.5%
12,B M W,201,248,330,375,415,310,376,425,463,465,352,402,4362,0.4%
13,CHERY,77,113,256,515,531,502,348,443,460,358,208,288,4099,0.4%
14,MERCEDES-BENZ PC,295,273,310,228,327,299,317,318,227,330,234,270,3428,0.3%
15,LEXUS,26,54,171,300,350,271,119,236,236,218,224,310,2515,0.3%
16,MERCEDES-BENZ CV,94,239,298,105,52,224,69,97,186,91,214,401,2070,0.2%
17,UD TRUCKS,212,184,189,76,146,150,152,136,172,158,128,96,1799,0.2%
18,NISSAN,140,169,188,160,152,116,128,190,113,94,108,81,1639,0.2%
19,K I A,18,95,195,113,165,75,175,191,122,46,76,107,1378,0.1%
20,DFSK,278,103,115,65,129,82,108,60,93,88,52,187,1360,0.1%
21,MORRIS GARAGE,61,151,122,58,67,54,107,160,154,56,99,94,1183,0.1%
22,MINI,42,28,103,40,90,43,69,103,108,91,76,117,910,0.1%
23,SCANIA,63,79,70,71,85,75,77,50,29,28,59,28,714,0.1%
24,FAW,3,23,162,18,27,30,30,33,178,36,44,33,617,0.1%
25,SUBARU,33,44,47,36,54,85,91,50,22,42,19,38,561,0.1%
26,JEEP,86,26,14,31,45,5,77,36,7,-,1,6,334,0%
27,VOLKSWAGEN,19,50,34,10,13,18,22,27,23,10,11,10,247,0%
28,PEUGEOT,15,20,36,19,21,14,11,14,16,16,10,7,199,0%
29,NETA,-,-,-,-,-,-,-,-,-,-,100,81,181,0%
30,SERES,-,-,-,-,-,-,-,-,-,-,67,44,111,0%
31,AUDI,1,6,1,6,9,5,5,9,4,6,5,1,58,0%
32,TATA,9,3,1,-,2,-,-,4,1,4,6,1,31,0%
33,CITROEN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
34,HYUNDAI - HIM,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
35,DATSUN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,94270,87059,101272,58981,82189,82656,80504,88928,79919,80350,84390,85284,1005802,100%
CUMULATIVE,,94270,181329,282601,341582,423771,506427,586931,675859,755778,836128,920518,1005802,,
B.  RETAIL SALES,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"RETAIL
2023","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,25555,25250,30008,24134,25791,26092,25908,28104,26600,28003,29125,30825,325395,32.6%
2,DAIHATSU,22053,17013,18501,14001,15625,15322,15373,16335,15402,14646,14752,15085,194108,19.4%
3,HONDA,11018,12069,14614,8246,11391,10459,9009,10050,10170,9611,10165,11208,128010,12.8%
4,SUZUKI,8083,6922,7634,4918,6868,6808,6305,7040,6342,6732,6471,8121,82244,8.2%
5,MITSUBISHI MOTORS,8124,7407,8116,5972,7238,6403,5100,7976,6246,5842,6629,6739,81792,8.2%
6,HYUNDAI - HMID,3549,2801,3306,2505,3125,2922,2296,3211,3103,2815,3051,3052,35736,3.6%
7,MITSUBISHI FUSO,3462,3369,3554,1961,2501,2496,2547,2803,2806,2106,2602,3076,33283,3.3%
8,ISUZU,2642,2722,2947,1613,2653,2931,2555,2759,2657,2746,2572,2800,31597,3.2%
9,HINO,2812,2687,2677,818,1835,1890,2525,2500,2193,2567,2638,2587,27729,2.8%
10,WULING,1632,1642,2092,2025,2400,1936,1954,2386,2347,1970,2202,3406,25992,2.6%
11,MAZDA,342,298,458,358,408,386,409,585,536,375,368,379,4902,0.5%
