NO.,BRAND,MONTH,,,,,,,,,,,,"SALES
2023","SHARE
%"
12,B M W,200,210,285,303,350,365,362,447,468,403,381,398,4172,0.4%
13,CHERY,102,121,249,387,445,478,441,464,400,331,222,312,3952,0.4%
14,MERCEDES-BENZ PC,231,244,307,138,357,341,306,305,297,221,242,214,3203,0.3%
15,LEXUS,36,52,166,220,361,216,209,185,162,197,248,228,2280,0.2%
16,MERCEDES-BENZ CV,174,212,212,146,204,121,142,106,130,109,197,124,1877,0.2%
17,UD TRUCKS,179,155,162,94,152,158,137,169,154,168,187,141,1856,0.2%
18,NISSAN,151,171,204,188,187,145,149,172,147,102,94,114,1824,0.2%
19,DFSK,167,134,140,102,137,142,147,147,127,76,94,185,1598,0.2%
20,K I A,119,146,225,153,143,96,125,151,112,107,73,129,1579,0.2%
21,MORRIS GARAGE,60,122,142,55,71,59,92,160,128,52,111,102,1154,0.1%
22,MINI,40,40,100,30,75,55,57,72,113,110,70,129,891,0.1%
23,SCANIA,63,79,70,71,85,75,77,50,29,28,54,28,709,0.1%
24,FAW,3,23,162,18,27,30,30,33,178,36,44,33,617,0.1%
25,SUBARU,29,30,57,28,50,46,31,55,64,44,45,42,521,0.1%
26,JEEP,22,52,37,13,40,12,35,37,14,13,16,9,300,0%
27,VOLKSWAGEN,20,27,39,9,13,13,20,43,36,12,6,11,249,0%
28,PEUGEOT,15,20,36,19,21,14,11,14,16,16,10,7,199,0%
29,NETA,-,-,-,-,-,-,-,-,-,-,100,66,166,0%
30,AUDI,1,6,1,6,7,7,5,9,4,5,5,1,57,0%
31,SERES,-,-,-,-,-,-,-,-,-,-,7,29,36,0%
32,TATA,8,5,1,-,-,1,1,3,3,3,-,6,31,0%
33,CITROEN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
34,HYUNDAI - HIM,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
35,DATSUN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,90892,84029,96502,68531,82560,80019,76358,86371,80984,79446,82781,89586,998059,100%
CUMULATIVE,,90892,174921,271423,339954,422514,502533,578891,665262,746246,825692,908473,998059,,
C.  PRODUCTION,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"PROD
2023","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,54533,51149,51208,30537,47765,42795,51381,52696,49928,53065,54443,49762,589262,42.2%
2,DAIHATSU,17782,16187,19754,10690,15980,18101,15805,17450,15007,14092,13524,12805,187177,13.4%
3,MITSUBISHI MOTORS,14271,13603,14708,8129,14435,13453,15043,15005,12614,13265,12759,7074,154359,11.1%
4,HONDA,15666,13798,15593,6021,10319,11647,11612,12554,10580,10780,9768,5424,133762,9.6%
5,SUZUKI,11173,10628,12014,6038,10900,10214,9749,8979,7569,8504,7592,6766,110126,7.9%
6,HYUNDAI - HMMI,6840,6091,6838,4740,6910,7038,7700,7650,6200,7460,7030,5060,79557,5.7%
7,ISUZU,3755,3426,3198,2028,3138,3036,3060,3318,3328,3534,3528,3107,38456,2.8%
8,MITSUBISHI FUSO,4220,3441,4827,2592,3648,3180,2585,1567,1716,1740,1260,1383,32159,2.3%
9,HINO,2898,2433,2399,1148,2338,2275,2548,3174,2326,2092,2131,1783,27545,2%
10,WULING,465,1373,3942,2072,2520,1325,1303,1399,1944,1939,2668,3506,24456,1.8%
11,CHERY,162,225,239,531,809,907,915,656,327,325,307,302,5705,0.4%
12,MERCEDES-BENZ PC,233,275,275,222,298,241,366,357,302,311,167,55,3102,0.2%
13,B M W,193,235,280,146,224,184,190,295,314,266,169,307,2803,0.2%
14,HYUNDAI HIM,3,3,117,-,108,199,144,315,378,377,360,39,2043,0.1%
15,UD TRUCK,186,168,187,72,144,147,147,155,120,192,190,111,1819,0.1%
16,MERCEDES-BENZ CV,129,104,132,86,121,12,94,45,74,207,144,272,1420,0.1%
17,DFSK,210,250,285,168,150,90,-,-,50,51,40,90,1384,0.1%
18,MINI,49,1,70,17,16,16,14,28,6,109,116,5,447,0%
19,SERES,-,-,-,-,-,-,-,5,-,-,70,60,135,0%
GRAND TOTAL,,132768,123390,136066,75237,119823,114860,122656,125648,112783,118309,116266,97911,1395717,100%
CUMULATIVE,,132768,256158,392224,467461,587284,702144,824800,950448,1063231,1181540,1297806,1395717,,
D.  EXPORTS,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"EXPORT
2023","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,DAIHATSU,16594,16582,14545,10409,11768,13305,11275,15023,10742,15506,13008,8754,157511,31.2%
2,TOYOTA,10562,12053,10612,7527,10903,8085,8725,13585,14466,16054,13292,11797,137661,27.3%
3,MITSUBISHI MOTORS,5808,7098,8098,5739,7068,6652,9100,6870,7296,5338,5068,6384,80519,15.9%
4,HYUNDAI - HMMI,4084,3617,3620,3078,4585,5942,5188,5404,4744,3852,5992,4332,54438,10.8%
5,SUZUKI,4197,4534,3746,3617,2669,3736,3692,2701,2322,2718,2365,2260,38557,7.6%
6,HONDA,2190,1376,2556,1680,1739,3463,3708,1772,1669,1958,1363,1835,25309,5%
7,ISUZU,812,792,636,174,192,612,599,691,421,827,610,692,7058,1.4%
8,HYUNDAI - HIM,60,-,120,-,30,210,150,255,310,475,280,210,2100,0.4%
9,WULING,-,3,40,6,12,151,403,159,208,232,211,100,1525,0.3%
10,HINO,40,-,75,-,-,-,-,-,-,-,30,85,230,0%
11,DFSK,8,8,100,8,20,58,8,8,8,-,-,-,226,0%
TOTAL CBU (UNIT),,44355,46063,44148,32238,38986,42214,42848,46468,42186,46960,42219,36449,505134,100%
1,MITSUBISHI MOTORS,1950,3090,3480,1920,2760,1800,2100,2520,2850,3570,3731,3533,33304,50.6%
2,TOYOTA,1750,2200,1700,1780,2980,2950,2620,2170,2140,3080,3551,3339,30260,46%
3,SUZUKI,336,-,240,336,48,48,48,144,360,264,168,216,2208,3.4%
4,DFSK,-,9,-,-,-,-,-,-,-,-,-,-,9,0%
5,WULING,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
TOTAL CKD (SET),,4036,5299,5420,4036,5788,4798,4768,4834,5350,6914,7450,7088,65781,100%
1,TOYOTA,13699542,16326145,12355923,10094882,15450795,7602985,8748253,24514700,5194891,8540565,6597666,7136719,136263065,90.7%
2,HONDA,474192,454812,383604,492660,807828,1028400,1063020,1208988,1007984,1226518,1025618,1059750,10233374,6.8%
3,HINO,455163,361856,293619,178485,347811,345916,463212,511133,313981,179981,148298,138873,3738328,2.5%
4,SUZUKI,1788,1615,4155,96,2141,200,682,734,716,1162,624,1960,15873,0%
TOTAL COMPONENT (PCS),,14630685,17144428,13037301,10766123,16608575,8977501,10275167,26235555,6517572,9948226,7772206,8337302,150250640,100%
E.  IMPORTS,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"IMPORT
2023","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,2514,4070,3080,3250,5747,3247,2459,2521,2331,2262,2111,2195,35787,40.2%
2,MITSUBISHI MOTORS,2471,2251,3439,-,2257,1061,747,39,150,2,213,40,12670,14.2%
3,SUZUKI,668,1418,452,364,2372,1153,894,1387,926,634,478,449,11195,12.6%
4,MAZDA,425,420,468,535,278,550,387,667,463,390,273,464,5320,6%
5,HONDA,210,329,16,149,244,87,306,468,104,719,828,600,4060,4.6%
6,HYUNDAI - HMID,160,271,389,247,444,471,561,759,83,336,7,7,3735,4.2%
7,LEXUS,8,128,320,236,297,201,131,276,353,271,121,280,2622,2.9%
8,ISUZU,338,97,158,162,156,251,235,330,156,45,9,12,1949,2.2%
9,BMW,-,-,252,107,336,47,336,39,590,52,73,-,1832,2.1%
10,KIA,18,95,195,113,165,75,175,191,122,46,76,107,1378,1.5%
11,MERCEDES-BENZ CV,44,127,317,120,292,61,91,100,50,31,79,33,1345,1.5%
12,MORRIS GARAGE,98,250,99,133,93,36,94,46,50,-,38,-,937,1.1%
13,NISSAN,60,55,65,87,73,72,97,150,65,73,85,48,930,1%
14,MERCEDES-BENZ PC,50,7,77,91,145,69,104,65,45,97,51,68,869,1%
15,MINI,-,-,99,-,122,-,213,-,196,4,133,-,767,0.9%
16,SUBARU,33,48,49,33,54,85,80,110,2,78,153,-,725,0.8%
17,FAW,3,23,162,18,27,30,30,33,178,36,44,33,617,0.7%
18,HINO,40,33,69,40,48,66,74,28,93,19,35,4,549,0.6%
19,DAIHATSU,100,80,130,90,30,10,17,13,10,-,20,-,500,0.6%
20,JEEP,86,26,14,31,45,5,77,36,7,-,1,6,334,0.4%
21,NETA,-,-,-,-,-,-,-,2,8,-,250,-,260,0.3%
22,PEUGEOT,15,20,36,19,21,14,11,14,16,16,10,7,199,0.2%
23,UD TRUCK,26,16,2,4,2,4,5,11,22,38,10,7,147,0.2%
24,DFSK,20,20,20,-,-,-,-,-,-,-,-,-,60,0.1%
25,AUDI,1,6,1,6,9,5,5,9,4,6,5,1,58,0.1%
26,VOLKSWAGEN,7,5,2,-,-,5,4,8,5,5,5,4,50,0.1%
27,TATA,-,-,-,-,8,-,-,-,8,4,-,-,20,0%
28,CITROEN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
TOTAL CBU (UNIT),,7395,9795,9911,5835,13265,7605,7133,7302,6037,5164,5108,4365,88915,100%
