GAIKINDO IMPORT DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`JAN-DEC  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,`JAN-DEC  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,,IMPORTER,BRAND,MODEL,CC,TRANS,FUEL,TANK,GVW,GEAR,W HEEL &,PS/HP,W HEEL,DIMENSI ON,SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD / COMP,ORIGIN,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
,,,,,,(AT/MT),(G/D),CAPT,(Kg),RATIO,TYRE SIZE,,BASE,P x L x T,,,,,,,,COUNTRY,,,,,,,,,,,,,
1,CBU IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,86 Aero,1998,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,-,4,2,3,-,3,42,2,-,1,3,1,61
,,,,Voxy 2.0 AT,2000,AT,G,60,2205,-,205/60 R16,158 / 6200,-,4600X1695X1850,7,4X2,FF,-,5,4,CKD,Japan,186,247,327,347,150,513,407,184,476,408,263,125,"3,633"
,,,,"A l p h a r d 2,5 G",2500,AT,G,65,1920,5791,215/60/R17,170 / 6000,2950,4870X1830X1905,7,4X2,FF,5,5,4,CBU,Japan,333,343,421,579,276,305,270,142,476,318,145,113,"3,721"
,,,,A l p h a r d 2.5 X,2500,AT,G,65,1905,5791,215/60/R17,170 / 6000,2950,4870X1830X1905,7,4X2,FF,5,5,4,CBU,Japan,-,-,2,48,35,64,24,2,2,67,70,66,380
,,,,"A l p h a r d 3,5",3456,AT,G,65,1905,5791,215/60/R17,170 / 6000,2950,4870X1830X1905,7,4X2,FF,5,5,4,CBU,Japan,1,6,7,11,1,9,5,-,2,2,4,3,51
,,,,Vellflre 2.5,2494,AT,G,65,1905,5791,215/60/R17,170 / 6000,2950,4870X1830X1905,7,4X2,FF,5,5,4,CBU,Japan,39,50,73,67,21,54,64,27,51,19,13,9,487
,,,,"A l p h a r d 2,5 Hybrid",2494,AT,G,65,1905,5791,215/60/R17,170 / 6000,2950,4870X1830X1905,7,4X2,FF,5,5,4,CBU,Japan,-,-,-,-,-,-,-,-,-,1,-,-,1
,,,,C-HR 1.8 A/T,1798,AT,G,50,-,-,215 / 60 R17,141 / 6400,2640,4360x1795x1565,5,4X2,FF,7,5,4,CBU,Thailand,23,14,7,5,6,4,10,-,1,-,2,1,73
,,,,C-HR 1.8 A/T Dual Tone,1798,AT,G,50,-,-,215 / 60 R17,141 / 6400,2640,4360x1795x1565,5,4X2,FF,7,5,4,CBU,Thailand,-,-,1,6,9,5,-,5,7,9,5,1,48
,,,,C-HR 1.8 A/T Hybrid,1798,AT,G,50,-,-,215 / 60 R17,141 / 6400,2640,4360x1795x1565,5,4X2,FR,7,5,4,CBU,Thailand,96,94,47,34,16,4,-,72,5,5,8,2,383
,,,,Land Cruiser 200,4461,MT,D,93,3350,-,285 / 65R / 17,235 / 3200,2850,4950 X1970 X905,7,4X4,AWD,5,5,4,CBU,Japan,16,27,49,34,13,70,47,13,36,22,14,13,354
,,,,Land Cruiser 70,-,MT,D,-,-,-,-,-,-,-,7,4X4,AWD,5,5,4,CBU,Japan,4,-,-,-,2,14,6,1,-,-,-,-,27
,,,,HI-ACE Commuter HI Grade,2494,MT,D,70,2145,-,195/R15,102 / 3600,3110,5380X1880X2285,16,4X2,FR,5,4,4,CBU,Thailand,251,397,423,352,92,265,261,153,443,273,173,138,"3,221"
,,,,HI-ACE 2.8,2800,MT,D,-,-,-,-,195/R15,102 / 360,5380X1880X2285,-,4X2,FR,-,-,-,CBU,Thailand,-,-,-,-,-,23,48,61,192,132,77,70,603
,,,,HiLux 2.0 P/U SC,1998,M/T,D,65,1265,-,205 / 70 R15,136 / 5600,2750,4800X1760X1680,2,4X2,FR,5,2,4,CBU,Thailand,114,71,103,63,177,238,378,337,149,165,98,23,"1,916"
,,,,HiLux 2.5 P/U SC E,2494,M/T,D,65,1490,-,255 / 70 R15C,102 / 3600,2750,4800X1760X1680,2,4X2,FR,5,2,4,CBU,Thailand,193,228,133,87,34,-,-,-,-,-,-,-,675
,,,,HiLux 2.4 P/U SC E,2394,MT,D,65,1490,-,255 / 70 R15C,102 / 3600,2750,4800X1760X1680,2,4X2,FR,5,2,4,CBU,Thailand,-,-,-,-,50,63,25,34,61,146,181,-,560
,,,,HiLux 2.4 P/U DC E,2400,M/T,D,70,1795,3727,255 / 70 R15C,144 / 3400,3085,5135X1835X1850,4,4X4,4WD,5,4,4,CBU,Thailand,86,85,65,118,131,142,278,114,73,56,44,10,"1,202"
,,,,HiLux 2.4 P/U DC G,2400,M/T,D,70,1795,3727,255 / 70 R15C,144 / 3400,3085,5135X1835X1850,4,4X4,4WD,5,4,4,CBU,Thailand,347,331,320,278,143,372,496,323,329,363,293,95,"3,690"
,,,,HiLux 2.4 P/U DC V,2400,M/T,D,70,1795,3727,255 / 70 R15C,144 / 3400,3085,5135X1835X1850,4,4X4,4WD,5,4,4,CBU,Thailand,34,-,-,-,-,-,-,-,-,-,-,15,49
,,,,HiLux 2.4 P/U Extra Cab,2394,AT,D,70,1880,-,255 / 70 R15C,144 / 3400,3085,5260X1835X1850,4,4X4,4WD,-,4,4,CBU,Thailand,41,-,-,-,-,-,-,-,-,-,-,-,41
,,,,HiLux 2.4 P/U SC,2394,AT,D,70,1490,-,255 / 70 R15C,102 / 3600,2750,4800X1760X1680,2,4X4,4WD,5,2,4,CBU,Thailand,-,-,-,-,-,-,-,-,90,60,-,88,238
,,,,TOTAL,,,,,,,,,,,,,,,,,,,"1,962","2,176","2,208","2,248","1,339","2,360","2,461","1,554","2,628","2,231","1,551",829,"23,547"
,3,PT. TOYOTA ASTRA MOTOR,LEXUS,Lexus IS 250,2500,AT,G,-,-,-,-,-,-,-,-,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,Lexus ES 250 H,2494,AT,G,-,-,-,-,181 / 6000,-,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,36,11,-,-,47
,,,,Lexus ES 300 H,2494,AT,G,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,8,17,10,9,9,14,3,16,11,1,-,98
,,,,Lexus LS 500,3445,AT,G,0,2760,-,245 / 45 R20,-,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,-,-,-,4,-,-,-,-,-,2,-,-,6
,,,,Lexus  LX 570,5663,AT,G,138,2635,-,285 / 50 R20,383 / 5600,-,5065X1980X1865,4,4X2,FR,8,4,4,CBU,Japan,6,12,9,22,4,12,9,3,5,10,1,-,93
,,,,Lexus NX 200,1998,AT,G,60,-,-,255 / 60 R18,235 / 4000,2660,4630X1845X1630,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,Lexus NX 300,1998,AT,G,60,-,-,255 / 60 R18,235 / 4000,2660,4630X1845X1630,4,4X2,FR,-,4,4,CBU,Japan,21,16,10,36,5,33,22,7,15,20,5,-,190
,,,,Lexus RX 200t,1998,AT,G,72,2500,-,-,235 / 4400,2790,4890X1895X1690,4,4X2,FR,8,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,Lexus RX 300,1998,AT,G,72,2500,-,-,235 / 4400,2790,4890X1895X1690,4,4X2,FR,-,4,4,CBU,Japan,24,68,111,117,47,136,103,46,151,45,22,-,870
,,,,Lexus UX 200,1998,AT,G,72,2500,-,-,235 / 4400,2790,4890X1895X1690,4,4X2,FR,-,4,4,CBU,Japan,7,8,22,25,13,29,2,-,3,-,-,-,109
,,,,Lexus UX 250h,1998,AT,G,72,2500,-,-,235 / 4400,2790,4890X1895X1690,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,5,1,-,-,-,-,-,6
,,,,TOTAL,,,,,,,,,,,,,,,,,,,58,112,169,214,78,224,151,59,226,99,29,-,"1,419"
,4,PT. SUZUKI INDOMOBIL MOTOR,SUZUKI,New Ertiga Diesel GX,1248,MT,D,45,1855,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,Ignis GL MT,1197,MT,G,43,1430,4388,165/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,-,-,-,-,-,259,202,204,230,53,1,949
,,,,Ignis GL AT,1197,MT,G,43,1430,4388,165/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,-,-,-,-,-,184,124,90,119,31,2,550
