"BY BRAND JAN-DEC 2022
A.  WHOLESALES",,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"SALES
2022","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
18,SUBARU,-,-,-,-,-,-,34,68,36,26,34,23,221,0.3%
19,FAW,48,-,10,-,-,30,5,6,30,-,-,49,178,0.2%
20,TATA,-,54,2,-,20,15,9,34,-,9,9,-,152,0.2%
21,VOLKSWAGEN,2,-,8,4,3,5,7,11,8,5,6,5,64,0.1%
22,AUDI,1,-,1,7,1,10,6,5,6,3,2,11,53,0.1%
23,DFSK,-,-,-,-,-,-,-,-,-,-,6,10,16,0%
24,MITSUBISHI FUSO,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
25,NISSAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
26,PEUGEOT,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
27,SCANIA,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
28,HYUNDAI - HIM,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
29,CHERY,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
30,RENAULT,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
TOTAL CBU (UNIT),,3867,4888,8820,4302,4388,5868,9726,8505,8756,8527,6691,8960,83298,100%
