1.  SEDAN TYPE SALES                                                                                                                       `JAN-DEC 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2021
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
"SEDAN
TYPE","CC < 1.500
,,,Grand New Xenia 1.3 X AT,1329,AT,G,45,1130,5571,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,52,31,62,88,45,41,19,26,68,55,-,-,0.1%,0.1%,487
,,,Grand New Xenia 1.3 R MT,1329,MT,G,45,1110,5125,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,312,149,375,241,222,641,85,129,354,282,-,-,0.7%,0.6%,"2,790"
,,,Grand New Xenia 1.3 R AT,1329,AT,G,45,1120,5571,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,71,29,90,28,44,115,25,40,107,87,-,-,0.2%,0.1%,636
,,,Grand New Xenia 1.5 R MT,1496,MT,G,45,1120,4875,185/70R14,104,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,6,4,10,6,38,152,160,302,4,-,-,-,0.2%,0.1%,682
,,,Grand New Xenia 1.5 R AT,1496,AT,G,45,1130,5125,185/70R14,104,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,4,1,5,5,1,5,-,1,3,-,-,-,0.0%,0.0%,25
,,,All New Xenia 1.3 M MT,1329,MT,G,43,1705,5545,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,144,100,0.1%,0.0%,244
,,,All New Xenia 1.3 X MT,1329,MT,G,43,1705,5545,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,166,109,0.1%,0.1%,275
,,,All New Xenia 1.3 X CVT,1329,AT,G,43,1705,5105,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,346,247,0.1%,0.1%,593
,,,All New Xenia 1.3 R MT,1329,MT,G,43,1705,5545,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,821,"1,589",0.6%,0.5%,"2,410"
,,,All New Xenia 1.3 R CVT,1329,AT,G,43,1705,5105,185/65R15,97,2750,4395X1730X1690,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,549,634,0.3%,0.2%,"1,183"
,,,All New Xenia 1.5 R MT,1496,MT,G,43,1705,5077,195/60R16,106,2750,4395X1730X1700,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,272,230,0.1%,0.1%,502
,,,All New Xenia 1.5 R CVT,1496,AT,G,43,1705,5105,195/60R16,106,2750,4395X1730X1700,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,191,365,0.1%,0.1%,556
,,,All New Xenia 1.5 R ASA CVT,1496,AT,G,43,1705,5105,195/60R16,106,2750,4395X1730X1700,7,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,146,458,0.2%,0.1%,604
,,,All New Sirion 1.3 MT 2018,1298,MT,G,40,930,4267,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,1,19,40,20,10,10,-,-,39,1,-,-,0.0%,0.0%,140
,,,All New Sirion 1.3 AT 2020,1298,AT,G,40,940,4032,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,5,105,200,90,60,20,-,-,193,87,-,-,0.2%,0.2%,760
,,,Gran Max BV 1.3,1298,MT,G,43,2000,5125,165R13-8PR,88,2650,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,567,"1,069",869,705,77,556,652,574,591,690,646,685,1.9%,1.5%,"7,681"
,,,Gran Max BV 1.5,1500,MT,G,43,2000,5125,165R13-8PR,88,2650,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,1,82,323,0.1%,0.1%,406
,,,Gran Max MB 1.3 HI  FF,1298,MT,G,43,1840,5125,165R13-8PR,88,2650,4045X1665X1900,8,4X2,FR,-,5,4,CKD,INA,6,24,150,117,65,92,132,108,107,141,103,109,0.3%,0.2%,"1,154"
,,,Gran Max MB 1.3 HI,1298,MT,G,43,1840,5125,165R13-8PR,88,2650,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,37,86,356,279,333,284,388,301,305,209,83,143,0.7%,0.6%,"2,804"
,,,Gran Max MB 1.5 HI,1495,MT,G,43,1840,4875,165R13-8PR,88,2650,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,13,24,113,117,67,77,27,97,133,283,138,101,0.3%,0.2%,"1,190"
,,,Luxio 1.5 D (New),1495,MT,G,43,1290,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,15,4,50,150,95,77,14,13,87,63,56,82,0.2%,0.1%,706
,,,Luxio 1.5 X MT (New),1495,MT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,33,28,194,192,92,102,29,50,192,119,117,155,0.3%,0.3%,"1,303"
,,,Luxio 1.5 X AT (New),1495,AT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,5,3,53,33,32,57,13,25,71,35,26,51,0.1%,0.1%,404
,,,Luxio 1.5 AK MT,1495,MT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,2,4X2,FR,0,5,4,CKD,INA,-,3,2,5,1,4,-,2,9,4,3,5,0.0%,0.0%,38
,,,All New Terios X MT,1496,MT,G,45,1245,5571,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,611,328,919,"1,306",536,703,483,441,-,-,-,-,1.3%,1.1%,"5,327"
,,,All New Terios X AT,1496,AT,G,45,1255,5857,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,82,56,219,251,81,120,97,86,-,-,-,-,0.3%,0.2%,992
,,,All New Terios R,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,387,226,524,775,424,537,354,266,-,-,-,-,0.9%,0.7%,"3,493"
,,,All New Terios R,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,216,39,281,408,125,196,142,126,-,-,-,-,0.4%,0.3%,"1,533"
,,,All New Terios Custom MT,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,5,-,2,2,4,-,-,-,-,-,-,-,0.0%,0.0%,13
,,,All New Terios Custom AT,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,5,-,2,2,4,-,-,-,-,-,-,-,0.0%,0.0%,13
,,,All New Terios IDS X MT,1496,MT,G,45,1245,5571,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,65,723,744,918,652,0.8%,0.6%,"3,102"
,,,All New Terios IDS X AT,1496,AT,G,45,1255,5857,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,21,248,245,319,204,0.3%,0.2%,"1,037"
,,,All New Terios IDS R,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,150,373,490,584,404,0.5%,0.4%,"2,001"
,,,All New Terios IDS R,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,117,273,351,433,298,0.4%,0.3%,"1,472"
,,,All New Terios IDS Custom MT,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,2,-,-,1,2,0.0%,0.0%,5
,,,All New Terios IDS Custom AT,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,2,1,2,1,2,0.0%,0.0%,8
,,,Rocky 1.0 R ASA CVT,998,AT,G,36,1680,5105,205/60/R17,98,2525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,-,-,-,10,75,156,78,133,558,169,6,10,0.3%,0.2%,"1,195"
,,,Rocky 1.0 R CVT,998,AT,G,36,1680,5105,205/60/R17,98,2525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,-,-,-,31,775,263,32,80,341,179,174,50,0.5%,0.4%,"1,925"
,,,Rocky 1.0 R MT,998,MT,G,36,1680,5462,205/60/R17,98,2525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,-,-,-,11,269,135,224,371,65,24,-,-,0.3%,0.2%,"1,099"
,,,Rocky 1.2 X CVT,1200,AT,G,36,1680,5105,205/65/R16,88,2525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,217,455,339,2,351,269,268,0.5%,0.4%,"1,901"
,,,Rocky 1.2 X MT,1200,MT,G,36,1680,5462,205/65/R16,88,2525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,"2,176",762,547,2,-,-,1,0.9%,0.7%,"3,488"
,,,Rocky 1.2 M CVT,1200,AT,G,36,1680,5105,205/65/R16,88,2525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,137,224,179,-,-,-,-,0.1%,0.1%,540
,,,Rocky 1.2 M MT,1200,MT,G,36,1680,5462,205/65/R16,88,2525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,387,121,80,-,-,-,1,0.1%,0.1%,589
,,DFSK,GLORY I-AUTO,1498,AT,G,58,2035,-,225/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,18,4,15,22,7,5,3,7,8,2,3,6,0.0%,0.0%,100
,,,GLORY 580 1.5T A/T CVT LUXURY,1498,AT,G,58,2035,-,226/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,1,-,-,-,-,-,-,-,-,1,-,0.0%,0.0%,2
,,,GLORY 560 1.5T 6M/T BASIC,1498,MT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA,9,8,46,31,-,-,-,-,-,-,-,-,0.0%,0.0%,94
,,,GLORY 560 1.5T 6M/T COMFORT,1498,MT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA,-,-,-,1,3,-,-,1,2,-,-,-,0.0%,0.0%,7
,,,GLORY 560 1.5T 6M/T LUXURY,1498,MT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,1,-,-,-,0.0%,0.0%,1
,,,GLORY 560 1.5T A/T CVT LUXURY,1498,AT,G,50,2005,-,215/60R17,150,2690,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA,16,18,44,112,16,10,23,16,16,38,3,4,0.1%,0.1%,316
,,,GELORA Blind Van (4X2) M/T,1498,MT,G,55,-,-,185/80 R14,109,3050,4500 X 1680 X 2000,2,4X2,FR,-,4,4,CKD,INA,2,14,5,8,2,8,4,3,1,11,13,21,0.0%,0.0%,92
,,,GELORA C36 MINI BUS 1.5 (4X2) M/T,1498,MT,G,55,-,-,185/80 R14,109,3050,4500 X 1680 X 2000,2,4X2,FR,-,4,4,CKD,INA,1,5,-,5,8,5,6,1,9,6,1,2,0.0%,0.0%,49
,,,GELORA EC35 BLIND VAN (4X2) A/T,1498,AT,EV,58,2035,-,225/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CBU,China,-,-,-,-,-,-,-,-,-,1,-,-,0.0%,0.0%,1
,,,GELORA EC36 MINI BUS 1.5 (4X2) A/T,1498,AT,EV,58,2035,-,225/60R17,150,2780,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CBU,China,-,-,-,-,-,-,-,-,-,1,-,-,0.0%,0.0%,1
,,HONDA,Brio RS,1198,MT,G,35,960,-,-,88,2345,3610 x 1680 x 1485,5,4X2,FF,-,5,4,CKD,INA,299,263,438,328,75,295,230,119,16,180,121,240,0.7%,0.5%,"2,604"
,,,Brio RS,1198,CVT,G,35,960,-,-,88,2345,3610 x 1680 x 1485,5,4X2,FF,-,5,4,CKD,INA,"1,091",313,"1,696",906,"1,485","1,625","1,694",769,135,716,494,"1,491",3.1%,2.5%,"12,415"
,,,New CR-V T,1500,CVT,G,58,-,-,-,-,-,-,-,4X2,FF,-,5,4,CKD,INA,43,60,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,103
,,,New CR-V Prestige,1500,CVT,G,58,-,-,-,-,-,-,-,4X2,FF,-,5,4,CKD,INA,229,288,-,-,-,-,-,-,-,-,-,-,0.1%,0.1%,517
,,,New CR-V T,1500,CVT,G,58,-,0,"18 x 7,5J",190,2660,4584 x 1855 x 1679,0,4X2,FF,-,5,4,CKD,INA,-,-,98,18,122,59,16,104,3,291,118,71,0.2%,0.2%,900
,,,New CR-V Prestige,1500,CVT,G,58,-,0,"18 x 7,5J",190,2660,4585 x 1855 x 1679,0,4X2,FF,-,5,4,CKD,INA,-,-,539,676,527,278,624,607,473,"1,587",713,"1,128",1.8%,1.4%,"7,152"
,,,HR-V S,1497,MT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,54,8,161,99,31,-,60,60,119,1,60,121,0.2%,0.2%,774
,,,HR-V S,1497,CVT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,12,10,116,62,3,50,10,59,-,-,60,121,0.1%,0.1%,503
,,,HR-V E,1497,CVT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,601,257,678,357,182,356,426,300,406,254,300,662,1.2%,0.9%,"4,779"
,,,HR-V E+,1497,CVT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,720,627,"1,517",800,391,693,"1,200","1,127",520,794,848,428,2.4%,1.9%,"9,665"
,,,CIVIC 5D E,1500,CVT,G,65,1322,-,17 x 7J,-,2700,4501 x 2075 x 1421,-,4X2,FF,-,5,4,CBU,Thailand,81,103,55,3,26,6,106,91,102,1,-,-,0.1%,0.1%,574
,,,All New Jazz RS 15,1497,MT,G,42,-,-,16 x 6J,120,2500,3920 x 1695 x 1525,5,4X2,FF,-,5,4,CKD,INA,50,120,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,170
,,,All New Jazz RS 15,1497,CVT,G,42,-,-,16 x 6J,120,2500,3920 x 1695 x 1525,5,4X2,FF,-,5,4,CKD,INA,357,370,-,-,-,-,-,-,-,-,-,-,0.2%,0.1%,727
,,,CITY HB RS,1500,MT,G,40,-,0,16 x 6J,121,2600,4349 x 1748 x 1488,0,4X2,FF,-,5,4,CKD,INA,-,-,-,119,120,237,298,292,73,-,-,-,0.3%,0.2%,"1,139"
,,,CITY HB RS,1500,CVT,G,40,-,0,16 x 6J,121,2600,4349 x 1748 x 1488,0,4X2,FF,-,5,4,CKD,INA,-,-,1,669,685,"1,257","1,091","1,548",857,342,926,"1,127",2.1%,1.7%,"8,503"
,,,New Mobilio S,1497,MT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,119,28,299,209,65,234,245,61,-,144,214,182,0.5%,0.4%,"1,800"
,,,New Mobilio E,1497,MT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,181,113,239,7,60,112,137,111,-,-,180,60,0.3%,0.2%,"1,200"
,,,New Mobilio E,1497,CVT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,379,133,421,73,74,113,186,120,-,-,120,121,0.4%,0.3%,"1,740"
,,,New Mobilio RS,1497,MT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,51,28,38,59,4,-,23,36,-,-,60,1,0.1%,0.1%,300
,,,New Mobilio RS,1497,CVT,G,42,-,-,15,118,2650,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,93,32,151,9,1,-,120,59,1,-,57,3,0.1%,0.1%,526
,,,BR-V E+,1500,MT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,35,18,62,5,-,58,2,59,58,62,121,-,0.1%,0.1%,480
,,,BR-V E+,1500,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,58,22,183,63,65,117,4,60,58,118,245,3,0.3%,0.2%,996
,,,BR-V E Prestige,1500,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,101,75,122,57,123,178,4,119,120,112,309,153,0.4%,0.3%,"1,473"
,,HYUNDAI - HIM,Grand i10,1200,MT,G,35,-,-,-,-,-,-,-,4X2,FF,-,4,4,CBU,India,-,1,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,KIA,Picanto EX,1248,AT,G,35,1350,4336,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x 1595 x 1480,5,4X2,FF,-,5,4,CBU,Korea,1,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
