1.  SEDAN TYPE SALES                                                                                                                       `JAN-DEC 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2021
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
"SEDAN
TYPE","CC < 1.500
,,,72AG 520I,1998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1446,22,4X2,FR,0,0,4,CBU,Germany,-,-,-,1,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,730Li G12 CKD A/T,1998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1458,34,4X2,FR,0,0,4,CBU,Germany,2,5,2,11,4,2,3,10,3,7,2,1,1.4%,0.9%,52
,,,740Li G12 CKD A/T,2998,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1461,37,4X2,FR,0,0,4,CBU,Germany,5,1,-,-,-,-,-,-,-,-,-,-,0.2%,0.1%,6
,,,Z4 sDrive30i A/T,1998,AT,G,52,1740,0,255/40 ZR18 95Y; 275/40 ZR18 99Y,258,2470,4324x1864x1304,0,4X2,FR,0,2,4,CBU,Germany,-,-,2,7,5,3,-,4,1,-,2,1,0.7%,0.4%,25
,,,840i Coupe A/T,2998,AT,G,68,2225,0,245/35 R20 95Y; 275/30 R20 97Y,340,2822,4843x1902x1341,0,4X2,FR,0,0,4,CBU,Germany,-,-,3,2,-,-,3,2,1,2,-,1,0.4%,0.2%,14
,,,840i Gran Coupe A/T,2998,AT,G,68,2435,0,245/35 R20 95Y; 275/30 R20 97Y,340,3023,5074x1932x1401,0,4X2,FR,0,0,4,CBU,Germany,-,-,1,2,-,-,1,-,-,-,1,1,0.2%,0.1%,6
,,HONDA,New ACCORD VTi-L,2354,CVT,G,65,1525,-,-,176,2275,4870 x 1850 x 1465,5,4X2,FF,-,4,4,CBU,Thailand,13,65,61,-,-,-,29,1,-,-,-,-,4.5%,3.0%,169
,,LEXUS,ES 250,2494,AT,G,-,-,-,-,181 / 6000,0,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,ES 300 h,2494,AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,-,5,7,12,2,-,-,-,-,-,11,4,1.1%,0.7%,41
,,,ES 300h Ultra Luxury,2494,AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan,3,-,-,-,-,-,-,-,-,-,-,-,0.1%,0.1%,3
,,MAZDA,MX-5 RF,1999,AT,G,50,-,3863,205/45R17,160,2330,4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,All New Mazda 3 Sedan,1998,AT,G,51,-,-,215/45R18,155,2725,"4,660 x 1,795 x 1,440",5,4X2,FF,-,5,4,CBU,Japan,-,1,2,-,-,-,-,4,-,-,-,-,0.2%,0.1%,7
,,,All-new Mazda 6 Elite,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,2,3,-,1,-,-,-,-,-,-,-,-,0.2%,0.1%,6
,,,New Mazda 6 Elite Sedan,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,-,-,2,2,2,2,-,-,4,2,2,1,0.5%,0.3%,17
,,MERCEDES-BENZ PC,CLA 200 AMG Line (C117),1556,AT,G,50,1920,7,225/40 R18,156,2669,"4,669 x 2,032 x 1,427",5,4X2,FF,-,4,4,CBU,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,A 200,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x 2,020 x 1,442",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,15,6,21,36,-,2.1%,1.4%,78
,,,C180,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x 2,020 x 1,442",5,4X2,FR,-,4,4,CKD,IND,13,6,9,8,6,5,2,-,3,12,2,-,1.8%,1.2%,66
,,,C 200 AMG,1991,AT,G,66,2030,9,"225/45, 245/40 R18",184,2840,"4,686 x 2,020 x 1,442",5,4X2,FR,-,4,4,CKD,IND,25,13,8,19,31,30,5,2,15,7,11,-,4.4%,2.9%,166
,,,C 300 AMG,1991,AT,G,66,2135,9,"225/45, 245/40 R18",258,2840,"4,702 x 2,020 x 1,432",5,4X2,FR,-,4,4,CKD,IND,40,25,32,24,2,-,-,-,-,-,1,-,3.3%,2.2%,124
,,,E 200 AVA,1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,IND,2,8,4,-,-,-,-,-,-,-,-,-,0.4%,0.2%,14
,,,E 250 AVA,1991,AT,G,66,2255,9,245/45 R18,211,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,1,-,-,-,0.0%,0.0%,1
,,,E 300 AVA,1991,AT,G,66,2395,9,245/45 R18,258,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,IND,10,11,32,34,8,1,-,-,1,4,-,-,2.7%,1.8%,101
,,,E 350 AMG,1991,AT,G,66,2410,9,"245/40, 275/35 R19",299,2939,"4,702 x 2,065 x 1,452",5,4X2,FR,-,4,4,CKD,IND,14,1,11,21,16,21,1,1,-,1,-,-,2.3%,1.5%,87
,,,S 450,2996,AT,G,80,2700,9,"245/45, 275/40 R19",367,3165,"5,255 x 2,130 x 1,494",5,4X2,FR,-,4,4,CKD,IND,7,12,10,1,-,-,-,1,-,-,-,-,0.8%,0.5%,31
,,,S 450 (V223),2999,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x 2,020 x 1,457",5,4X2,FR,-,5,4,CBU,-,-,-,-,-,-,24,15,1,-,-,1,-,1.1%,0.7%,41
,,,S 450 (V223),2999,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x 2,020 x 1,457",5,4X2,FR,-,-,4,CKD,-,-,-,-,-,-,-,-,-,-,-,15,-,0.4%,0.3%,15
,,,AMG A 35  4MATIC+ (V177),1998,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,-,4,CKD,-,-,-,-,-,-,-,-,-,-,-,21,-,0.6%,0.4%,21
,,,C 200 Coupe,1991,AT,G,66,2190,9,245/45 R18,204,2840,"4,702 x 2,020 x 1,457",5,4X2,FR,-,5,4,CBU,-,2,3,1,-,-,-,-,-,-,-,-,-,0.2%,0.1%,6
,,,E 200 ( CBU ),1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,-,4,4,CKD,IND,-,-,-,-,-,-,-,-,-,-,10,-,0.3%,0.2%,10
,,,E 300 ( CBU ),1991,AT,G,66,2110,9,"225/40, 255/35 R19",258,2840,"4,696 x 2,016 x 1,408",4,4X2,FR,-,2,4,CBU,-,-,-,-,-,-,-,-,-,-,-,25,-,0.7%,0.4%,25
,,,CLS 350 AMG,1991,AT,G,66,2410,9,"245/35, 275/30 R20",299,2939,"4,996 x 2,069 x 1,436",5,4X2,FR,-,4,4,CBU,-,1,2,6,5,12,-,-,-,-,-,-,-,0.7%,0.5%,26
,,TOYOTA,All New Corolla Altis V AT,1800,AT,G,55,1270,5,21545R17,151 / 6400,2700,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,25,94,82,71,3,21,26,33,13,-,35,51,12.1%,8.0%,454
,,,All New Corolla Altis 1.8 Hybrid AT,"1,800",AT,HYBRID,55,"1,250",4,205/55R16,151 / 6400,"2,700",4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,13,11,8,2,-,-,10,-,-,18,32,2.5%,1.7%,94
,,,All New Camry 2.5 G,2500,AT,G,70,1465,3815,215/60R16,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,2,7,7,14,6,4,2,-,2,-,-,1,1.2%,0.8%,45
,,,All New Camry 2.5 V,2500,AT,G,70,1465,3815,215/55R17,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,26,85,92,48,59,44,38,29,13,60,129,145,20.5%,13.6%,768
,,,All New Camry 2.5 Hybrid Mi,2500,AT,HYBRID,65,1625,3542,215/55R17,156.6 /5700,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,7,19,14,15,10,14,3,8,3,1,72,113,7.5%,4.9%,279
,,,86 TRD,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,1,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,86 Aero,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,2,7,2,3,-,-,-,-,-,-,-,0.4%,0.2%,14
,,,Supra 3.0 A/T,2459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,-,-,1,1,-,1,-,-,1,1,1,0.2%,0.1%,6
,,,86 MT,2000,MT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,2,-,-,1,-,-,-,-,-,-,-,0.1%,0.1%,3
,,TOTAL,,,,,,,,,,,,,,,,,,,,335,439,460,411,244,222,170,165,76,292,497,428,100%,66%,"3,739"
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,335,774,"1,234","1,645","1,889","2,111","2,281","2,446","2,522","2,814","3,311","3,739",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CC > 3.001 [G]
/ 2.501 [D]",BMW,M5 A/T,4393,AT,G,0,2100,0,255/35 ZR19 92Y; 275/35 ZR19 100Y,0,2812,4671x1877x1448,24,4X4,FR,0,0,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,1,-,4.5%,0.0%,1
,,LEXUS,LS 500 Executive,3445,AT,G,0,2760,-,245 / 45 R20,-,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,-,1,1,-,-,-,-,-,-,-,4,-,27.3%,0.1%,6
,,MERCEDES-BENZ PC,E 53 4 M+ (W213)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,1,-,-,-,-,1,-,-,-,-,9.1%,0.0%,2
,,,S 560 (X222)*,3982,AT,G,80,2815,9,-,469,3365,"5,462 x 2,130 x 1,498",4,4X2,FR,-,4,4,CBU,-,1,-,-,-,-,-,-,-,-,-,-,-,4.5%,0.0%,1
,,,C 43 Coupe (C205)*,2996,AT,G,-,-,0,-,0,0,-,4,4X4,4WD,-,-,-,CBU,-,-,-,-,-,-,1,-,-,-,-,-,-,4.5%,0.0%,1
,,,E 53 4M+ (W213),2999,AT,G,-,-,0,-,0,0,-,-,4X4,4WD,-,-,-,CBU,-,-,-,-,-,-,-,-,1,1,-,-,-,9.1%,0.0%,2
,,,GT 53 4MATIC+ (X290)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,2,-,3,1,1,1,-,-,-,-,36.4%,0.1%,8
,,,S 560 (X222)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,1,-,-,4.5%,0.0%,1
,,TOTAL,,,,,,,,,,,,,,,,,,,,1,1,4,-,3,2,1,3,1,1,5,-,100%,0%,22
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,1,2,6,6,9,11,12,15,16,17,22,22,100%,,
SEDAN TYPE SALES TOTAL SEDAN TYPE SALES CUMULATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,473,637,654,592,399,284,260,435,191,504,758,460,"5,647
0.6%",,
,,,,,,,,,,,,,,,,,,,,,,473,"1,110","1,764","2,356","2,755","3,039","3,299","3,734","3,925","4,429","5,187","5,647",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 2 TYPE SALES                                                                                                                            `JAN-DEC 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,"Segment
Share","4X2
Share","TOTAL
2021"
"4X2
TYPE","CC < 1.500
[G/D]",BMW,X1 sDrive18i F48 A/T,1499,AT,G,61,2025,0,225/50 R18 95W,140,2670,4447x1821x1598,0,4X2,FF,0,0,4,CKD,INA,23,67,39,56,85,72,51,55,137,31,30,53,0.2%,0.1%,699
,,,X2 sDrive18i A/T,1499,AT,G,0,2005,0,225/45 R19 92W,0,2670,4360x1824x1526,0,4X2,FF,0,0,0,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,-,0.0%,0.0%,1
,,,i3s A/T,0,AT,HYBRID,0,1730,0,175/55 R20 89T; 195/50 R20 93T,184,2570,4006x1791x1590,0,4X2,FR,0,0,4,CBU,Germany,-,-,1,1,-,-,-,-,-,-,-,-,0.0%,0.0%,2
,,DAIHATSU,Grand New Xenia 1.3 X MT,1329,MT,G,45,1120,5125,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,358,133,483,353,235,708,114,470,585,727,108,294,1.2%,0.9%,"4,568"
