NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU / CKD /
COMP","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Land Cruiser 300 ZX,"4,461",AT,D,-,-,-,-,-,-,-,7,4X4,FR,5,5,4,CBU,Japan,17,9,22,-,-,-,-,-,-,-,-,-,48
,,,LAND CRUISER 70,"4,461",AT,D,-,-,-,-,-,-,-,7,4X4,AWD,5,5,4,CBU,Japan,-,-,-,-,-,4,7,126,-,-,2,-,139
,,,COMS EV,-,AT,EV,-,-,-,-,-,-,-,-,-,-,-,2,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,C+POD EV,-,AT,EV,-,-,-,-,-,-,-,-,-,-,-,2,4,CBU,Japan,-,-,12,-,-,-,-,-,-,-,-,-,12
,,,BZ4X EV,-,AT,EV,-,-,-,-,-,-,-,-,-,-,-,2,4,CBU,Japan,-,-,-,2,35,21,1,-,-,3,3,-,65
,,,Gr Yaris 1.6,"1,618",MT,G,42,"1,075","4,237",225/40R18,261 / 6500,"2,560","3,995X1,805X1,455",5,4X2,FR,4,5,4,CBU,Japan,14,2,12,8,-,-,-,-,-,-,-,-,36
,,,Hi-Ace Commuter Hi Grade,"2,494",MT,D,70,"2,145",-,195/R15,102 / 3600,"3,110",5380X1880X2285,16,4X2,FR,5,4,4,CBU,Thailand,15,61,90,47,59,158,159,89,115,158,175,70,"1,196"
,,,Hi-Ace Std,"2,494",MT,D,70,"2,145",-,195/R15,102 / 3600,"3,110",5380X1880X2285,16,4X2,FR,5,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Hi-Ace 2.8 Premio,"2,755",MT,D,70,"2,145",-,195/R15,102 / 3600,"3,110",5380X1880X2285,16,4X2,FR,5,4,4,CBU,Thailand,33,135,114,19,25,92,59,100,142,157,215,42,"1,133"
,,,Hilux 2.0 P/U Scab,"1,998",M/T,D,65,"1,265",-,205 / 70 R15,136 / 5600,"2,750",4800X1760X1680,2,4X2,FR,5,2,4,CBU,Thailand,124,210,132,82,216,60,128,82,98,85,315,216,"1,748"
,,,Hilux 2.4 P/U Scab,"2,394",M/T,D,65,"1,490",-,255 / 70 R15C,102 / 3600,"2,750",4800X1760X1680,2,4X2,FR,5,2,4,CBU,Thailand,126,157,90,18,29,20,-,10,146,158,398,362,"1,514"
,,,Hilux 2.4 P/U Scab 4X4,"2,394",M/T,D,70,"1,880",-,255 / 70 R15C,144 / 3400,"3,085",5260X1835X1850,4,4X4,FR,5,4,4,CBU,Thailand,182,195,96,33,57,107,207,36,193,184,616,594,"2,500"
,,,Hilux 2.4 P/U Dcab E 4X4,"2,394",M/T,D,70,"1,880",-,255 / 70 R15C,144 / 3400,"3,085",5260X1835X1850,4,4X4,FR,5,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Hilux 2.4 P/U Dcab G 4X4,"2,394",M/T,D,70,"1,880",-,255 / 70 R15C,144 / 3400,"3,085",5260X1835X1850,4,4X4,FR,5,4,4,CBU,Thailand,439,"1,039","1,376",502,526,238,433,455,"1,461","1,275",734,"2,253","10,731"
,,,HILUX 2.4 P/U DCAB V 4x4,"2,755",A/T,D,70,"1,880",-,265/60 R18,144 / 3400,"3,085",5260X1835X1850,4,4X4,FR,5,4,4,CBU,Thailand,56,107,363,158,65,71,86,44,254,245,164,162,"1,775"
,,,HI-LUX 2.8 P/U GR-S DCAB 4x4 A/T,"2,394",A/T,D,70,"1,880",-,255 / 70 R15C,144 / 3400,"3,085",5260X1835X1850,4,4X4,FR,5,4,4,CBU,Thailand,-,-,-,-,1,-,-,-,-,-,-,10,11
,,,TOTAL,,,,,,,,,,,,,,,,,,,"1,375","2,590","3,406","1,709","1,657","1,553","2,667","1,944","3,568","3,440","3,658","4,921","32,488"
3,PT. TOYOTA ASTRA MOTOR,LEXUS,ES 250,"2,494",AT,G,-,-,-,-,181 / 6000,-,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,ES 300 h,"2,494",AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,"2,820",4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,15,29,9,6,16,29,42,2,11,2,3,164
,,,ES 300h Ultra Luxury,"2,494",AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,"2,820",4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,LS 500 Executive,"3,445",AT,G,-,"2,760",-,245 / 45 R20,-,"3,125",5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,-,1,1,-,-,-,2,-,-,-,-,-,4
,,,LS 500 Hybrid,"3,445",AT,HYBRID,-,-,-,245 / 45 R20,-,-,5235X1900X1450,-,4X2,FR,-,-,-,CBU,Japan,-,1,-,-,-,-,1,1,1,1,2,2,9
,,,LM 350 4 Seater,"4,969",AT,G,66,"2,870",-,-,471 / 7100,"2,730",4770X1920X1345,2,4X2,FR,-,2,4,CBU,Japan,-,1,18,12,7,3,15,-,20,17,1,-,94
,,,LM 350 7 Seater,"4,969",AT,G,66,"2,870",-,-,471 / 7100,"2,730",4770X1920X1345,2,4X2,FR,-,2,4,CBU,Japan,-,1,39,34,6,14,32,-,59,31,4,1,221
,,,LC 500,"4,969",AT,G,66,"2,870",-,-,471 / 7100,"2,730",4770X1920X1345,2,4X2,FR,-,2,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,2,-,2
,,,NX 350h,"1,998",AT,G,60,-,-,255 / 60 R18,235 / 4000,"2,660",4630X1845X1630,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,2,3,6,-,-,1,-,-,12
