"WHOLESALES - RETAIL SALES - PRODUCTION - EXPORT IMPORT BY CATEGORY JAN-DEC 2024
A.  WHOLESALES","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","MARKET
2024","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"04","BUS","GVW          5 - 10        Ton (G/D)","394","297","299","226","270","328","330","367","384","391","317","457","4,060","0.5%",""
"","","GVW         10 - 24       Ton (G/D)","181","167","219","96","95","132","172","169","142","213","177","244","2,007","0.2%",""
"","","GVW           > 24         Ton (G/D)","11","5","6","1","5","3","-","5","6","7","7","10","66","0.0%",""
"","SUB TOTAL","","586","469","524","323","370","463","502","541","532","611","501","711","6,133","0.7%",""
"05","PICK UP","GVW            < 5          Ton (G/D)","9,224","7,942","8,831","7,233","9,358","8,121","8,688","8,560","8,110","8,964","8,923","9,939","103,893","11.7%",""
"06","TRUCK","GVW          5 - 10        Ton (G/D)","3,806","3,403","3,476","3,005","3,601","3,600","3,630","3,641","3,484","3,632","3,722","4,390","43,390","4.9%",""
"","","GVW         10 - 24       Ton (G/D)","375","325","346","283","330","409","443","398","409","428","480","663","4,889","0.5%",""
"","","GVW           > 24         Ton (G/D)","1,310","1,154","1,454","805","1,415","1,413","1,847","1,687","1,716","1,857","1,593","2,040","18,291","2.1%",""
"","SUB TOTAL","","5,491","4,882","5,276","4,093","5,346","5,422","5,920","5,726","5,609","5,917","5,795","7,093","66,570","7.5%",""
"07","DOUBLE CABIN
4X2 / 4X4","GVW            < 5          Ton (G/D)
For all CC","1,042","1,191","1,516","1,245","1,617","2,019","1,583","1,289","1,726","1,811","2,160","1,564","18,763","2.1%",""
"","SUB TOTAL","","1,042","1,191","1,516","1,245","1,617","2,019","1,583","1,289","1,726","1,811","2,160","1,564","18,763","2.1%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","16,911","14,839","17,208","13,361","15,425","13,369","14,509","15,624","14,156","13,983","14,148","15,193","178,726","20.1%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","16,911","14,839","17,208","13,361","15,425","13,369","14,509","15,624","14,156","13,983","14,148","15,193","178,726","20.1%",""
"","","","","","","","","","","","","","","","","",""
"RETAIL TOTAL","","","78,437","70,420","82,170","58,890","72,246","70,290","75,588","76,806","72,601","73,665","76,473","82,094","889,680","100%",""
"CUMMULATIVE","","","78,437","148,857","231,027","289,917","362,163","432,453","508,041","584,847","657,448","731,113","807,586","889,680","","",""
"C.  PRODUCTION","","","","","","","","","","","","","","","","",""
"CATEGORY","","","MONTH","","","","","","","","","","","","PROD
2024","SHARE
%",""
"","","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","","",""
"01","SEDAN TYPE","CC < 1.500 (G/D)","41","90","11","26","23","54","66","26","22","27","59","29","474","0.0%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","217","107","194","95","184","112","181","323","253","260","60","106","2,092","0.2%",""
"","","CC > 3.001 (G)/2.500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","258","197","205","121","207","166","247","349","275","287","119","135","2,566","0.2%",""
"02","4X2 TYPE","CC < 1.500 (G/D)","60,088","54,425","47,474","42,798","53,095","51,200","60,549","62,876","57,773","60,336","55,790","54,809","661,213","55.3%",""
"","","1.501 < CC < 2.500 (G/D)","9,728","7,652","5,449","5,000","7,440","6,430","9,730","9,912","8,121","10,198","8,957","7,605","96,222","8.0%",""
"","","2.501 < CC < 3.000 (G)","3,138","3,074","4,121","1,922","3,815","4,376","3,600","2,291","5,124","4,082","3,722","3,787","43,052","3.6%",""
"","","CC > 3.001 (G)/2.500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","72,954","65,151","57,044","49,720","64,350","62,006","73,879","75,079","71,018","74,616","68,469","66,201","800,487","66.9%",""
"03","4X4 TYPE","CC < 1.500 (G/D)","-","-","-","-","-","-","-","-","-","-","56","234","290","0.0%",""
"","","1.501 < CC < 3.000 (G)/2.500 (D)","370","378","360","202","353","396","236","316","557","580","759","711","5,218","0.4%",""
"","","CC > 3.001 (G)/2.500 (D)","1,175","969","1,216","1,565","1,190","1,309","1,197","1,196","1,551","994","981","1,011","14,354","1.2%",""
"","SUB TOTAL","","1,545","1,347","1,576","1,767","1,543","1,705","1,433","1,512","2,108","1,574","1,796","1,956","19,862","1.7%",""
"04","BUS","GVW          5 - 10        Ton (G/D)","118","167","186","202","362","372","281","120","286","403","413","217","3,127","0.3%",""
"","","GVW         10 - 24       Ton (G/D)","93","142","116","116","178","109","147","384","100","122","112","98","1,717","0.1%",""
"","","GVW           > 24         Ton (G/D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","211","309","302","318","540","481","428","504","386","525","525","315","4,844","0.4%",""
"05","PICK UP","GVW            < 5          Ton (G/D)","8,268","7,733","9,035","5,551","8,362","9,036","9,998","9,187","8,227","9,620","7,898","8,322","101,237","8.5%",""
"06","TRUCK","GVW          5 - 10        Ton (G/D)","2,921","3,561","2,693","2,848","3,722","3,744","4,410","3,700","3,405","3,050","3,916","3,896","41,866","3.5%",""
"","","GVW         10 - 24       Ton (G/D)","228","276","240","198","234","334","368","313","258","342","241","348","3,380","0.3%",""
"","","GVW           > 24         Ton (G/D)","1,145","955","1,003","878","1,391","1,662","1,726","1,933","1,507","1,917","2,305","1,939","18,361","1.5%",""
"","SUB TOTAL","","4,294","4,792","3,936","3,924","5,347","5,740","6,504","5,946","5,170","5,309","6,462","6,183","63,607","5.3%",""
"07","DOUBLE CABIN","GVW            < 5          Ton (G/D)
For all CC","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"","SUB TOTAL","","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
"8 .","AFFORDABLE ENERGY SAVING CARS 4X2","CC ≤ 1200 (G)","18,694","19,212","17,848","11,920","17,709","16,522","17,464","17,446","16,390","19,314","15,118","16,424","204,061","17.1%",""
"","","CC ≤ 1500 (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0%",""
