NO.,BRAND,MONTH,,,,,,,,,,,,"SALES
2020","SHARE
%"
8,HYUNDAI - HIM,240,60,120,40,40,10,30,90,-,-,30,90,750,0.3%
9,WULING,285,141,-,56,-,-,-,-,-,-,61,68,611,0.3%
TOTAL CBU (UNIT),,19631,31106,27839,11154,6750,8749,14894,14218,21041,25719,25584,25490,232175,100%
1,TOYOTA,3170,3580,4980,2790,730,1660,1430,3820,5280,4900,3990,4560,40890,77.8%
2,SUZUKI,696,1308,828,180,-,372,708,780,780,624,456,1056,7788,14.8%
3,ISUZU,792,312,288,-,312,-,1,289,360,336,336,528,3554,6.8%
4,DFSK,24,13,1,-,1,-,-,-,90,-,75,100,304,0.6%
TOTAL CKD (SET),,4682,5213,6097,2970,1043,2032,2139,4889,6510,5860,4857,6244,52536,100%
1,TOYOTA,4564357,5216856,6203141,2647680,1755574,2468811,2555211,5298544,6752772,6193306,6315696,#######,########,93.2%
2,HONDA,381348,478281,304942,251688,430581,37830,84285,157479,225009,296042,333640,320562,3301687,5.4%
3,HINO,97108,54606,57400,66785,40002,41909,12971,41546,82366,105712,53070,80198,733673,1.2%
4,SUZUKI,8543,8649,9179,4217,5374,4156,3095,1900,8054,10912,9972,22473,96524,0.2%
TOTAL COMPONENT (PCS),,5051356,5758392,6574662,2970370,2231531,2552706,2655562,5499469,7068201,6605972,6712378,#######,########,100%
E.  IMPORTS,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"IMPORT
2020","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,1400,2449,2422,1236,1068,1036,536,331,1655,1884,1315,479,15811,45%
2,SUZUKI,244,326,1104,723,388,47,328,228,867,391,243,203,5092,14.5%
3,MITSUBISHI MOTORS,346,1168,256,330,-,28,-,-,35,85,115,480,2843,8.1%
4,MAZDA,297,437,208,43,35,116,245,240,198,114,404,323,2660,7.6%
5,HONDA,179,305,383,161,11,238,211,240,301,307,150,-,2486,7.1%
6,LEXUS,29,146,186,86,93,29,66,54,72,113,95,4,973,2.8%
7,MERCEDES-BENZ PC,23,38,39,88,250,79,79,89,82,16,33,4,820,2.3%
8,KIA,54,128,73,19,32,32,65,72,59,62,101,110,807,2.3%
9,DAIHATSU,20,70,190,-,-,-,-,20,30,-,60,-,390,1.1%
10,MINI,-,-,135,18,84,-,54,47,35,6,3,2,384,1.1%
11,MORRIS GARAGE,-,-,-,-,-,-,-,-,-,-,-,377,377,1.1%
12,ISUZU,27,11,34,2,10,54,22,7,28,164,3,-,362,1%
13,RENAULT,15,14,17,2,24,15,24,39,20,102,32,46,350,1%
14,BMW,-,2,58,48,9,41,11,8,43,18,8,6,252,0.7%
15,HYUNDAI - HIM,88,39,14,5,5,11,16,11,12,7,10,29,247,0.7%
16,PEUGEOT,-,48,48,24,-,24,-,48,-,48,-,-,240,0.7%
17,TATA,101,54,14,44,-,-,-,-,-,-,-,-,213,0.6%
18,HYUNDAI -HMID,-,-,7,-,-,-,53,4,102,45,35,2,248,0.7%
19,MERCEDES-BENZ CV,36,-,6,38,44,10,22,7,11,12,4,-,190,0.5%
20,FAW,40,-,101,-,-,-,-,-,-,-,-,-,141,0.4%
21,VOLKSWAGEN,11,20,12,4,-,3,11,3,1,3,7,4,79,0.2%
22,HINO,-,-,-,-,-,5,17,19,6,11,7,11,76,0.2%
23,CHEVROLET,11,5,34,4,-,-,-,-,-,-,-,-,54,0.2%
24,AUDI,3,1,1,4,5,4,2,3,4,2,4,8,41,0.1%
25,UD TRUCK,16,-,5,-,-,5,1,-,-,-,-,-,27,0.1%
26,MAN TRUCK,1,1,2,-,5,1,-,-,-,-,-,-,10,0%
27,MITSUBISHI FUSO,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
28,SCANIA,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
29,HONGYAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
TOTAL CBU (UNIT),,2941,5262,5349,2879,2063,1778,1763,1470,3561,3390,2629,2088,35173,100%
