NO.,BRAND,MONTH,,,,,,,,,,,,"SALES
2020","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,24119,25053,26191,2053,695,3705,7224,8673,13150,16345,15361,18687,161256,30.3%
2,DAIHATSU,14173,15778,18162,1330,-,331,1553,6651,11204,8289,6772,6481,90724,17%
3,HONDA,12777,11373,12068,1183,101,1267,2016,3047,5856,7732,8448,7447,73315,13.8%
4,SUZUKI,10512,8613,5085,1042,779,2755,6369,3501,6246,5143,8217,7868,66130,12.4%
5,MITSUBISHI MOTORS,9179,7811,7582,808,785,1767,3564,3208,4230,5315,6693,6964,57906,10.9%
6,MITSUBISHI FUSO,3116,3092,2777,305,134,637,1126,1659,2400,1803,2050,2260,21359,4%
7,ISUZU,2331,2044,1325,335,379,693,1166,1312,1314,1634,2103,1786,16422,3.1%
8,HINO,1465,2004,1168,339,251,634,731,817,1030,894,1596,1692,12621,2.4%
9,NISSAN,585,845,600,58,57,156,188,6829,1421,37,43,30,10849,2%
10,WULING,489,875,384,29,37,34,260,365,511,637,825,2135,6581,1.2%
11,MAZDA,297,437,208,43,35,116,245,240,198,114,404,323,2660,0.5%
12,MERCEDES-BENZ PC,124,221,221,57,67,93,126,142,212,117,306,378,2064,0.4%
13,B M  W,155,215,253,78,57,89,168,177,196,171,218,206,1983,0.4%
14,DFSK,243,304,101,25,33,54,58,198,200,233,195,303,1947,0.4%
15,LEXUS,32,127,155,37,21,70,108,67,84,74,118,54,947,0.2%
16,K I A,54,128,73,19,32,32,65,72,59,62,101,110,807,0.2%
17,MERCEDES-BENZ CV,95,139,103,-,5,12,34,70,19,16,62,118,673,0.1%
18,HYUNDAI - HIM,130,70,33,21,15,30,36,35,37,24,43,51,525,0.1%
19,UD TRUCKS,47,60,63,27,-,40,71,54,38,59,56,-,515,0.1%
20,VOLKSWAGEN,123,114,48,9,3,16,59,18,13,18,25,29,475,0.1%
21,MINI,32,50,35,8,11,23,43,45,49,41,32,42,411,0.1%
22,MORRIS GARAGE,-,-,-,-,-,-,-,-,-,-,-,377,377,0.1%
23,RENAULT,15,14,17,2,24,15,24,39,20,102,32,46,350,0.1%
24,DATSUN,226,47,27,-,-,-,-,-,-,-,-,-,300,0.1%
25,TATA,55,100,7,1,2,8,6,11,15,10,12,8,235,0%
26,FAW,18,48,44,17,3,5,12,13,9,18,17,16,220,0%
27,SCANIA,11,44,9,12,8,16,13,14,2,38,32,18,217,0%
28,HYUNDAI - HMID,-,-,-,-,-,-,-,-,27,80,54,54,215,0%
29,PEUGEOT,17,31,35,22,7,17,18,16,9,9,15,16,212,0%
30,CHEVROLET,11,5,34,4,-,-,-,-,-,-,-,-,54,0%
31,AUDI,3,1,1,4,5,7,2,4,5,3,4,8,47,0%
32,MAN TRUCK,1,1,2,-,5,1,-,-,-,-,-,-,10,0%
33,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
34,RENAULT AUTO EURO,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
35,PROTON,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
36,BYD,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
37,HONGYAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,80435,79644,76811,7868,3551,12623,25285,37277,48554,49018,53834,57507,532407,100%
CUMULATIVE,,80435,160079,236890,244758,248309,260932,286217,323494,372048,421066,474900,532407,,
B.  RETAIL SALES,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"RETAIL
2020","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,24928,23884,17787,8443,6727,11196,11531,11057,12523,13466,17908,23215,182665,31.6%
2,DAIHATSU,14582,13658,10946,5160,3673,5558,5890,6300,7721,8135,9200,9203,100026,17.3%
3,HONDA,12603,11918,10657,1855,1291,2488,4036,4865,5835,6561,7455,9887,79451,13.7%
4,SUZUKI,10120,8144,7161,2700,2205,4206,5432,5259,5710,5715,7232,8505,72389,12.5%
5,MITSUBISHI MOTORS,8460,8163,5450,2703,313,1689,3114,3525,4322,4901,5359,6769,54768,9.5%
6,MITSUBISHI FUSO,2949,3086,2473,1119,844,1591,1583,1486,1886,1990,2095,2898,24000,4.1%
7,ISUZU,1705,2022,1528,756,781,1026,1393,1277,1628,1805,1924,2010,17855,3.1%
8,HINO,1617,2020,1245,481,309,708,714,807,1032,945,1480,1680,13038,2.3%
9,WULING,1381,1670,838,263,296,301,438,565,670,644,911,1546,9523,1.6%
10,NISSAN,785,861,602,165,109,276,481,996,693,625,755,1060,7408,1.3%
11,MAZDA,254,402,224,53,51,102,170,205,192,184,420,354,2611,0.5%
12,DFSK,355,346,255,101,41,102,133,254,191,211,201,234,2424,0.4%
13,MERCEDES-BENZ PC,122,219,202,73,84,138,148,160,196,167,277,441,2227,0.4%
14,B M  W,175,200,191,55,85,125,203,210,203,186,210,239,2082,0.4%
15,MERCEDES-BENZ CV,110,166,90,60,38,25,76,85,137,98,114,194,1193,0.2%
16,DATSUN,295,238,192,26,22,24,32,182,30,10,9,9,1069,0.2%
17,LEXUS,29,104,137,42,37,73,94,92,89,81,124,86,988,0.2%
18,UD TRUCKS,153,139,77,30,34,37,48,61,59,81,79,74,872,0.2%
19,K I A,5,76,62,61,40,27,44,60,45,39,88,111,658,0.1%
20,HYUNDAI - HIM,114,103,45,33,14,43,51,34,52,21,29,42,581,0.1%
21,MINI,40,55,50,20,20,30,50,60,50,45,31,32,483,0.1%
22,VOLKSWAGEN,123,114,48,9,3,16,59,18,13,18,25,29,475,0.1%
23,RENAULT,15,14,17,2,24,15,24,39,20,82,32,46,330,0.1%
24,MORRIS GARAGE,-,-,-,-,-,-,-,-,-,-,-,313,313,0.1%
25,TATA,37,104,19,6,14,16,10,10,21,13,15,38,303,0.1%
26,FAW,18,48,44,17,3,5,12,13,9,18,17,16,220,0%
27,SCANIA,11,44,9,12,8,16,13,14,2,38,32,18,217,0%
28,PEUGEOT,17,31,35,22,7,17,18,16,9,9,15,16,212,0%
29,HYUNDAI - HMID,-,-,-,-,-,-,-,-,14,40,61,66,181,0%
30,CHEVROLET,52,34,53,4,-,-,-,-,-,-,-,-,143,0%
31,AUDI,3,1,1,4,5,7,2,4,5,3,4,8,47,0%
32,MAN TRUCK,1,1,2,-,5,1,-,-,-,-,-,-,10,0%
33,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
34,BYD,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
35,HONGYAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
36,RENAULT AUTO EURO,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
37,PROTON,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,81059,77865,60440,24275,17083,29858,35799,37654,43357,46131,56102,69139,578762,100%
CUMULATIVE,,81059,158924,219364,243639,260722,290580,326379,364033,407390,453521,509623,578762,,
C.  PRODUCTION,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"PROD
2020","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,41261,38730,43222,8590,1357,12116,11089,13166,25465,28840,31959,32575,288370,41.8%
2,SUZUKI,14361,13634,12644,2946,561,3284,6514,1273,8666,8150,10656,9105,91794,13.3%
3,DAIHATSU,14162,15699,17972,1330,-,333,1553,6632,11182,8281,6716,6479,90339,13.1%
4,MITSUBISHI MOTORS,15853,13110,14065,2845,-,-,2303,2947,5922,9225,9120,7068,82458,11.9%
5,HONDA,12902,12309,12306,3689,52,-,126,2282,4846,7868,7956,7116,71452,10.4%
6,MITSUBISHI FUSO,5037,2676,3408,18,-,302,763,1570,1678,1676,2184,1896,21208,3.1%
7,ISUZU,2975,2944,2346,438,174,570,900,1104,1344,1752,2022,2014,18583,2.7%
8,HINO,3104,2696,2587,990,254,625,180,65,156,180,645,1171,12653,1.8%
9,WULING,1583,1282,2049,374,-,-,386,152,-,230,843,454,7353,1.1%
10,B M  W,219,200,145,52,-,180,175,98,74,22,72,170,1407,0.2%
11,DFSK,406,347,217,55,94,-,-,-,-,-,-,-,1119,0.2%
12,MERCEDES-BENZ PC,144,81,112,-,-,150,167,146,134,41,46,26,1047,0.2%
13,HYUNDAI HIM,197,163,45,77,7,62,112,38,30,17,105,124,977,0.1%
14,UD TRUCK,31,60,63,22,-,36,66,57,34,66,49,-,484,0.1%
15,MERCEDES-BENZ CV,151,72,69,6,11,25,36,32,36,19,-,-,457,0.1%
16,DATSUN,271,11,-,-,-,-,-,-,-,-,-,-,282,0%
17,MINI,1,20,70,-,-,6,43,22,6,11,13,1,193,0%
18,NISSAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
19,FAW,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,112658,104034,111320,21432,2510,17689,24413,29584,59573,66378,72386,68199,690176,100%
CUMULATIVE,,112658,216692,328012,349444,351954,369643,394056,423640,483213,549591,621977,690176,,
D.  EXPORTS,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"EXPORT
2020","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,DAIHATSU,6423,11010,8026,4800,2469,3994,5673,4496,9317,11532,11172,12560,91472,39.4%
2,TOYOTA,6099,7717,6472,2878,2595,3281,3644,2325,3247,3873,5715,5882,53728,23.1%
3,MITSUBISHI MOTORS,1811,6814,8441,1595,889,95,1083,1803,3599,6279,4434,3746,40589,17.5%
4,SUZUKI,3919,4440,4214,1438,468,1156,4322,4352,3880,3566,3501,2144,37400,16.1%
5,HONDA,720,720,390,300,270,-,-,870,840,420,600,840,5970,2.6%
6,HINO,125,95,173,47,-,165,50,50,40,-,55,65,865,0.4%
7,DFSK,9,109,3,-,19,48,92,232,118,49,16,95,790,0.3%
