1    SEDAN TYPE SALES                                                                                                             `JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2.024
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,X1 sDrive18i  U11 A7 AT,1.499,AT,G,45,2.075,-,225/55 R18 102Y,156,2.692,4500 x 1845 x 1642,-,4X2,FF,-,-,4,CKD,Indonesia,20,55,16,45,79,81,40,52,51,49,77,81,0%,0%,646
,,,X1 sDrive18i,1.499,AT,G,45,2.075,-,225/55 R18 102Y,156,2.692,4500 x 1845 x 1642,-,4X2,FF,-,-,4,CKD,INA,-,-,-,-,-,-,-,-,-,1,-,-,0%,0%,1
,,BYD,Atto 3 Advanced Standard Range,-,-,BEV,-,2,-,"17""Alloy 215/60 R17",-,2.72,4455X1875X1615,5,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,-,-,-,59,65,70,41,0%,0%,235
,,,Atto 3 Superior Extended Range,-,-,BEV,-,"1,750",-,"18""Alloy 235/50 R18",-,2.72,4455X1875X1615,5,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,806,388,961,543,86,236,36,1%,1%,3.056
,,,Dolphin Dynamic Standard Range,-,-,BEV,-,2,-,"16""Alloy 195/60 R16",-,2.7,4290X1770X1570,5,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,-,-,31,88,31,45,4,0%,0%,199
,,,Dolphin Premium  Standard Range,-,-,BEV,-,2,-,"17""Alloy 205/50 R17",-,2.7,4290X1770X1570,5,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,91,207,385,58,107,84,55,0%,0%,987
,,,M6 Superior Captain,-,-,BEV,-,2,-,"17""Alloy 225/55 R17",-,2.8,4710X1810X1690,6,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,-,-,149,619,843,1.014,40,1%,1%,2.665
,,,M6 Superior,-,-,BEV,-,2,-,"17""Alloy 225/55 R17",-,2.8,4710X1810X1690,7,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,-,20,87,191,625,715,1.257,1%,1%,2.895
,,,M6 Standard,-,-,BEV,-,2,-,"17""Alloy 225/55 R17",-,2.8,4710X1810X1690,7,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,-,20,76,26,398,41,3,0%,0%,564
,,,HYPTEC HT  Premium,-,AT,BEV,-,-,-,240/50-20,250 kw,2.935,4935 x 1920 x 1700,5,4X2,FF,-,-,-,CBU,China,-,-,-,-,-,-,-,-,-,-,379,-,0%,0%,379
,,,AION Y Plus Exclusive,-,AT,BEV,-,-,-,215/50-18,150 kw,2.75,4535 x 1870 x 1650,5,4X2,FF,-,-,-,CBU,China,-,-,-,-,-,-,-,-,366,97,112,82,0%,0%,657
,,,AION Y Plus Premium,-,AT,BEV,-,-,-,215/50-18,150 kw,2.75,4535 x 1870 x 1650,5,4X2,FF,-,-,-,CBU,China,-,-,-,-,-,-,-,-,98,81,23,2,0%,0%,204
,,BAIC,X-55 II.,1.498,AT,G,53,1.55,-,225/55R19,185,2.735,4620 x 1886 x 1680,5,4X2,FR,7,5,4,CBU,China,-,-,-,-,-,-,-,25,20,5,10,10,0%,0%,70
,,CHERY,Tiggo 7 Pro Premium,1.5,AT,G,51,-,-,-,-,2.67,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,12,10,3,8,15,8,3,4,1,-,3,5,0%,0%,72
,,,Tiggo 7 Pro Luxury,1.5,AT,G,51,-,-,-,-,2.67,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,1,1,1,2,-,3,1,6,5,12,12,19,0%,0%,63
,,,Tiggo 7 Pro Comfort,1.5,AT,G,51,-,-,-,-,2.67,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,1,-,1,2,2,2,-,2,-,-,-,1,0%,0%,11
,,,Omoda 5 Z,1.5,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,151,98,103,73,120,74,125,104,85,78,36,247,0%,0%,1.294
,,,Gt,1.5,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,29,20,30,10,23,16,8,3,1,3,3,4,0%,0%,150
,,,Omoda 5 Rs,1.5,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,78,20,45,23,28,10,10,4,6,3,4,8,0%,0%,239
,,,OmodaE5 Pure,1.5,CVT,BEV,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,159,16,0%,0%,175
,,,Omoda E5,1.5,CVT,BEV,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,273,608,410,755,596,394,449,206,235,180,144,1%,1%,4.25
,,,iCar 03 RWD,-,CVT,BEV,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,36,259,0%,0%,295
,,,Tiggo 5X   Classic,1.5,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,-,5,7,15,31,8,10,3,5,10,0%,0%,94
,,,Tiggo 5X   Champion,1.5,CVT,G,-,-,-,-,-,-,-,5,4X2,-,-,5,4,CKD,INA,-,-,8,35,4,98,177,190,166,55,25,27,0%,0%,785
,,,Tiggo 8   Facelift,2,AT,G,57,-,-,-,-,2.71,4722X1860X1746,7,4X2,-,-,5,4,CKD,INA,-,-,-,13,9,13,22,17,7,3,6,12,0%,0%,102
,,,Tiggo 8   Facelift Awd,2,AT,G,57,-,-,-,-,2.71,4722X1860X1746,7,4X4,4WD,-,5,4,CKD,INA,-,-,-,6,4,10,7,8,11,9,3,1,0%,0%,59
,,CITROEN,New E-C3 All  Electric,1.2,MT,BEV,30,1.316,-,195/65 R15,-,2.54,3981 X 1733 X   1586,5,4X2,FF,-,5,4,CBU,India,-,-,-,-,30,101,35,29,33,41,47,45,0%,0%,361
,,,All  New C3 Aircross SUV,1.2,AT,G,45,1.275,-,215/60 R17,-,2.671,4323 X 1796 X 1669,5,4X2,-,-,5,4,CBU,India,-,-,-,9,167,185,76,83,87,75,79,75,0%,0%,836
,,,New Citroën C3,1.2,AT,G,45,1.275,-,215/60 R17,-,2.671,4323 X 1796 X 1669,5,4X2,-,-,5,4,CBU,India,30,41,50,6,-,-,-,-,-,-,-,-,0%,0%,127
,,DAIHATSU,All  New Xenia 1.3 M  MT,1.329,MT,G,43,1.705,5.545,185/65R15,97,2.75,4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,16,10,13,21,20,24,-,-,12,-,-,-,0%,0%,116
,,,All  New Xenia 1.3 X MT,1.329,MT,G,43,1.705,5.545,185/65R15,97,2.75,4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,488,409,359,284,352,327,161,237,174,133,106,137,1%,1%,3.167
,,,All  New Xenia 1.3 X CVT,1.329,AT,G,43,1.705,5.105,185/65R15,97,2.75,4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,50,100,184,99,114,112,136,154,68,65,56,97,0%,0%,1.235
,,,All  New Xenia 1.3 R MT,1.329,MT,G,43,1.705,5.545,185/65R15,97,2.75,4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,300,456,255,146,183,133,149,287,166,126,96,155,1%,1%,2.452
,,,All  New Xenia 1.3 R CVT,1.329,AT,G,43,1.705,5.105,185/65R15,97,2.75,4395X1730X1690,7,4X2,FF,-,5,4,CKD,INA,237,261,254,136,169,132,70,106,89,125,128,248,1%,0%,1.955
,,,All  New Xenia 1.5 R MT,1.496,MT,G,43,1.705,5.077,195/60R16,106,2.75,4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,45,55,63,33,41,35,1,-,-,-,-,-,0%,0%,273
,,,All  New Xenia 1.5 R CVT,1.496,AT,G,43,1.705,5.105,195/60R16,106,2.75,4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,90,68,63,60,60,51,41,73,55,68,24,59,0%,0%,712
,,,All  New Xenia 1.5 R ASA CVT,1.496,AT,G,43,1.705,5.105,195/60R16,106,2.75,4395X1730X1700,7,4X2,FF,-,5,4,CKD,INA,14,3,5,3,5,-,-,-,12,-,-,-,0%,0%,42
,,,New Sirion 1.3 CVT  2022,1.329,CVT,G,40,940,4.032,175/65R14,90,2.44,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,-,-,20,20,20,30,30,-,58,1,-,1,0%,0%,180
,,,Gran Max BV 1.3,1.298,MT,G,43,2,5.125,165R13-8PR,88,2.65,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,596,499,516,292,939,1.396,464,271,843,1.203,764,1.039,2%,2%,8.822
,,,Gran Max BV 1.5,1.5,MT,G,43,2,5.125,165R13-8PR,88,2.65,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,-,-,1,3,74,-,-,-,-,13,270,-,0%,0%,361
,,,Gran Max MB 1.3 HI   FF,1.298,MT,G,43,1.84,5.125,165R13-8PR,88,2.65,4045X1665X1900,8,4X2,FR,-,5,4,CKD,INA,40,45,24,25,78,121,48,20,79,80,46,65,0%,0%,671
,,,Gran Max MB 1.3 HI,1.298,MT,G,43,1.84,5.125,165R13-8PR,88,2.65,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,176,193,105,88,345,396,266,57,122,200,114,246,1%,0%,2.308
,,,Gran Max MB 1.5 HI,1.495,MT,G,43,1.84,4.875,165R13-8PR,88,2.65,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,89,117,55,69,192,273,55,42,166,250,74,150,0%,0%,1.532
,,,Luxio 1.5 D (New),1.495,MT,G,43,1.29,5.152,195/65R15,97,2.65,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,50,25,31,17,75,76,67,62,48,67,55,56,0%,0%,629
,,,Luxio 1.5 X MT  (New),1.495,MT,G,43,1.32,5.152,195/65R15,97,2.65,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,109,124,132,53,127,122,149,153,127,131,124,115,0%,0%,1.466
,,,Luxio 1.5 X AT  (New),1.495,AT,G,43,1.32,5.152,195/65R15,97,2.65,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,54,48,35,24,75,57,64,51,54,46,70,69,0%,0%,647
,,,Luxio 1.5 AK MT,1.495,MT,G,43,1.32,5.152,195/65R15,97,2.65,4215X1710X1915,2,4X2,FR,-,5,4,CKD,INA,5,5,4,4,4,15,4,10,5,10,2,10,0%,0%,78
,,,All  New Terios IDS X MT  (MC 2023),1.496,MT,G,45,1.245,5.571,215/65/R16,104,2.685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,1.011,1.137,1.035,638,630,526,554,740,789,765,757,788,3%,2%,9.37
,,,All  New Terios IDS X AT  (MC 2023),1.496,AT,G,45,1.255,5.857,215/65/R16,104,2.685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,255,302,469,215,210,197,202,251,253,276,307,271,1%,1%,3.208
,,,All  New Terios IDS R MT  (MC 2023),1.496,MT,G,45,1.26,5.571,215/60/R17,104,2.685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,448,256,320,176,235,228,197,204,214,187,170,223,1%,1%,2.858
,,,All  New Terios IDS R AT  (MC 2023),1.496,AT,G,45,1.27,5.857,215/60/R17,104,2.685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,157,200,148,129,152,118,106,122,95,83,75,85,0%,0%,1.47
,,,All  New Terios IDS Custom  MT  (MC 2023),1.496,MT,G,45,1.26,5.571,215/60/R17,104,2.685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,46,49,61,46,37,39,40,46,45,32,46,32,0%,0%,519
,,,All  New Terios IDS Custom  AT  (MC 2023),1.496,AT,G,45,1.27,5.857,215/60/R17,104,2.685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,55,60,54,26,40,24,21,20,20,14,22,19,0%,0%,375
,,,Rocky 1.0 R ASA CVT,998,AT,G,36,1.68,5.105,205/60/R17,98,2.525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,3,3,3,3,3,12,-,-,12,-,-,-,0%,0%,39
,,,Rocky 1.0 R CVT,998,AT,G,36,1.68,5.105,205/60/R17,98,2.525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,8,30,25,4,6,28,47,20,15,11,15,14,0%,0%,223
,,,Rocky 1.0 R MT,998,MT,G,36,1.68,5.462,205/60/R17,98,2.525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,3,3,11,5,5,12,-,-,-,9,3,-,0%,0%,51
,,,Rocky 1.2 X CVT,1.2,AT,G,36,1.68,5.105,205/65/R16,88,2.525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,103,129,244,211,189,313,410,195,197,215,287,291,1%,1%,2.784
,,,Rocky 1.2 X MT,1.2,MT,G,36,1.68,5.462,205/65/R16,88,2.525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,56,35,90,34,139,94,92,162,77,66,92,83,0%,0%,1.02
,,,Rocky 1.2 M  CVT,1.2,AT,G,36,1.68,5.105,205/65/R16,88,2.525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,17,25,6,6,26,12,12,-,-,-,-,-,0%,0%,104
,,,Rocky 1.2 M  MT,1.2,MT,G,36,1.68,5.462,205/65/R16,88,2.525,4030X1710X1635,5,4X2,FR,-,5,4,CKD,INA,8,11,5,5,13,12,12,-,-,-,-,12,0%,0%,78
,,DFSK,GLORY 560 1.5T  6M/T  LUXURY,1.498,MT,G,50,2.005,-,215/60R17,150,2.69,4515 X 1815 X 1735,7,4X2,FF,-,4,4,CKD,INA,5,1,-,-,-,-,-,-,-,-,-,-,0%,0%,6
,,,GLORY I-AUTO,1.498,AT,G,58,2.035,-,225/60R17,150,2.78,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,4,1,4,8,25,12,-,12,0%,0%,66
,,,GELORA Blind Van (4X2) M/T,1.498,MT,G,55,-,-,185/80 R14,109,3.05,4500 X 1680 X 2000,2,4X2,FR,-,4,4,CKD,INA,1,-,1,-,16,-,-,-,-,-,-,-,0%,0%,18
,,,GELORA C36 MINI BUS 1.5 (4X2) M/T,1.498,MT,G,55,-,-,185/80 R14,109,3.05,4500 X 1680 X 2000,2,4X2,FR,-,4,4,CKD,INA,-,-,-,-,16,-,-,-,-,-,-,-,0%,0%,16
,,,GELORA EC35 BLIND VAN (4X2) A/T,1.498,AT,BEV,58,2.035,-,225/60R17,150,2.78,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CBU,China,5,5,3,2,-,25,5,-,-,5,-,5,0%,0%,55
,,,GELORA EC36 MINI BUS 1.5 (4X2) A/T,-,AT,BEV,58,2.035,-,225/60R17,150,2.78,4680 X 1845 X 1715,7,4X2,FF,-,4,4,CBU,China,5,7,7,3,-,1,2,5,7,3,-,-,0%,0%,40
,,SERES,E502 EV (4X2) A/T,-,-,BEV,-,-,-,-,-,-,-,4,4X2,-,-,-,-,CKD,INA,27,3,7,5,16,14,-,-,-,-,-,15,0%,0%,87
,,,E502 EV B (4X2) A/T,-,-,BEV,-,-,-,-,-,-,-,4,4X2,-,-,-,-,CKD,INA,-,-,2,-,-,-,-,-,-,-,-,-,0%,0%,2
,,HAVAL,HAVAL H6 HEV 1.5T  DHT  (4x2) A/T,1.499,AT,HEV,61,2.14,3.95,225/55 R19,243/240,3,"4,683 x 1,886 x 1,73",5,4X2,FF,200,5,4,CBU,Thailand,-,-,-,9,17,9,21,7,1,-,3,2,0%,0%,69
,,,HAVAL JOLION HEV 1.5T  DHT  (4x2) A/T,1.497,AT,HEV,55,-,-,225/55 R18,190/187,2.7,"4,472 X 1,841 X 1,61",5,4X2,FF,200,5,4,CKD,Indonesia,-,-,-,-,-,-,-,-,-,-,30,5,0%,0%,35
,,HONDA,Brio RS,1.198,MT,G,35,960,-,-,88,2.345,3610 x 1680 x 1485,5,4X2,FF,-,5,4,CKD,INA,58,2,180,42,76,77,101,4,-,-,60,-,0%,0%,600
,,,Brio RS,1.198,CVT,G,35,960,-,-,88,2.345,3610 x 1680 x 1485,5,4X2,FF,-,5,4,CKD,INA,706,352,111,174,365,412,535,748,208,643,535,306,1%,1%,5.095
,,,All  New CR-V 1.5 T,1.5,CVT,G,-,-,-,"19 x 7,5J",190,2.701,4691 x 1866 x 1681,-,4X2,FF,-,5,4,CKD,INA,130,151,155,114,48,31,84,5,60,61,86,65,0%,0%,990
,,,HR-V E,1.497,CVT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,1,-,-,-,0%,0%,1
,,,HR-V E+,1.497,CVT,G,40,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,1,-,-,-,0%,0%,1
,,,New HR-V S,1.497,CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,46,28,13,24,21,36,64,38,44,-,-,0%,0%,314
,,,New HR-V E,1.497,CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,219,188,388,14,75,170,70,4,67,108,195,97,0%,0%,1.595
,,,New HR-V SE,1.497,CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,1.119,1.218,1.549,420,980,1.05,762,953,860,1.616,1.228,1.539,4%,3%,13.294
,,,New HR-V RS,1.497,CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,81,182,142,86,137,101,30,8,63,73,57,46,0%,0%,1.006
,,,CITY HB RS,1.5,MT,G,40,-,-,16 x 6J,121,2.6,4349 x 1748 x 1488,-,4X2,FF,-,5,4,CKD,INA,-,-,1,-,-,-,-,-,-,-,-,-,0%,0%,1
,,,CITY HB RS,1.5,CVT,G,40,-,-,16 x 6J,121,2.6,4349 x 1748 x 1488,-,4X2,FF,-,5,4,CKD,INA,62,20,90,10,10,10,-,-,-,-,-,-,0%,0%,202
,,,CITY HB RS-HS,1.5,CVT,G,40,-,-,16 x 6J,121,2.6,4349 x 1748 x 1488,-,4X2,FF,-,5,4,CKD,INA,61,40,1,-,-,-,-,-,-,-,-,89,0%,0%,191
,,,Mobilio E,1.497,CVT,G,42,-,-,15,118,2.65,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,-,0%,0%,1
,,,New Mobilio S,1.497,MT,G,42,-,-,15,118,2.65,4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,120,-,120,120,-,60,-,-,-,-,-,-,0%,0%,420
,,,WR-V E,1.5,MT,G,35,-,-,16 x 7J,119,2.485,4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,12,37,-,27,22,11,25,16,10,5,34,-,0%,0%,199
,,,WR-V E,1.5,CVT,G,35,-,-,16 x 7J,119,2.485,4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,22,85,60,42,65,72,30,40,77,85,117,104,0%,0%,799
,,,WR-V RS,1.5,CVT,G,35,-,-,17 x 7J,119,2.485,4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,438,762,555,421,754,632,527,598,531,885,1.131,1.338,2%,2%,8.572
,,,WR-V RS - HS,1.5,CVT,G,35,-,-,17 x 7J,119,2.485,4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,188,272,229,187,280,239,321,375,327,320,502,355,1%,1%,3.595
,,,BR-V E Prestige,1.5,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,-,0%,0%,1
,,,BR-V S,1.5,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,-,-,-,10,11,7,10,-,21,1,-,-,0%,0%,60
,,,BR-V E,1.5,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,-,-,120,71,88,52,98,17,120,2,30,32,0%,0%,630
,,,BR-V E,1.5,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,37,231,454,147,161,34,141,129,152,226,-,-,0%,0%,1.712
,,,BR-V E Prestige,1.5,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,51,478,701,437,519,471,135,249,386,512,216,16,1%,1%,4.171
,,,BR-V Prestige-HS,1.5,CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,73,251,367,146,208,157,409,133,315,203,167,153,1%,1%,2.582
,,HYUNDAI - HMID,Creta Trend 1.5 MT,1.5,MT,G,40,1.59,-,215/60/R17,115,2.61,4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,4,3,2,2,5,-,4,2,6,-,2,-,0%,0%,30
,,,Creta Trend 1.5 IVT,1.5,AT,G,40,1.66,-,215/60/R17,115,2.61,4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,109,84,49,39,32,26,32,39,35,18,15,13,0%,0%,491
,,,Creta Style 1.5 IVT,1.5,AT,G,40,1.66,-,215/60/R17,115,2.61,4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,112,73,39,19,25,16,28,45,20,12,13,9,0%,0%,411
,,,Creta Prime 1.5 IVT,1.5,AT,G,40,1.66,-,215/60/R17,115,2.61,4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,230,210,105,90,24,54,53,48,99,64,14,14,0%,0%,1.005
,,,Creta Prime 1.5 IVT  Two Tone,1.5,AT,G,40,1.66,-,215/60/R17,115,2.61,4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,432,271,162,60,34,76,69,91,115,84,26,30,0%,0%,1.45
,,,Creta Prime 1.5 IVT  Alpha,1.5,AT,G,40,1.66,-,215/60/R17,115,2.61,4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,312,92,123,116,204,198,203,156,81,41,47,0%,0%,1.573
,,,Creta FL Trend 1.5 IVT,1.5,AT,G,40,1.685,-,215/60/R17,115,2.61,4330 x 1790 x 1635,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,1,0%,0%,1
,,,Creta FL Prime 1.5 IVT,1.5,AT,G,40,1.685,-,215/60/R17,115,2.61,4330 x 1790 x 1635,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,16,0%,0%,16
,,,Creta FL Prime 1.5 IVT  Two Tone,1.5,AT,G,40,1.685,-,215/60/R17,115,2.61,4330 x 1790 x 1635,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,25,0%,0%,25
,,,Creta FL N Line 1.5 IVT,1.5,AT,G,40,1.685,-,215/55/R18,115,2.61,4330 x 1790 x 1635,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,16,0%,0%,16
,,,Creta FL N Line 1.5 IVT  Two Tone,1.5,AT,G,40,1.685,-,215/55/R18,115,2.61,4330 x 1790 x 1635,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,20,0%,0%,20
,,,Creta FL N Line 1.5T  IVT,1.5,AT,G,40,1.755,-,215/55/R18,118,2.61,4330 x 1790 x 1635,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,8,0%,0%,8
,,,Creta FL N Line 1.5T  IVT  Two Tone,1.5,AT,G,40,1.755,-,215/55/R18,118,2.61,4330 x 1790 x 1635,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,6,0%,0%,6
,,,Stargazer Active MT,1.5,MT,G,40,1.78,-,205/55/R15,115,2.78,4460 x 1780 x 1695,7,4X2,FF,-,5,4,CBU,-,-,7,-,18,13,31,17,3,2,79,227,322,0%,0%,719
,,,Stargazer Active IVT,1.5,AT,G,40,1.83,-,205/55/R15,115,2.78,4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,25,3,6,11,9,20,12,3,4,11,14,22,0%,0%,140
,,,Stargazer Style 6 Seat,1.5,AT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,2,-,-,-,-,-,-,-,-,-,-,-,0%,0%,2
,,,Stargazer Prime 7 Seat,1.5,AT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,210,228,59,28,69,48,56,43,77,79,39,9,0%,0%,945
,,,Stargazer Prime 6 Seat,1.5,AT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,540,393,80,7,86,70,105,61,112,146,117,226,1%,0%,1.943
,,,Stargazer Prime 7 Seat Two Tone,1.5,AT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,40,26,10,6,11,9,2,7,10,11,20,34,0%,0%,186
,,,Stargazer Prime 6 Seat Two Tone,1.5,AT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,141,121,26,2,31,3,11,19,23,38,33,287,0%,0%,735
,,,Stargazer Essential  MT  7 Seat,1.5,MT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,10,6,15,19,13,11,-,7,10,3,3,2,0%,0%,99
,,,Stargazer Essential  MT  6 Seat,1.5,MT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,-,8,4,7,-,2,-,6,10,2,-,3,0%,0%,42
,,,Stargazer Essential  IVT  7 Seat,1.5,AT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,81,30,91,212,122,206,109,95,81,36,23,23,0%,0%,1.109
,,,Stargazer Essential  IVT  6 Seat,1.5,AT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,69,27,61,193,128,213,185,180,123,45,33,24,0%,0%,1.281
,,,Stargazer X Style 6 Seat,1.5,AT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,1,-,-,-,-,-,-,-,0%,0%,1
,,,Stargazer X Prime 7 Seat,1.5,AT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,194,52,110,95,128,121,76,67,57,52,13,24,0%,0%,989
,,,Stargazer X Prime 6 Seat,1.5,AT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,323,380,299,205,213,399,147,286,168,119,71,90,1%,1%,2.7
,,,Stargazer X Prime 7 Seat Two Tone,1.5,AT,G,40,1.83,-,205/55/R16,115,2.78,4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,35,8,15,6,11,17,12,17,12,8,1,2,0%,0%,144
