1    SEDAN TYPE SALES                                                                                                             `JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2.024
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,A6 2.0TFSI AT,1.984,AT,G,65,1.635,3.667,245/45/R18,180,2.912,4915 x 1874 x 1455,5,4X2,FF,226,4,4,CBU,Germany,1,-,-,-,-,-,-,2,-,-,-,-,0%,0%,3
,,,A8L 3.0 AT,2.995,AT,G,90,1.995,2.106,255/45 R19,290,3.122,5267 x 1949 x 1471,5,4X2,FF,250,4,4,CBU,Germany,1,1,-,-,-,-,-,-,1,-,-,-,0%,0%,3
,,,RS4 2.9 TFSI A/T,2.9,AT,G,58,-,-,-,-,-,-,5,4X4,4WD,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,1,-,-,0%,0%,1
,,BMW,218i  Gran Coupe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,17,12,16,30,10,11,21,17,14,70,40,6%,3%,267
,,,220i  Coupe AT,1.998,AT,G,52,1.965,-,225/45 R18 95Y; 255/40 R18 99Y,184,2.741,4537 x 1838 x 1390,-,4X2,FR,-,-,4,CBU,Germany,1,1,5,-,-,-,-,-,-,-,1,-,0%,0%,8
,,,320i  CKD AT,1.998,AT,G,59,2.05,-,225/45 R18 95Y,184,2.851,4709x1827x1435,-,4X2,FR,-,-,4,CKD,INA,9,8,15,10,30,70,31,25,24,29,22,16,7%,3%,289
,,,330i  CKD B7 AT,1.998,AT,G,59,2.08,-,225/40 R19 93Y; 255/35 R19 96Y,258,2.851,4713 x 1827 x 1440,5,4X2,FR,-,4,4,CKD,INA,38,21,34,14,62,43,40,59,35,50,46,26,11%,4%,468
,,,330I 62FY A/T,1.998,AT,G,59,1.6,-,225/40 R19 93 Y XL;255/40 R18 99 Y XL,245,2851,4713 x 1827 x 1440,5,4X2,FR,-,5,4,CBU,Germany,-,-,-,-,-,26,10,4,-,-,-,-,1%,0%,40
,,,M2 Coupe RHD MX AT,2.993,AT,G,52,2.155,-,275/35 ZR19 100Y; 285/30 ZR20 99Y,460,2.747,4580 x 1887 x 1403,-,4X2,FR,-,-,4,CBU,Germany,4,9,-,2,10,4,6,4,3,24,11,5,2%,1%,82
,,,M3 AT,2.993,AT,G,59,2.21,-,275/35 ZR19 100Y; 285/30 ZR20 99Y,510,2.857,4794 x 1903 x 1433,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,-,-,-,1,-,-,-,-,-,0%,0%,1
,,,M3 Competition M  xDrive T  AT,2.993,AT,G,59,2.37,-,275/35 ZR19 100Y; 285/30 ZR20 99Y,510,2.857,4801 x 1903 x 1446,-,4X4,4WD,-,-,4,CBU,Germany,11,1,14,2,28,-,-,3,-,6,5,4,2%,1%,74
,,,M3 CS Limousine RHD AT  62AY,2.993,AT,G,59,2.245,-,275/35 ZR19 100Y; 285/30 ZR20 99Y,551,2.857,4795 x 1918 x 1438,-,4X4,4WD,-,-,4,CBU,Germany,-,-,1,-,-,-,-,-,-,-,-,-,0%,0%,1
,,,M4 Competition M  xDrive C RHD AT,2.993,AT,G,59,2.345,-,275/35 ZR19 100Y; 285/30 ZR20 99Y,510,2.857,4794 x 1887 x 1395,-,4X4,4WD,-,-,4,CBU,Germany,1,-,-,-,-,-,-,-,-,-,-,-,0%,0%,1
