GAIKINDO EXPORT DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,`JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,BRAND,MODEL,CC,TRANS,FUEL,TANK,GVW,GEAR,WHEEL  & TYRE SIZE,PS /  HP,WHEEL  BASE,DIMENSI  ON,SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU  / CKD  /,DEST.,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
,,,,,(AT/MT),(G/D),CAPT,(Kg),,,,,P x L  x T,,,,,,,,COUNTRY,,,,,,,,,,,,,
CBU  EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Veloz,"1,500",MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Peru,30,-,-,-,-,-,142,386,-,67,-,-,625
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Philippines,-,-,-,-,-,902,-,-,-,-,-,-,902
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Qatar,88,270,160,103,123,15,15,8,6,76,53,43,960
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Saudi Arabia,457,"1,270",707,"1,261","1,218","1,259","1,003",723,"1,039","1,249","1,430","1,837","13,453"
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Thailand,-,-,100,573,-,-,-,-,-,364,316,142,"1,495"
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,UAE,510,263,-,-,-,-,-,74,126,71,228,94,"1,366"
,,,Veloz,"1,500",CVT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Y emen,-,-,2,2,-,-,-,-,-,-,-,-,4
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Brunei,49,52,59,30,106,40,79,60,7,44,39,64,629
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Kuwait,-,12,20,20,16,25,17,17,7,-,-,-,134
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Oman,82,46,34,36,28,19,36,31,36,21,44,44,457
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Philippines,325,178,253,384,961,"1,018","1,171",641,"1,121","1,426",844,"1,030","9,352"
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,P.N.G,-,1,-,-,1,3,-,2,5,2,2,-,16
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Qatar,-,-,3,4,2,-,-,2,3,3,6,3,26
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Saudi Arabia,136,152,143,147,166,257,224,184,316,335,262,316,"2,638"
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Tunisia,1,-,-,-,10,-,2,2,2,-,5,5,27
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,UAE,-,-,-,-,-,-,-,-,-,-,-,4,4
,,,Fortuner,"2,400",6AT,D,-,-,-,-,-,-,-,-,4X4,-,-,5,4,CBU,Y emen,1,2,2,2,4,1,2,-,-,3,7,6,30
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Antigua,-,-,-,-,-,-,-,-,1,-,-,1,2
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Bahrain,30,16,31,14,34,25,24,16,14,17,6,8,235
,,,Fortuner,"2,700",6AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Brunei,7,5,-,1,3,2,3,3,-,-,-,-,24
