1   SEDAN TYPE SALES                                                                                                                                         `JAN-DEC 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2023
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,A8L 3.0 AT,2995,AT,G,90,1995,2106,255/45 R19,290,3122,5267 x 1949 x 1471,5,4X2,FF,250,4,4,CBU,Germany,-,-,-,-,-,-,1,-,-,-,-,-,0%,0%,1
,,BMW,218i  Gran Coupe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,3,22,6,24,39,6,4,23,27,20,9,3.2%,2%,194
,,,220i  Coupe AT,1998,AT,G,52,1965,-,225/45 R18 95Y; 255/40 R18 99,184,2741,4537 x 1838 x 1390,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,-,3,1,5,-,5,4,1,1,0.3%,0.2%,20
,,,320i  CKD-A7 AT,1998,AT,G,59,2070,-,225/45 R18 95Y; 255/40 R18 99,184,2851,4713 x 1827 x 1440,5,4X2,FR,-,4,4,CKD,INA,22,71,23,18,24,15,20,13,5,2,18,5,3.9%,2.5%,236
,,,330i  CKD B7 AT,1998,AT,G,59,2080,-,225/40 R19 93Y; 255/35 R19 96,258,2851,4713 x 1827 x 1440,5,4X2,FR,-,4,4,CKD,INA,13,22,34,3,13,11,-,39,32,49,25,11,4.1%,2.6%,252
,,,M2 Coupe RHD MX AT,2993,AT,G,52,2155,-,75/35 ZR19 100Y; 285/30 ZR20 9,460,2747,4580 x 1887 x 1403,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,15,25,22,10,1.2%,0.8%,72
,,,M3 AT,2993,AT,G,59,2210,-,75/35 ZR19 100Y; 285/30 ZR20 9,510,2857,4794 x 1903 x 1433,-,4X2,FR,-,-,4,CBU,Germany,-,-,7,20,3,1,5,4,2,4,1,35,1.3%,0.9%,82
,,,M3 Competition M  xDrive T  AT,2993,AT,G,59,2370,-,75/35 ZR19 100Y; 285/30 ZR20 9,510,2857,4801 x 1903 x 1446,-,4X4,-,-,-,4,CBU,Germany,-,-,-,-,-,-,9,-,8,14,2,-,0.5%,0.3%,33
,,,M3 CS Limousine RHD AT  62AY,2993,AT,G,59,2245,-,75/35 ZR19 100Y; 285/30 ZR20 9,551,2857,4795 x 1918 x 1438,-,4X4,-,-,-,4,CBU,Germany,-,-,-,-,-,-,7,5,-,-,-,2,0.2%,0.1%,14
,,,M4 CSL AT,2993,AT,G,59,1970,-,75/35 ZR19 100Y; 285/30 ZR20 9,551,2857,4794 x 1921 x 1386,2,4X2,FR,-,2,4,CBU,Germany,-,-,1,-,-,-,-,-,-,-,-,-,0%,0%,1
,,,M4 Coupe AT,2993,AT,G,59,2155,-,75/35 ZR19 100Y; 285/30 ZR20 9,510,2857,4794 x 1887 x 1393,-,4X2,FR,-,-,4,CBU,Germany,-,-,11,21,53,11,21,15,14,4,5,17,2.8%,1.8%,172
,,,M4 Competition M  xDrive C RHD AT,2993,AT,G,59,2345,-,75/35 ZR19 100Y; 285/30 ZR20 9,510,2857,4794 x 1887 x 1395,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,-,10,-,-,-,9,1,-,0.3%,0.2%,20
,,,430i  Convertible AT,1998,AT,G,59,2200,-,225/40 R19 93Y; 255/35 R19 96,258,2851,4768 x 1852 x 1384,-,4X2,FR,-,-,4,CBU,Germany,-,-,5,21,18,8,11,-,3,11,1,-,1.3%,0.8%,78
,,,430i  Coupe AT,1998,AT,G,59,2030,-,225/40 R19 93Y; 255/35 R19 96,258,2851,4768 x 1852 x 1383,-,4X2,FR,-,-,4,CBU,Germany,-,-,8,40,17,6,24,4,4,3,-,2,1.8%,1.1%,108
,,,530i  CKD AT,1998,AT,G,68,3205,-,245/40 R19 98Y; 275/35 R19 100,252,2975,4963 x 1868 x   1479,-,4X2,FR,-,-,4,CKD,INA,21,-,3,7,16,1,8,6,2,-,-,-,1%,0.7%,64
,,,530i  Touring RHD AT,1998,AT,G,68,2425,-,245/40 R19 98Y; 275/35 R19 100,252,2975,4963 x 1868 x 1498,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,36,11,4,3,-,-,-,-,-,0.9%,0.6%,54
,,,520i  G30 CKD AT,1998,AT,G,68,2285,-,245/40 R19 98Y; 275/35 R19 100,184,2975,4963 x 1868 x   1479,-,4X2,FR,-,-,4,CKD,INA,27,10,59,8,15,25,8,38,21,17,18,47,4.8%,3.1%,293
,,,72AG 520I,1998,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,730Li  G12 CKD AT,1998,AT,G,78,2445,-,245/40 R20 99Y; 275/35 R20 102,265,3210,5260x1902x1479,-,4X2,FR,-,-,4,CKD,INA,1,-,1,1,-,-,-,3,2,-,-,-,0.1%,0.1%,8
,,,735i  Limousine RHD A/T,2998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0%,0%,1
,,,735i  Limousine RHD AT,2998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,-,-,-,-,-,-,4,14,26,8,15,28,1.6%,1%,95
,,,740Li  G12 CKD AT,2998,AT,G,78,2500,-,245/40 R20 99Y; 275/35 R20 102,340,3210,5260x1902x1479,-,4X2,FR,-,-,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,-,0%,0%,1
,,,Z4 sDrive30i  AT,1998,AT,G,52,1740,-,55/40 ZR18 95Y; 275/40 ZR18 9,258,2470,4324x1864x1304,-,4X2,FR,-,2,4,CBU,Germany,-,-,-,31,10,6,3,-,6,6,1,-,1%,0.7%,63
,,,Z4 M40i  AT,2998,AT,G,52,1860,-,55/35 ZR19 96Y; 275/35 ZR19 10,387,2470,4324 x 1864 x 1304,-,4X2,FR,-,-,4,CBU,Germany,-,-,2,10,11,5,-,-,-,-,2,-,0.5%,0.3%,30
,,,840i  Coupe AT,2998,AT,G,68,2225,-,245/35 R20 95Y; 275/30 R20 97,340,2822,4843x1902x1341,-,4X2,FR,-,-,4,CBU,Germany,-,-,1,4,4,-,7,-,2,-,-,-,0.3%,0.2%,18
,,,840i  Gran Coupe AT,2998,AT,G,68,2435,-,245/35 R20 95Y; 275/30 R20 97,340,3023,5074x1932x1401,-,4X2,FR,-,-,4,CBU,Germany,-,-,1,1,1,-,-,-,1,1,-,-,0.1%,0.1%,5
,,HONDA,New ACCORD VTi-L,2354,CVT,G,65,1525,-,-,176,2275,4870 x 1850 x 1465,5,4X2,FF,-,4,4,CBU,Thailand,-,69,24,51,35,60,28,60,63,16,7,7,6.9%,4.4%,420
,,,Civic Type R,2000,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,UK,-,-,15,-,3,-,3,36,26,-,17,-,1.6%,1%,100
,,LEXUS,ES 250,2494,AT,G,-,-,-,-,181 / 6000,-,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,ES 300 h,2494,AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,5,13,26,7,22,31,7,23,26,9,15,3,3.1%,1.9%,187
,,,ES 300h Ultra Luxury,2494,AT,HYBRID,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,MAZDA,MX-5 RF AT,1999,AT,G,50,-,3863,205/45R17,160,2330,4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,4,-,6,4,-,3,2,20,13,2,6,2,1%,0.6%,62
,,,New MX-5 RF MT,1999,MT,G,50,-,3863,205/45R17,160,2330,4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,-,-,1,-,-,2,2,8,6,1,-,1,0.3%,0.2%,21
,,,Mazda 3 Sedan,1998,AT,G,51,-,-,215/45R18,155,2725,"4,660 x 1,795 x 1,44",5,4X2,FF,-,5,4,CBU,Japan,2,-,1,17,3,3,10,19,10,5,5,1,1.2%,0.8%,76
,,,Mazda 6 Elite Sedan,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,-,-,22,2,1,13,1,11,4,2,2,4,1%,0.6%,62
,,MERCEDES-BENZ PC,AMG A 35 4MATIC (V177),2000,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,17,5,3,-,1,1,-,4,7,1,2,4,0.7%,0.5%,45
,,,A 200,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x 2,020 x 1,44",5,4X2,FR,-,4,4,CKD,INA,-,18,4,1,16,25,23,23,9,9,8,18,2.5%,1.6%,154
