NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL  &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI  ON
P x L  x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU  /  CKD  / COMP,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU  IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT.  EUROKARS MOTOR  INDONESIA,MAZDA,All-new Mazda 6 Elite,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x  1840 x  1450,5,4X2,FF,-,4,4,CBU,Japan,-,3,3,2,1,1,-,-,3,1,50,-,64
,,,MX-5 RF,1999,AT,G,50,-,3863,205/45R17,160,2330,4020 x  1720 x  1255,2,4X2,FF,-,4,4,CBU,Japan,1,1,-,-,-,-,-,-,-,-,-,-,2
,,,Mazda 2 R  AT IPM,1498,AT,G,42.8,-,4147,195/45R16,103,2490,3913 x  1695 x  1475,5,4X2,FF,-,5,4,CBU,Thailand,12,3,-,1,-,1,1,5,-,-,1,-,24
,,,Mazda 2 GT AT IPM,1498,AT,G,42.8,-,4147,195/45R16,103,2490,3913 x  1695 x  1475,5,4X2,FF,-,5,4,CBU,Thailand,55,54,43,13,4,28,67,55,40,15,37,47,458
,,,Mazda 2 Elite AT IPM,1498,AT,G,44,-,-,185/60R16,111,2570,4065 x  1695 x  1495,5,4X2,FF,-,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,5,1,6
,,,CX-3 2.0 Touring,1998,AT,G,48,-,-,215/50R18,148,2570,4275 x  1765 x  1535,5,4X2,FF,-,5,4,CBU,Japan,35,39,26,-,-,2,-,-,-,-,-,-,102
,,,CX-3 2.0 Grand Touring,1998,AT,G,48,-,-,215/50R18,148,2570,4275 x  1765 x  1535,5,4X2,FF,-,5,4,CBU,Japan,15,18,9,-,-,-,-,4,-,-,-,-,46
,,,CX - 3 Sport,1998,AT,G,48,-,0,215/50R18,149,2570,4275 x  1765 x  1535,5,4X2,FF,0,5,4,CBU,Japan,-,-,2,2,1,15,17,28,4,5,43,10,127
,,,CX  - 3 Pro,1998,AT,G,48,-,0,215/50R18,149,2570,4275 x  1765 x  1535,5,4X2,FF,0,5,4,CBU,Japan,-,-,1,2,1,3,13,7,4,6,11,7,55
,,,All New Mazda 3 Hatchback,1998,AT,G,51,-,-,215/45R18,155,2725,"4,460 x  1,795 x  1,435",5,4X2,FF,-,5,4,CBU,Japan,-,25,15,6,6,10,30,19,20,16,69,38,254
,,,All New Mazda 3 Sedan,1998,AT,G,51,-,-,215/45R18,155,2725,"4,660 x  1,795 x  1,440",5,4X2,FF,-,5,4,CBU,Japan,3,1,3,-,-,1,3,3,4,-,1,-,19
,,,Mazda 6 Estate Elite,2488,AT,G,62,-,-,225/45R19,192,2750,"4,800 x  1,840 x  1,480",5,4X2,FF,-,5,4,CBU,Japan,-,4,-,1,-,-,2,1,2,1,1,2,14
,,,All New CX-5 Elite IPM #2,2488,AT,G,56,-,0,225/55R19,190,2700,4550 x  1840 x  1680,5,4X2,FF,,5,4,CBU,Malay sia,4,3,2,1,-,1,6,-,1,-,-,-,18
,,,All New CX-5 GT IPM #2,2488,AT,G,56,-,4325,225/55R19,187,2700,4540 x  1840 x  1710,5,4X2,FF,-,5,4,CBU,Malay sia,41,148,41,5,9,19,54,41,57,24,89,108,636
,,,All New CX-5 Elite IPM #2,2488,AT,G,56,-,-,225/55R19,190,2700,4550 x  1840 x  1680,5,4X2,FF,-,5,4,CBU,Malay sia,51,4,-,-,-,-,-,-,-,-,-,-,55
,,,CX - 30 Touring,1998,AT,G,51,-,,215/55R18,155,2655,4395 x  1795 x  1540,5,4X2,FF,,5,4,CBU,Japan,-,5,3,1,2,2,4,4,5,1,-,4,31
,,,CX - 30 GT,1998,AT,G,51,-,,215/55R18,155,2655,4395 x  1795 x  1540,5,4X2,FF,,5,4,CBU,Japan,26,57,36,3,3,12,23,34,28,18,49,48,337
,,,All-new CX-9 MY 18,2488,AT,G,72,-,-,255/50R20,231,2930,5075 x  1969 x  1747,7,4X2,FF,-,5,4,CBU,Japan,35,41,-,4,3,9,10,13,19,6,15,8,163
,,,CX - 9 AWD,2488,AT,G,74,-,-,255/50R20,231,2930,5075 x  1969 x  1747,7,4X4,4WD,-,5,4,CBU,Japan,-,-,-,1,1,3,4,3,4,3,5,7,31
,,,CX-8 Touring,2488,AT,G,72,-,-,255/50R20,231,2930,5075 x  1969 x  1747,7,4X2,FF,-,5,4,CBU,Malay sia,5,6,4,-,-,-,1,-,1,-,-,-,17
,,,CX-8 Elite,2488,AT,G,72,-,-,255/50R20,231,2930,5075 x  1969 x  1747,7,4X2,FF,-,5,4,CBU,Malay sia,14,25,20,1,4,9,10,23,6,18,28,43,201
,,,TOTAL,,,,,,,,,,,,,,,,,,,297,437,208,43,35,116,245,240,198,114,404,323,"2,660"
15,PT.  GARUDA MATARAM MOTOR,VOLKSWAGEN,Polo 1.2 GT TSI  AT,1200,AT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CBU,India,10,20,12,4,-,3,11,2,1,3,7,4,77
,,,Tiguan 1.4 AT,1400,AT,G,64,1510,3949,25/55/R17,150,2604,4426 x  1809 x  1703,-,4X2,FF,193,5,4,CBU,Germany,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,Multiv an 2.0 LWB TSI  AT,1968,AT,G,-,-,-,-,-,-,-,7,4X2,FF,-,5,4,CBU,Germany,-,-,-,-,-,-,-,1,-,-,-,-,1
,,,TOTAL,,,,,,,,,,,,,,,,,,,11,20,12,4,-,3,11,3,1,3,7,4,79
16,PT.  GARUDA MATARAM MOTOR,AUDI,A3 1.2 TFSI  A/T,1275,AT,G,63,1455,3400,225/50/R17,170,2808,4701 x  1826 x  1427,5,4X2,FF,225,4,4,CBU,Germany,-,-,-,-,1,-,-,-,-,-,1,-,2
,,,A4 2.0 quattro TFSI   A/T,1984,AT,G,63,1485,4436,245/40/R18,211,2808,4701 x  1826 x  1427,5,4X4,4WD,240,4,4,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,1,2
,,,A6 3.0 Quattro AT,2995,AT,G,75,1815,3692,255/40/R19,300,2912,4915 x  1874 x  1455,5,4X4,4WD,250,4,4,CBU,Germany,-,-,-,-,1,-,-,-,-,-,-,-,1
,,,Q3 1.4 TFSI  A/T,1400,AT,G,64,-,-,-,-,-,-,5,4X4,4WD,250,4,4,CBU,Germany,-,-,1,2,3,2,1,3,1,2,3,4,22
,,,Q5 2.0 TFSI  AT,1984,AT,G,75,1845,3692,255/55/R19,225,2807,4629 x  1880 x  1653,5,4X4,4WD,222,4,4,CBU,Germany,2,-,-,-,-,-,-,-,-,-,-,-,2
,,,Q7 3.0 TFSI  AT,2995,AT,G,100,2245,4845,265/50/R19,272,3002,5089 x  2002 x  1695,7,4X4,4WD,222,4,4,CBU,Germany,-,-,-,-,-,-,-,-,2,-,-,-,2
,,,Q8 3.0 TFSI  AT,2995,AT,G,100,2245,4845,265/50/R19,272,3002,5089 x  2002 x  1695,7,4X4,4WD,222,4,4,CBU,Germany,1,1,-,2,-,2,1,-,-,-,-,3,10
,,,TOTAL,,,,,,,,,,,,,,,,,,,3,1,1,4,5,4,2,3,4,2,4,8,41
17,PT.  GENERAL  MOTOR  INDONESIA,CHEVROLET,Trax  1.4L,1398,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,South Korea,-,-,1,-,-,-,-,-,-,-,-,-,1
,,,Captiv a 2.0 Dsl,2000,AT,D,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,Thailand,-,-,1,-,-,-,-,-,-,-,-,-,1
,,,Colorado Crew Cab 2.5,2500,MT,D,-,-,-,-,-,-,-,-,4X4,AWD,-,-,-,CBU,Thailand,2,3,17,-,-,-,-,-,-,-,-,-,22
,,,Trailblazer,2500,AT,D,-,-,-,-,-,-,-,-,4X2,FR,-,-,-,CBU,Thailand,-,-,1,3,-,-,-,-,-,-,-,-,4
,,,Spark  1.4L,1400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,South Korea,5,-,1,1,-,-,-,-,-,-,-,-,7
,,,Orlando 1.8L,1800,AT,G,-,-,-,-,-,-,-,-,4X2,FR,-,-,-,CBU,South Korea,-,-,1,-,-,-,-,-,-,-,-,-,1
,,,Colorado 2.8L High Country  (4x4) A/,2500,MT,D,76,-,-,245/70/R16,163,3096,5347x2132x1785,5,4X4,AWD,6,2,4,CBU,Thailand,4,2,12,-,-,-,-,-,-,-,-,-,18
,,,TOTAL,,,,,,,,,,,,,,,,,,,11,5,34,4,-,-,-,-,-,-,-,-,54
18,PT.  MAXINDO RENAULT INDONESIA,RENAULT,Koleos Signature,2500,AT,G,60,2100,-,225/60 R  18,170,2705,4672 x  1843 x  1673,5,4X2,FF,200,5,4,CBU,-,9,4,5,-,-,-,-,-,-,-,-,-,18
,,,Koleos Luxury,2500,AT,G,60,2100,-,225/60 R  18,170,2705,4672 x  1843 x  1673,5,4X2,FF,200,5,4,CBU,-,1,6,-,-,9,-,-,-,-,-,-,-,16
,,,Kwid Climber,1000,MT,G,28,1109,4,155/80 R13,68,2422,3679 x  1579 x  1478,5,4X2,FF,140,5,4,CBU,-,5,4,3,-,-,-,-,-,-,-,-,-,12
,,,New Kwid,1000,MT,G,28,1109,4,155/80 R13,68,2422,3679 x  1579 x  1478,5,4X2,FF,140,5,4,CBU,-,-,-,-,-,1,1,1,2,-,-,-,-,5
,,,New Kwid Climber,1000,AT,G,28,1109,-,-,-,-,-,5,4X2,FF,140,5,4,CBU,-,-,-,-,-,2,7,10,13,9,20,5,4,70
,,,Triber RXT MT,1000,MT,G,28,1109,,,,,,7,4X2,FF,140,5,4,CBU,-,-,-,9,2,5,2,1,3,-,-,-,1,23
,,,Triber RXT AT,1000,AT,G,28,1109,,,,,,7,4X2,FF,140,5,4,CBU,-,-,-,-,-,-,-,-,-,-,-,1,-,1
,,,Triber RXZ  MT,1000,MT,G,28,1109,,,,,,7,4X2,FF,140,5,4,CBU,-,-,-,-,-,7,5,12,21,11,16,5,5,82
,,,Triber RXZ  AT,1000,AT,G,28,1109,,,,,,7,4X2,FF,140,5,4,CBU,-,-,-,-,-,-,-,-,-,-,66,21,36,123
,,,TOTAL,,,,,,,,,,,,,,,,,,,15,14,17,2,24,15,24,39,20,102,32,46,350
19,PT.  HYUNDAI  INDONESIA MOTOR  (HIM),HYUNDAI  - HIM,Genesis,3800,AT,G,-,-,-,-,-,-,-,4,4X2,-,-,4,4,CBU,Korea,2,-,-,-,-,-,-,-,-,-,-,-,2
,,,Grand i10,1200,MT,G,43,-,-,-,-,-,3765 x  1660 x  1505,4,4X2,-,-,4,4,CBU,India,1,-,-,-,-,-,2,-,1,-,-,-,4
,,,Kona,2000,AT,G,-,-,-,-,-,-,-,5,4X2,-,-,4,4,CBU,Korea,3,5,2,1,-,1,2,4,2,1,3,12,36
,,,All New Tucson,2000,AT,G,62,2020,-,-,-,-,4475 x  1850 x  1650,5,4X2,-,-,4,4,CBU,Korea,31,2,-,-,-,-,-,-,1,-,-,-,34
,,,New Santa FE,2200,AT,D,64,-,-,-,-,-,4689 x  1880 x  1690,7,4X2,-,-,4,4,CBU,Korea,2,4,-,-,-,2,2,-,3,-,1,2,16
,,,New Santa FE,2400,AT,G,64,-,-,-,-,-,4690 x  1880 x  1690,7,4X2,-,-,4,4,CBU,Korea,25,23,8,1,2,2,1,2,2,2,-,12,80
,,,IONIQ EV,1600,AT,EV,-,1970,-,-,-,-,-,5,4X2,,,4,4,CBU,Korea,20,2,-,-,-,-,-,-,-,-,-,-,22
,,,H-100,2600,MT,D,-,-,-,-,-,-,-,3,4X2,-,-,2,4,CBU,Korea,4,3,1,3,3,4,9,3,3,4,5,3,45
,,,H-100 Chs,2600,MT,D,-,-,-,-,-,-,-,3,4X2,-,-,2,4,CBU,Korea,-,-,3,-,-,2,-,2,-,-,1,-,8
,,,TOTAL,,,,,,,,,,,,,,,,,,,88,39,14,5,5,11,16,11,12,7,10,29,247
20,PT.  Hyundai  Motors Indonesia (HMID),HYUNDAI  - (HMID),Kona Gasoline 2.0 Single Tone,2000,AT,G,50,1830,-,215/55/R17,149,2600,4165 x  1800 x  1565,5,4X2,FF,-,5,4,CBU,South Korea,-,-,-,-,-,-,-,-,5,3,-,-,8
,,,Kona Gasoline 2.0 Two Tone,2000,AT,G,50,1830,-,215/55/R17,149,2600,4165 x  1800 x  1565,5,4X2,FF,-,5,4,CBU,South Korea,-,-,1,-,-,-,2,-,30,3,3,1,40
,,,Kona EV,-,AT,EV,-,2020,-,215/55/R17,-,2600,4180 x  1800 x  1570,5,4X2,-,-,5,4,CBU,South Korea,-,-,2,-,-,-,-,2,31,12,-,1,48
,,,Ioniq EV Prime,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x  1820 x  1475,5,4X2,-,-,5,4,CBU,South Korea,-,-,1,-,-,-,-,-,10,6,-,-,17
,,,Ioniq EV Signature,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x  1820 x  1475,5,4X2,-,-,5,4,CBU,South Korea,-,-,-,-,-,-,-,1,26,20,-,-,47
,,,Tucson,2000,AT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CBU,South Korea,-,-,1,-,-,-,3,-,-,-,14,-,18
,,,Santa FE XG 2.4 Gasoline,2400,AT,G,71,2510,-,235/55/19,172,2765,4770 x  1890 x  1705,5,4X2,FF,-,5,4,CBU,South Korea,-,-,1,-,-,-,11,-,-,-,2,-,14
,,,Santa FE XG 2.2 CRDi,2200,AT,D,71,2510,-,235/55/19,193,2765,4770 x  1890 x  1705,5,4X2,FF,-,5,4,CBU,South Korea,-,-,1,-,-,-,17,-,-,-,-,-,18
,,,Santa FE Grand 2.2 CRDi,2200,AT,D,71,2510,-,235/55/19,193,2765,4770 x  1890 x  1705,5,4X2,FF,-,5,4,CBU,South Korea,-,-,-,-,-,-,20,-,-,-,1,-,21
,,,Palisade 2.2 CRDi,2200,AT,D,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,South Korea,-,-,-,-,-,-,-,1,-,1,14,-,16
,,,Palisade 2.2 CRDi AWD,2200,AT,D,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,South Korea,-,-,-,-,-,-,-,-,-,-,1,-,1
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,7,-,-,-,53,4,102,45,35,2,248
21,PT.  TATA MOTORS DISTRIBUSI   INDONESIA,TATA MOTOR,ACE EX2,702,MT,D,30,1550,5.1,155 R13 LT - 8 PR,16,2100,3800 x  1500 x  1861,2,4X2,FR,70,2,4,CBU,India,10,-,-,-,-,-,-,-,-,-,-,-,10
,,,Super Ace Dle,1405,MT,D,38,2170,4.1,165 R14 - 8 PR,70,2380,4340 x  1565 x  1858,2,4X2,FR,125,2,4,CBU,India,-,2,-,2,-,-,-,-,-,-,-,-,4
,,,Super Ace Dls,1405,MT,D,38,2170,4.1,165 R14 - 8 PR,70,2380,4340 x  1565 x  1858,2,4X2,FR,125,2,4,CBU,India,48,30,-,33,-,-,-,-,-,-,-,-,111
,,,Xenon RX,2956,MT,D,60,2950,3.7,215/75 R16,73,3150,5361 x  1860 x  1785,2,4X2,FR,120,2,4,CBU,India,4,-,8,6,-,-,-,-,-,-,-,-,18
,,,Xenon XT,2179,MT,D,65,2950,3.73,215/75 R  16,140,3150,5125 x  1860 x  1765,5,4X2,FR,160,4,4,CBU,India,-,10,-,-,-,-,-,-,-,-,-,-,10
,,,Prima 4028.S NON-AC,6700,MT,D,400,34000,5.85,10.00 R  20 - 16 PR,267,3450,6035 x  2500 x  3287,2,4X2,FR,100,2,6,CBU,India,-,-,3,-,-,-,-,-,-,-,-,-,3
,,,Prima LX 3123T,5883,MT,D,365,31000,5.58,10.00 R20-16PR,230,6900,11235 x  2495 x  3155,3,8X2,FR,87,2,12,CBU,India,4,-,-,-,-,-,-,-,-,-,-,-,4
,,,Prima LX 2528K,6700,MT,D,260,25000,5.58,10 x  20 - 16 PR  NT,266,4570,7905 x  2500 x  3130,2,6X4,FR,100,2,10,CBU,India,16,9,-,-,-,-,-,-,-,-,-,-,25
,,,Prima 3338.K,8898,MT,D,260,33000,7.246,12R  24,380,5250,8488 x  2590 x  3232,2,8X4,FR,66,2,14,CBU,India,-,3,1,-,-,-,-,-,-,-,-,-,4
,,,Ultra 1014/45,2956,MT,D,160,9990,4.857,235/75R  17.5,138,4530,8054x2204x2469,2,4X2,FR,95,2,6,CBU,India,5,-,-,-,-,-,-,-,-,-,-,-,5
,,,Ultra 1014/33,2956,MT,D,120,9990,4.857,235/75R  17.5,138,3310,8054x2204x2469,2,4X2,FR,95,2,6,CBU,India,-,-,2,2,-,-,-,-,-,-,-,-,4
,,,LPT 913,5675,MT,D,120,9000,3.44,8.25 R  16-16 PR,130,3400,6210 x  2140 x  2341,2,4X2,FR,90,2,6,CBU,India,10,-,-,-,-,-,-,-,-,-,-,-,10
,,,LPT 813,5675,MT,D,120,8050,3.111,7.50 R  16 - 14PR,127,3800,6860 x  2155 x  2341,3,4X2,FR,112,2,6,CBU,India,2,-,-,1,-,-,-,-,-,-,-,-,3
,,,LPT 1116,5675,MT,D,160,12300,5.285,8.25R20 - 14PR,160,4200,7655 x  2260 x  2570,2,4X2,FR,105,2,6,CBU,India,2,-,-,-,-,-,-,-,-,-,-,-,2
,,,TOTAL,,,,,,,,,,,,,,,,,,,101,54,14,44,-,-,-,-,-,-,-,-,213
22,PT.  UNITED  TRACTORS Tbk,SCANIA,P360CB-4X4,13000,MT,D,300,24500,5.14,12.00 R24,360,5100,10558 x  2500 x  3121,2,4X4,FF,9,2,4,CBU,Swedia,-,-,-,-,-,-,-,-,-,,,,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
23,PT.  ASTRA INTERNATIONAL  UD  TRUCKS SALES OPERATION,UD  TRUCK,CKE25042R,7698,MT,D,315,21000,5570,"11,00-20-16PR",250,5200,"8,975 x  2,500 x  3,220",3,4X2,FR,90,2,6,CBU,Thailand,10,-,5,-,-,5,-,-,-,-,-,,20
,,,CDE25062R,7898,MT,D,315,26000,5570,"11,00-20-16PR",250,6970,"11,175 x  2,500 x  3,172",3,6X2,FR,90,2,10,CBU,Thailand,1,-,-,-,-,-,-,-,-,-,-,,1
,,,GDE 28062T,7898,MT,D,315,37000,5570,"11,00-20-16PR",280,4770,"7,055 x  2,500 x  3,224",3,6X2,FR,90,2,10,CBU,Thailand,-,-,-,-,-,-,1,-,-,-,-,,1
,,,CGE37084R,10837,MT,D,405,41000,6370,"11,00-20-16PR",370,6970,"11,324 x  2,500 x  3,252",3,8X4,FR,90,2,12,CBU,Thailand,5,-,-,-,-,-,-,-,-,-,-,,5
,,,TOTAL,,,,,,,,,,,,,,,,,,,16,-,5,-,-,5,1,-,-,-,-,-,27
25,PT.  HINO MOTORS SALES INDONESIA,HINO,ZY  - HR,12913,MT,D,330,"50,000",STD  5.41,12.00 R24,410,0+3750+,9290 x  2545 x  3205,2,8X4,FR,99,2,12,CBU,Japan,-,-,-,-,-,5,17,19,6,11,7,11,76
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,5,17,19,6,11,7,11,76
26,PT.  KERETA INDOARTA,KIA,Picanto EX,1248,AT,G,35,1350,4336,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x  1595 x  1480,5,4X2,FF,-,5,4,CBU,Korea,-,-,1,-,-,-,-,1,-,-,-,-,2
,,,Picanto EX,1248,MT,G,35,1350,4056,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x  1595 x  1480,5,4X2,FF,-,5,4,CBU,Korea,-,1,1,1,-,-,-,-,-,1,-,4,8
,,,Picanto GT-Line,1248,AT,G,35,1350,4336,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x  1595 x  1480,5,4X2,FF,-,5,4,CBU,Korea,1,1,1,-,1,6,5,5,2,2,4,15,43
,,,Picanto GT-Line,1248,MT,G,35,1350,4336,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x  1595 x  1480,5,4X2,FF,-,5,4,CBU,Korea,-,1,-,-,-,-,-,-,-,-,-,9,10
,,,All New Rio,1396,AT,G,43,1600,4375,185/65 R15,79/6300 (kW/rpm),2570,4045 x  1720 x  1455,5,4X2,FF,-,5,4,CBU,Korea,4,3,1,-,-,3,1,6,3,1,7,2,31
,,,All New Rio,1396,MT,G,43,1600,4059,185/65 R15,79/6300 (kW/rpm),2570,4045 x  1720 x  1455,5,4X2,FF,-,5,4,CBU,Korea,-,-,-,-,-,-,-,-,1,-,-,11,12
,,,Seltos  EXP,1353,AT,G,55,1705,,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,Korea,34,116,63,11,1,5,54,53,28,24,12,39,440
,,,Seltos  EX,1353,AT,G,55,1705,,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,Korea,-,-,-,4,5,6,2,3,7,1,4,10,42
,,,Seltos  E,1353,AT,G,55,1705,,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,Korea,-,-,-,-,-,-,1,-,1,-,-,-,2
,,,Grand Sedona,3342,AT,G,80,3050,3195,235/60 R18,270/6400,3060,5115 x  1985 x  1740,11,4X2,FF,6,5,4,CBU,Korea,-,-,3,-,-,2,-,-,-,-,-,-,5
,,,Grand Sedona,2199,AT,G,80,3050,3195,235/60 R18,270/6400,3060,5115 x  1985 x  1740,11,4X2,FF,6,5,4,CBU,Korea,4,3,1,-,-,4,1,3,5,1,12,10,44
,,,K-2700 BIG-UP PU,2665,MT,D,70,2950,4444,195 R14,58.5/4.150 (kW/rpm,2415,4820 x  1790 x  2070,3,4X2,FR,-,2,4,CBU,Korea,11,-,-,-,-,1,1,-,-,1,-,-,14
,,,K-2700 BIG-UP Chs,2665,MT,D,70,2950,4444,195 R14,58.5/4.150 (kW/rpm,2415,4820 x  1790 x  2070,3,4X2,FR,-,2,4,CBU,Korea,-,3,2,3,25,5,-,1,12,31,3,10,95
,,,Sonet Premiere,1500,AT,G,55,1705,0,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,India,-,-,-,-,-,-,-,-,-,-,59,-,59
,,,TOTAL,,,,,,,,,,,,,,,,,,,54,128,73,19,32,32,65,72,59,62,101,110,807
27,PT DAIMLER  COMMERCIAL  VEHICLES INDONESIA,MERSEDES-BENZ  CV,Axor 1623 R  /  51,6373,MT,D,255,16000,6.700 - 0.730,"10.00 - 20, Tube-ty pe",231,5100,9130 x  2490 x  2910,2,4X2,FR,90,2,4,CBU,India,-,-,-,-,-,1,-,-,-,-,-,-,1
,,,Axor 1623 R  /  60,6373,MT,D,255,16000,6.700 - 0.730,"10.00 - 20, Tube-ty pe",231,6000,10475 x  2490 x  2910,2,4X2,FR,90,2,4,CBU,India,-,-,-,-,-,5,-,-,-,-,-,-,5
,,,Axor 4028 T,6373,MT,D,380 + 20,16000,14.573 - 1.00,"11.00 R  20, Tube-ty pe",280,3600,6100 x  2500 x  2905,2,4X2,FR,90,2,4,CBU,India,-,-,-,-,-,-,1,-,-,-,-,-,1
,,,Actros  2636 LS,12816,AT,D,290 + 43,26000,14.930 - 1.00,295/80 R  22.5,360,3900,7550 x  2500 x  3936,2,6X4,FR,85,2,6,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,-,1
,,,Actros  2642 LS,12816,AT,D,290,26000,14.930 - 1.00,295/80 R  22.5,421,3300,6925 x  2510 x  3514,2,6X4,FR,85,2,6,CBU,Germany,-,-,1,-,-,-,-,-,-,-,-,-,1
,,,Actros  3348 S,12816,AT,D,430,33000,11.639 - 0.77,315/80 R  22.5,476,3300,6967 x  2500 x  3676,2,6X4,FR,90,2,6,CBU,Germany,-,-,-,1,-,-,-,-,-,-,-,-,1
,,,Actros  4042S,12816,AT,D,390,40000,11.722 - 0.68,325/95 R  24,449,3900,7713 x  2500 x  3939,2,6X6,FA,90,2,6,CBU,Germany,-,-,-,-,-,-,-,-,-,1,-,-,1
,,,Actros  4045 AS,12816,AT,D,390,40000,11.722 - 0.68,325/95 R  24,449,3900,7713 x  2500 x  3939,2,6X6,FA,90,2,6,CBU,Germany,-,-,-,1,-,-,-,-,-,-,-,-,1
,,,Actros  4054 S,15928,MT,D,550,40000,11.722 - 0.68,325/95 R  24,537,3180,6810 x  2487 x  3230,2,6X4,FR,85,2,6,CBU,Germany,-,-,-,-,9,-,-,-,-,-,-,-,9
,,,Arocs  2545 A,12816,AT,D,390,25000,11.722 - 0.68,325/95 R  24,449,4500,8150 x  2500 x  3746,2,4X4,FA,85,2,4,CBU,Germany,-,-,-,-,-,-,1,-,-,-,-,-,1
,,,Arocs  4040 K,12816,AT,D,390,40000,11.722 - 0.68,325/95 R  24,394,4150,8250 x  2500 x  3847,2,6X4,FR,85,2,6,CBU,Germany,-,-,5,-,-,-,-,-,-,-,-,-,5
,,,Arocs  4045 AK,12816,AT,D,390,40000,11.722 - 0.68,325/95 R  24,449,4450,8250 x  2500 x  3952,2,6X6,FA,85,2,6,CBU,Germany,-,-,-,6,-,-,-,-,-,-,-,-,6
,,,Arocs  4845 K,12816,AT,D,390,48000,11.722 - 0.68,325/95 R  24,449,5700,9960 x  2500 x  3905,2,8X4,FR,85,2,8,CBU,Germany,-,-,-,20,5,-,-,-,10,11,4,-,50
,,,Axor 2528 R  /  5700 (Bogie),6373,MT,D,380,25000,14.573 - 1.00,"10.00 R  20, Tube-ty pe",380,5700,12000 x  2490 x  2935,2,6X2,FR,90,2,6,CBU,India,-,-,-,-,-,-,-,5,-,-,-,-,5
,,,Axor 2528 CH,6373,MT,D,255,26500,14.573 - 1.00,"11.00 - 20, Tube-ty pe",280,4200,7840 x  2490 x  2990,2,6X4,FR,60,2,6,CBU,India,-,-,-,-,-,-,20,-,-,-,-,-,20
,,,OF  917 MT (WB 4250),3900,MT,D,200,10400,5.400 - 0.711,235/75 R  17.5,170,4250,7447 x  2199,-,4X2,FR,110,-,4,CBU,India,36,-,-,-,10,4,-,2,-,-,-,-,52
,,,OF  917 MT (WB 5300),3900,MT,D,200,10400,5.400 - 0.711,235/75 R  17.5,170,5300,8606 x  2199,-,4X2,FR,110,-,4,CBU,India,-,-,-,-,20,-,-,-,-,-,-,-,20
,,,OC  500 RF  2542 DD,11967,AT,D,410,25500,3.36 - 0.62,295 /  80 R  22.5,422,6800,13500 x  2400,-,6X2,FR,100,-,6,CBU,Spain,-,-,-,10,-,-,-,-,-,-,-,-,10
,,,TOTAL,,,,,,,,,,,,,,,,,,,36,-,6,38,44,10,22,7,11,12,4,-,190
28,PT Mercedes-Benz  Indonesia,MERSEDES-BENZ  PC,A 200 Progressiv e ( W177),1332,AT,G,43,1885,7,225/45 R18,163,2729,"4,419 x  1,992 x  1,440",5,4X2,FF,-,5,4,CBU,-,2,2,-,5,22,4,4,1,-,-,-,-,40
,,,B 200 Progressiv e ( W247),1332,AT,G,43,1960,7,205/55 R17,163,2729,"4,419 x  2,020 x  1,562",5,4X2,FF,-,5,4,CBU,-,-,2,-,2,5,1,1,-,-,-,-,-,11
,,,Mercedes-AMG A 35 4MATIC  (W177),1991,AT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,4,-,-,4,9,-,-,-,-,-,-,-,17
