NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL  &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI  ON
P x L  x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU  /  CKD  / COMP,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU  IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,COROLLA CROSS 1.8 A/T Hy brid,1798,AT,HY BRID,50,-,-,215 /  60 R17,141 /  6400,2640,4360x1795x1565,5,4X2,FR,7,5,4,CBU,Thailand,-,-,-,2,-,-,43,79,281,48,121,78,652
,,,COMS EV,0,AT,EV,50,-,-,215 /  60 R17,141 /  6400,2640,4360x1795x1565,5,4X2,FR,7,5,4,CBU,Japan,-,18,-,-,-,-,-,-,-,-,-,-,18
,,,Land Cruiser 200,4461,MT,D,93,3350,-,285 /  65R  /  17,235 /  3200,2850,4950 X1970 X905,7,4X4,AWD,5,5,4,CBU,Japan,14,37,44,22,21,7,8,-,-,5,11,7,176
,,,Land Cruiser 70,-,MT,D,-,-,-,-,-,-,-,7,4X4,AWD,5,5,4,CBU,Japan,-,1,1,-,-,1,9,30,19,-,-,-,61
,,,HI-ACE Commuter HI  Grade,2494,MT,D,70,2145,-,195/R15,102 /  3600,3110,5380X1880X2285,16,4X2,FR,5,4,4,CBU,Thailand,93,224,213,177,282,124,61,-,-,-,114,15,"1,303"
,,,HI-ACE 2.8 Premio,2800,MT,D,-,-,-,-,195/R15,102 /  360,5380X1880X2285,-,4X2,FR,-,-,-,CBU,Thailand,83,163,203,89,45,35,32,-,-,-,27,9,686
,,,HiLux  2.0 P/U  SC,1998,MT,D,65,1265,-,205 /  70 R15,136 /  5600,2750,4800X1760X1680,2,4X2,FR,5,2,4,CBU,Thailand,92,126,80,27,8,80,-,-,164,215,173,78,"1,043"
,,,HILUX 2.4 P/U  SCAB,2394,MT,D,70,1490,-,255 /  70 R15C,102 /  3600,2750,4800X1760X1680,2,4X4,FR,5,2,4,CBU,Thailand,107,89,120,72,8,91,-,1,164,215,82,9,958
,,,HILUX 2.4 P/U  SCAB 4x4,2394,MT,D,65,1490,-,255 /  70 R15C,102 /  3600,2750,4800X1760X1680,2,4X2,4WD,5,2,4,CBU,Thailand,-,-,-,-,-,-,-,-,75,61,34,15,185
,,,HILUX 2.4 P/U  DCAB E 4x4,2400,MT,D,70,1795,3727,255 /  70 R15C,144 /  3400,3085,5135X1835X1850,4,4X4,4WD,5,4,4,CBU,Thailand,76,81,21,-,-,-,-,-,-,-,-,-,178
,,,HILUX 2.4 P/U  DCAB G 4x4,2400,MT,D,70,1795,3727,255 /  70 R15C,144 /  3400,3085,5135X1835X1850,4,4X4,4WD,5,4,4,CBU,Thailand,345,297,195,113,23,314,-,10,408,473,326,179,"2,683"
,,,HILUX 2.4 P/U  DCAB V 4x4,2400,AT,D,70,1795,3727,255 /  70 R15C,144 /  3400,3085,5135X1835X1850,4,4X4,4WD,5,4,4,CBU,Thailand,76,81,52,24,5,48,-,2,99,118,64,24,593
,,,TOTAL,,,,,,,,,,,,,,,,,,,"1,400","2,449","2,422","1,236","1,068","1,036",536,331,"1,655","1,884","1,315",479,"15,811"
3,PT.  TOYOTA ASTRA MOTOR,LEXUS,ES 250 H,2494,AT,G,-,-,-,-,181 /  6000,-,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,2,2,1,-,-,-,1,-,-,-,-,-,6
,,,ES 300 H,2494,AT,G,65,-,-,215 /  55 R17,202 /  5700,2820,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,4,29,32,15,5,3,-,-,-,1,1,-,90
,,,LC  500,4969,AT,G,66,2870,-,-,471 /  7100,2730,4770X1920X1345,2,4X2,FR,-,2,4,CBU,Japan,-,-,1,2,1,2,-,-,-,-,-,-,6
,,,LM 350,4969,AT,G,66,2870,-,-,471 /  7100,2730,4770X1920X1345,2,4X2,FR,-,2,4,CBU,Japan,-,2,-,3,17,10,48,36,35,50,29,4,234
,,,LX 570,5663,AT,G,138,2635,-,285 /  50 R20,383 /  5600,-,5065X1980X1865,4,4X4,4WD,8,4,4,CBU,Japan,3,11,15,5,5,1,-,-,1,-,1,-,42
,,,NX 300,1998,AT,G,60,-,-,255 /  60 R18,235 /  4000,2660,4630X1845X1630,4,4X2,FR,-,4,4,CBU,Japan,2,12,14,8,7,6,2,-,1,-,3,-,55
,,,RX 300,1998,AT,G,72,2500,-,-,235 /  4400,2790,4890X1895X1690,4,4X2,FR,-,4,4,CBU,Japan,18,82,116,52,58,2,14,18,35,62,60,-,517
,,,UX 200,1998,AT,G,72,2500,-,-,235 /  4400,2790,4890X1895X1690,4,4X2,FR,-,4,4,CBU,Japan,-,8,7,1,-,4,-,-,-,-,-,-,20
,,,UX 250h,1998,AT,G,72,2500,-,-,235 /  4400,2790,4890X1895X1690,4,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,1,-,-,-,-,-,-,1
